('884822135465811968', '3383675067')
('782710219088531457', '3383675067')
('4915964247', '3383675067')
('773140803707437056', '3383675067')
('909865450661715969', '3383675067')
('898224707140562944', '3383675067')
('869760690202046464', '3383675067')
('2711513740', '3383675067')
('911671917001756673', '3383675067')
('834348432', '3383675067')
('199670434', '3383675067')
('778382719126532096', '3383675067')
('4867231768', '3383675067')
('795979996082872320', '3383675067')
('3407603871', '3383675067')
('780948217441771520', '3383675067')
('4106518804', '3383675067')
('3882543459', '3383675067')
('721150677397958657', '3383675067')
('2868174243', '3383675067')
('863180709330128896', '3383675067')
('181239665', '3383675067')
('132259636', '3383675067')
('770310984', '3383675067')
('3739623021', '3383675067')
('3462255983', '3383675067')
('783446614824390657', '3383675067')
('386824026', '3383675067')
('753621237633605632', '3383675067')
('4046541016', '3383675067')
('3493811955', '3383675067')
('923138160791519232', '3383675067')
('4616773457', '3383675067')
('809887076628000768', '3383675067')
('3012289270', '3383675067')
('917529128194232320', '3383675067')
('817499206034264066', '3383675067')
('2787124653', '3383675067')
('849020130059321344', '3383675067')
('2878822020', '3383675067')
('822862570986098690', '3383675067')
('100661298', '3383675067')
('784912801395535872', '3383675067')
('429089446', '3383675067')
('769645821163872256', '3383675067')
('2276358156', '3383675067')
('2356752864', '3383675067')
('822976519278620672', '3383675067')
('888787324607356929', '3383675067')
('2455702565', '3383675067')
('784134996764262400', '3383675067')
('2883383124', '3383675067')
('2756829773', '3383675067')
('4834391447', '3383675067')
('1040774606', '3383675067')
('3361567276', '3383675067')
('2966902162', '3383675067')
('891813604139388930', '3383675067')
('242098848', '3383675067')
('565662149', '3383675067')
('1143205543', '3383675067')
('761620397888602113', '3383675067')
('172084927', '3383675067')
('1708736509', '3383675067')
('478211554', '3383675067')
('2400134694', '3383675067')
('713147055624044546', '3383675067')
('172112371', '3383675067')
('762809425816092672', '3383675067')
('135347580', '3383675067')
('2750604328', '3383675067')
('1726353146', '3383675067')
('2889626615', '3383675067')
('2369041974', '3383675067')
('862565065576378368', '3383675067')
('1359793904', '3383675067')
('933685396650721281', '3383675067')
('797501342587777024', '3383675067')
('1957704949', '3383675067')
('2835627962', '3383675067')
('3331827279', '3383675067')
('4003132648', '3383675067')
('901040820924624897', '3383675067')
('1194318282', '3383675067')
('4649319143', '3383675067')
('913834043388628993', '3383675067')
('128364169', '3383675067')
('526587719', '3383675067')
('347354908', '3383675067')
('2869315798', '3383675067')
('843633481603342336', '3383675067')
('82180347', '3383675067')
('879803709152256003', '3383675067')
('447168497', '3383675067')
('2684644312', '3383675067')
('827885067418685441', '3383675067')
('3219509349', '3383675067')
('708321845339029507', '3383675067')
('898215019929903104', '3383675067')
('818802036556918786', '3383675067')
('830269214514614274', '3383675067')
('920414941303230464', '3383675067')
('3157853746', '3383675067')
('704477935', '3383675067')
('407213322', '3383675067')
('2707194907', '3383675067')
('1691484374', '3383675067')
('148046546', '3383675067')
('817339981140291585', '3383675067')
('841809074', '3383675067')
('871864402013814784', '3383675067')
('781306385556537346', '3383675067')
('3343168083', '3383675067')
('2303434964', '3383675067')
('3352486845', '3383675067')
('765352553177575424', '3383675067')
('780025670659350528', '3383675067')
('877254423000600577', '3383675067')
('927639068808302592', '3383675067')
('758336703438397440', '3383675067')
('354484844', '3383675067')
('795451566308335617', '3383675067')
('711712544', '3383675067')
('785505450351554561', '3383675067')
('761999979737210884', '3383675067')
('901306207285256192', '3383675067')
('4390021702', '3383675067')
('3281779710', '3383675067')
('732919570508439552', '3383675067')
('795593032632561665', '3383675067')
('802618366452240386', '3383675067')
('2904543789', '3383675067')
('3402800938', '3383675067')
('4343656822', '3383675067')
('890749118360023041', '3383675067')
('708344455024275456', '3383675067')
('3436057637', '3383675067')
('743962486722924544', '3383675067')
('3244109218', '3383675067')
('817467340271001604', '3383675067')
('719876086197305344', '3383675067')
('888793701824200704', '3383675067')
('4872314819', '3383675067')
('215034611', '3383675067')
('743990059251154944', '3383675067')
('896363351110025216', '3383675067')
('4776005236', '3383675067')
('711180824528470016', '3383675067')
('413512082', '3383675067')
('3135521141', '3383675067')
('2300861506', '3383675067')
('4808367149', '3383675067')
('3252726395', '3383675067')
('933706393210818560', '3383675067')
('3944562796', '3383675067')
('2805715601', '3383675067')
('731653376', '3383675067')
('252716994', '3383675067')
('2725765762', '3383675067')
('809841635173535745', '3383675067')
('368922029', '3383675067')
('225982367', '3383675067')
('798182986189590530', '3383675067')
('2735465273', '3383675067')
('793898830894956544', '3383675067')
('4560716117', '3383675067')
('800849725532631040', '3383675067')
('2984508147', '3383675067')
('2419730970', '3383675067')
('795247057825054720', '3383675067')
('4855714665', '3383675067')
('3351390652', '3383675067')
('774399309517381632', '3383675067')
('129629128', '3383675067')
