('1137762139', '3383675067')
('2936493437', '3383675067')
('4745880255', '3383675067')
('2745993901', '3383675067')
('2605830794', '3383675067')
('804794065397182464', '3383675067')
('1045029804', '3383675067')
('786276122728206336', '3383675067')
('933424067134320641', '3383675067')
('2626133379', '3383675067')
('3087547038', '3383675067')
('432011868', '3383675067')
('902837440066543616', '3383675067')
('813420341989089280', '3383675067')
('835612582757154820', '3383675067')
('777553269623324672', '3383675067')
('2294561594', '3383675067')
('705803532646158336', '3383675067')
('2452820625', '3383675067')
('713506696249884672', '3383675067')
('890354676138430465', '3383675067')
('146229058', '3383675067')
('894455875', '3383675067')
('186956298', '3383675067')
('188710644', '3383675067')
('781183524548345856', '3383675067')
('284094191', '3383675067')
('127703458', '3383675067')
('3127605616', '3383675067')
('3050460825', '3383675067')
('4269674296', '3383675067')
('320388426', '3383675067')
('354979868', '3383675067')
