source target
884822135465811968 3383675067
622146127 865362602783854592
796789965506150400 865362602783854592
782710219088531457 3383675067
4915964247 3383675067
773140803707437056 3383675067
461386501 865362602783854592
909865450661715969 3383675067
31564821 2479861125
898224707140562944 3383675067
869760690202046464 3383675067
2711513740 3383675067
1109313138 865362602783854592
587843021 751429122073690112
859851371234947072 865362602783854592
1149984234 865362602783854592
911671917001756673 3383675067
2875693529 2479861125
498306232 63478758
346914651 None
834348432 3383675067
199670434 3383675067
854436299977129984 865362602783854592
778382719126532096 3383675067
3378980441 2479861125
4867231768 3383675067
159647317 3077007865
344044291 2479861125
795979996082872320 3383675067
2477516610 2479861125
749820082348515328 751429122073690112
3407603871 3383675067
219380752 2479861125
704868528457969664 865362602783854592
69867328 3318337402
399758283 50088692
2866700037 28431722
780948217441771520 3383675067
4106518804 3383675067
3882543459 3383675067
818163508009431041 751429122073690112
721150677397958657 3383675067
38500224 791721330819424256
868168875145404420 865362602783854592
2868174243 3383675067
3602988075 751429122073690112
897645882035908608 865362602783854592
863180709330128896 3383675067
819034668528009217 2479861125
4898183075 2479861125
1386022298 751429122073690112
2961567844 865362602783854592
181239665 3383675067
1289956723 2479861125
777263496673234944 751429122073690112
132259636 3383675067
770310984 3383675067
3441939983 751429122073690112
808033377890799616 865362602783854592
4016013071 865362602783854592
310564947 2479861125
866120466628579328 3077007865
2868174243 774820925493637120
428228330 751429122073690112
175644957 1347874969
869317222757486592 751429122073690112
3739623021 751429122073690112
764310535 28431722
3462255983 3383675067
711415919529074688 788794760764985344
783446614824390657 3383675067
917540597606633473 865362602783854592
386824026 3383675067
753621237633605632 3383675067
880550173885202432 751429122073690112
4046541016 3383675067
749717801376645120 865362602783854592
2873584008 865362602783854592
836999959220273160 865362602783854592
2391532839 865362602783854592
3493811955 3383675067
346232163 751429122073690112
923138160791519232 3383675067
870448784471457792 865362602783854592
3171112408 751429122073690112
874424704832069632 751429122073690112
4616773457 3383675067
757606146 751429122073690112
910258779962396673 865362602783854592
1679736936 865362602783854592
861721949885673472 2479861125
850583816582332417 774820925493637120
2952081911 865362602783854592
91237224 None
867172982124408833 751429122073690112
809887076628000768 3383675067
919292501382631424 50088692
1918644428 865362602783854592
741260652539486208 50088692
3012289270 3383675067
917529128194232320 3383675067
884203592751689728 865362602783854592
817499206034264066 3383675067
1520743350 865362602783854592
2787124653 3383675067
22524976 2479861125
779175705502486528 788794760764985344
849020130059321344 3383675067
1623512822 751429122073690112
864277643600031744 751429122073690112
4573183521 711240307405406208
2898755158 751429122073690112
2729531782 50088692
2878822020 3383675067
2391542715 865362602783854592
809012532044333056 865362602783854592
822862570986098690 3383675067
855839429516283904 2479861125
100661298 3383675067
784912801395535872 3383675067
928779784234127361 2479861125
776029108295835648 711974647516897281
272415116 711974647516897281
429089446 3383675067
814838863655043072 751429122073690112
298003552 711974647516897281
769645821163872256 3383675067
2917485347 774820925493637120
787767237193134081 865362602783854592
4827716770 865362602783854592
3058542698 50088692
2276358156 3383675067
483760755 788794760764985344
2356752864 3383675067
822976519278620672 3383675067
888787324607356929 3383675067
3239062299 50088692
2507650495 47085809
2455702565 3383675067
784134996764262400 3383675067
1271133379 63478758
2883383124 751429122073690112
4822097452 865362602783854592
756931266876993536 865362602783854592
922111483009536000 751429122073690112
3932671985 50088692
2867149360 865362602783854592
4260991162 751429122073690112
2756829773 3383675067
4834391447 3383675067
1040774606 3383675067
2507650495 47085809
726176409555750912 779753505053675520
3361567276 3383675067
272415116 2479861125
2966902162 3383675067
807755113465085952 865362602783854592
729122210166755328 751429122073690112
749278071908364288 751429122073690112
891813604139388930 865362602783854592
2911647671 865362602783854592
242098848 3383675067
565662149 3383675067
2364010671 711974647516897281
719947822699790336 50088692
3311509457 8802752
229637559 711974647516897281
864243294833958912 751429122073690112
1143205543 3383675067
770795595254476800 4559051955
602327254 63478758
761620397888602113 3383675067
415134254 50088692
187005279 751429122073690112
172084927 3383675067
3379738199 751429122073690112
730059579694956546 2479861125
913556261437833216 865362602783854592
1173603798 None
2860972762 50088692
892072766102544385 865362602783854592
1708736509 3383675067
3807182597 865362602783854592
478211554 2479861125
2400134694 751429122073690112
1104668960 865362602783854592
877608980889075712 None
713147055624044546 3383675067
172112371 3383675067
710172116457562112 865362602783854592
796887430381060096 2479861125
1061769432 2479861125
1747548908 865362602783854592
466853611 2382743872
8417512 3017894621
701490943 751429122073690112
1250241144 711240307405406208
809726181578829825 865362602783854592
849020130059321344 751429122073690112
4075120635 788794760764985344
330643485 1347874969
902942328662437891 865362602783854592
762809425816092672 3383675067
219675162 751429122073690112
3314952009 50088692
135347580 3383675067
2750604328 3383675067
586945432 50088692
3438500315 2479861125
2878822020 774820925493637120
1726353146 3383675067
840203815546736644 50088692
1651503240 2479861125
705163698168528896 865362602783854592
2889626615 3383675067
805155526623559681 865362602783854592
1898723676 751429122073690112
2369041974 3383675067
862565065576378368 3383675067
1411081460 50088692
2481101124 None
849428711296380932 865362602783854592
746718303155011584 865362602783854592
1359793904 3383675067
1689183858 711240307405406208
933685396650721281 3383675067
439228975 788794760764985344
3202395118 865362602783854592
797501342587777024 3383675067
753011127127306240 751429122073690112
2540319445 2479861125
2481101124 None
1957704949 711240307405406208
2835627962 3383675067
188051036 711974647516897281
169763258 63478758
780149889783238656 50088692
3331827279 3383675067
3956251162 865362602783854592
780271976233381888 None
4003132648 3383675067
3304140789 865362602783854592
211227268 65846828
877934291648380928 50088692
901040820924624897 3383675067
1194318282 3383675067
4835213176 865362602783854592
4649319143 3383675067
913834043388628993 3383675067
815575670646591492 865362602783854592
128364169 3383675067
4625848234 751429122073690112
2189092610 865362602783854592
352021890 3079707406
526587719 3383675067
2345577103 865362602783854592
730525272060141570 751429122073690112
347354908 3383675067
2869315798 751429122073690112
761023863283036160 865362602783854592
4840396985 503713093
4777691607 865362602783854592
843633481603342336 3383675067
82180347 3383675067
879803709152256003 3383675067
261259294 2479861125
447168497 3383675067
871515364668166144 751429122073690112
918230010 3017894621
2684644312 3383675067
827885067418685441 751429122073690112
382877153 2479861125
3739623021 3383675067
4832838431 788794760764985344
900497627866902528 865362602783854592
3219509349 3383675067
708321845339029507 3383675067
898215019929903104 3383675067
818802036556918786 3383675067
227394617 2479861125
830269214514614274 3383675067
3202665477 50088692
920414941303230464 2166629242
709814104005996544 3017894621
559794135 4559051955
2878822020 4172587277
3653177540 865362602783854592
922866239076294656 865362602783854592
905785400983252992 865362602783854592
892600326678654977 865362602783854592
3157853746 3383675067
913173816 2479861125
2607473763 865362602783854592
60391888 865362602783854592
704477935 3383675067
134154752 2479861125
4733733981 24237705
407213322 865362602783854592
4406420494 50088692
2707194907 3383675067
1691484374 3383675067
148046546 3383675067
817339981140291585 3383675067
886708215634939904 865362602783854592
198247338 865362602783854592
167872425 3077007865
841809074 3383675067
2721643689 865362602783854592
880476217501265920 2479861125
871864402013814784 3383675067
781306385556537346 3383675067
743601475700531200 865362602783854592
3343168083 3383675067
2303434964 788794760764985344
827885067418685441 3383675067
2858050300 865362602783854592
3121496460 751429122073690112
3744041656 865362602783854592
3352486845 3383675067
1288897225 711974647516897281
765352553177575424 3383675067
3308681428 751429122073690112
2161724755 None
2176906651 788794760764985344
2888791775 751429122073690112
289968819 865362602783854592
780025670659350528 3383675067
909074966 711974647516897281
747446992289300480 711974647516897281
775757452973371392 2479861125
287942441 711974647516897281
232878080 2951383636
877254423000600577 3383675067
927639068808302592 3383675067
758336703438397440 3383675067
3297128355 503713093
831921213815607297 865362602783854592
354484844 3383675067
795451566308335617 3383675067
915398330053783552 865362602783854592
4863548764 711240307405406208
2976352221 751429122073690112
754891800687566852 865362602783854592
711712544 3383675067
570215525 788794760764985344
716949878224654336 751429122073690112
2789086517 3077007865
637355333 63478758
697015240827998208 2479861125
785505450351554561 3383675067
472408123 2479861125
254659443 2479861125
793981307307094020 3074958261
372258101 2479861125
3729220216 751429122073690112
761999979737210884 751429122073690112
4136327361 751429122073690112
54155129 3017894621
3404635348 865362602783854592
81708392 3017894621
210836798 751429122073690112
2694172388 2479861125
3091595518 50088692
766270025464418304 751429122073690112
409913559 15052095
793981307307094020 1676307187
272094040 8802752
901306207285256192 3383675067
768308646400983040 788794760764985344
3808765037 2479861125
2717168793 711240307405406208
171744586 3017894621
2789086517 3077007865
4390021702 3383675067
850716815479234562 865362602783854592
3281779710 3383675067
911212653695127553 865362602783854592
2884923717 3728507415
910330073378643968 285634142
1383194322 751429122073690112
732919570508439552 3383675067
795593032632561665 2479861125
802618366452240386 751429122073690112
1295847673 None
245457329 2479861125
2904543789 3383675067
3402800938 3383675067
3093748030 711974647516897281
3424593459 865362602783854592
71818411 711974647516897281
1271133379 774820925493637120
808061511805628416 774820925493637120
780149889783238656 89311625
2253475578 16880800
4711801588 2479861125
735992274082009089 2479861125
751873839341207552 865362602783854592
2692148633 788794760764985344
4343656822 3383675067
2453202067 2479861125
889935571560300545 2479861125
890749118360023041 3383675067
877153526031552513 751429122073690112
708344455024275456 3383675067
3313677131 788794760764985344
889304770653171714 751429122073690112
160523081 None
3622208722 751429122073690112
2789086517 3077007865
2233373838 788794760764985344
2592629254 751429122073690112
3436057637 3383675067
911610626002374656 865362602783854592
887151070736244738 2561627576
743962486722924544 751429122073690112
3244109218 3383675067
817467340271001604 3383675067
763604313344180224 2479861125
719276968571707392 414302636
4626539302 865362602783854592
914326196997033984 285634142
719876086197305344 3383675067
329938518 2479861125
888793701824200704 3383675067
4872314819 3383675067
215034611 3383675067
743990059251154944 3383675067
1468595384 751429122073690112
3146018687 751429122073690112
725819722344837121 2479861125
58320443 3017894621
896363351110025216 3383675067
1537745504 865362602783854592
3303391468 865362602783854592
844671716190244864 751429122073690112
703277595333410816 865362602783854592
3390323231 751429122073690112
752556628860342272 865362602783854592
4776005236 3383675067
848308805419008000 711974647516897281
890671593973841920 751429122073690112
324137652 50088692
3416071852 None
711180824528470016 3383675067
851640483457765377 865362602783854592
1064007614 865362602783854592
738889646231457792 2479861125
81682254 865362602783854592
2615175076 865362602783854592
413512082 3383675067
3135521141 3383675067
2297759711 865362602783854592
713082290604281857 865362602783854592
540946685 865362602783854592
795646163647102979 865362602783854592
731638804252135424 865362602783854592
835116911725772809 3079707406
717080765612302336 111775539
3599729536 751429122073690112
2300861506 788794760764985344
46114707 3318337402
705507563014590464 865362602783854592
3323192261 711974647516897281
704779148485640196 214570761
4808367149 788794760764985344
3252726395 3383675067
723857412764143616 865362602783854592
801990955092115456 865362602783854592
802874065467932672 865362602783854592
873537042126446593 707160549927297024
920414941303230464 3383675067
933706393210818560 3383675067
1077462974 751429122073690112
1697885876 2479861125
3944562796 3383675067
2805715601 751429122073690112
340537685 865362602783854592
731653376 3383675067
3043466909 2479861125
780271976233381888 None
252716994 3383675067
439747637 2479861125
323829040 2479861125
914280079232061441 751429122073690112
1957704949 3079707406
2725765762 3383675067
889304770653171714 774820925493637120
817156050050838529 865362602783854592
809841635173535745 3383675067
368922029 3383675067
786344792611487744 788794760764985344
225982367 3383675067
814211119128649729 865362602783854592
712126007365472260 751429122073690112
898299104178171904 865362602783854592
3387743201 865362602783854592
798182986189590530 2479861125
252716994 774820925493637120
334106512 2479861125
4241915717 788794760764985344
2585568100 None
614792780 751429122073690112
31288380 3203687297
858115599137984517 788794760764985344
905479480122241025 751429122073690112
78688395 751429122073690112
2909235112 2479861125
2781212057 865362602783854592
2207840826 711240307405406208
431237786 384288143
1567151096 None
1957704949 4824757937
2735465273 3383675067
259519508 2479861125
102172463 8802752
2843786481 751429122073690112
61565974 839961083083444225
864947533960929280 865362602783854592
4203457761 865362602783854592
793898830894956544 3383675067
4560716117 3383675067
775757452973371392 865362602783854592
800849725532631040 3383675067
778392182042624000 865362602783854592
2984508147 3383675067
58583772 2322229578
716769726022569985 865362602783854592
914309997256945664 865362602783854592
854877794656014336 934912571530010624
909194247806517248 788794760764985344
3602988075 865362602783854592
823512367061409792 865362602783854592
752254200684347392 865362602783854592
2419730970 751429122073690112
795247057825054720 3383675067
787749619426025474 2479861125
703275051492253696 865362602783854592
739654411253915648 751429122073690112
806225402138128384 711974647516897281
2544775411 774820925493637120
101321843 16880800
498962147 751429122073690112
4743608237 711974647516897281
3318320410 865362602783854592
4855714665 751429122073690112
912145350579900417 63478758
270076179 15052095
3351390652 865362602783854592
771400656980770816 865362602783854592
325672710 None
716404938872659968 751429122073690112
2996892293 2479861125
559834666 711240307405406208
774399309517381632 3383675067
535977594 865362602783854592
780149889783238656 711240307405406208
4883248971 2479861125
713231682359463936 865362602783854592
129629128 3383675067
275229863 63478758
2896828899 751429122073690112
743979878773555201 865362602783854592
815357252324458496 63478758
2448698679 2382743872
414296493 788794760764985344
2719420073 3383675067
3342161981 751429122073690112
738071200539287553 865362602783854592
851904965450792960 751429122073690112
756638046083244032 865362602783854592
1031190205 3383675067
725481274522128386 751429122073690112
2982543208 2479861125
4045676531 3383675067
787294974324989952 3383675067
3351390652 3383675067
448987705 3318337402
1131529592 774820925493637120
2394753523 2479861125
3091595518 2479861125
842938252927664128 865362602783854592
915404879962755072 751429122073690112
780149889783238656 711240307405406208
915014994152083458 774820925493637120
4441947587 2479861125
3173788078 3383675067
111775539 None
710996350570242048 751429122073690112
878099869088583680 788794760764985344
3394944371 865362602783854592
852742760595546112 3077007865
572383157 1676307187
2535880781 3383675067
3385166993 865362602783854592
85698771 8802752
4855714665 3383675067
122117275 3383675067
716820090 3383675067
52031618 3318337402
933481494487748608 3383675067
885856751903494147 711974647516897281
741369259008360448 3383675067
818135366221840384 711974647516897281
460326819 3077007865
2294740980 3383675067
2987455486 865362602783854592
2567572310 3383675067
520646405 3383675067
268028438 2479861125
920326405333889025 865362602783854592
906500250189398017 865362602783854592
2288965695 865362602783854592
1412852983 3383675067
2679790492 3383675067
4153218191 865362602783854592
3066303041 751429122073690112
856755569805414400 751429122073690112
2518725882 3383675067
2831975186 4559051955
2577861217 2479861125
22370220 3077007865
764193902828130304 820351481777967105
1651560775 751429122073690112
839270715471851520 3383675067
831921756 751429122073690112
4902857764 865362602783854592
3079225766 751429122073690112
920414941303230464 711240307405406208
724391457356812288 3383675067
1957704949 3383675067
722753564267933696 751429122073690112
2270830603 2479861125
251573424 50088692
44157629 3017894621
1160435898 None
748669170561187840 751429122073690112
2895230002 3383675067
2290885011 3383675067
3095730544 751429122073690112
112539602 2479861125
407213322 3383675067
3047306541 865362602783854592
3337141541 3383675067
402296282 751429122073690112
2180259716 788794760764985344
334063314 3383675067
917191582490791936 865362602783854592
758769349549256705 3383675067
333482644 751429122073690112
871030924980494337 711240307405406208
101321843 761021578893139968
3120432984 3383675067
4121567229 865362602783854592
4038889042 751429122073690112
924097896806539264 774820925493637120
762301792587743233 751429122073690112
40540464 3383675067
831081014705393665 3383675067
405852392 1347874969
205353871 788794760764985344
137025781 None
400876685 63478758
762383565132881921 865362602783854592
738889646231457792 774820925493637120
827202851785019393 865362602783854592
322284317 63478758
3713424916 2479861125
4857118180 3383675067
758329795121967104 3383675067
3343456852 751429122073690112
2889154878 865362602783854592
3296478442 774820925493637120
3349298529 751429122073690112
428949742 3318337402
907784724550225921 711974647516897281
385067525 3383675067
4697350928 865362602783854592
3362734793 50088692
2419042863 3383675067
2670692644 751429122073690112
830865499999318017 15052095
4828244452 751429122073690112
2448111786 774820925493637120
13531162 None
2908526474 865362602783854592
2738344053 865362602783854592
712286780318478336 2479861125
2723966070 None
2880079996 865362602783854592
2305776583 751429122073690112
