('711415919529074688', '788794760764985344')
('779175705502486528', '788794760764985344')
('1271133379', '788794760764985344')
('3017894621', '788794760764985344')
('4075120635', '788794760764985344')
('439228975', '788794760764985344')
('3331827279', '788794760764985344')
('2303434964', '788794760764985344')
('2176906651', '788794760764985344')
('354484844', '788794760764985344')
('570215525', '788794760764985344')
('1676307187', '788794760764985344')
('768308646400983040', '788794760764985344')
('2692148633', '788794760764985344')
('3313677131', '788794760764985344')
('2233373838', '788794760764985344')
('3436057637', '788794760764985344')
('2300861506', '788794760764985344')
('3043466909', '788794760764985344')
('786344792611487744', '788794760764985344')
('4241915717', '788794760764985344')
('858115599137984517', '788794760764985344')
('909194247806517248', '788794760764985344')
('414296493', '788794760764985344')
('878099869088583680', '788794760764985344')
('2180259716', '788794760764985344')
('205353871', '788794760764985344')
('830865499999318017', '788794760764985344')
('848725767831912449', '788794760764985344')
('626832092', '788794760764985344')
('68891875', '788794760764985344')
('3383358437', '788794760764985344')
('4836482591', '788794760764985344')
('796126488194072576', '788794760764985344')
('328826492', '788794760764985344')
('2188979021', '788794760764985344')
('2858973110', '788794760764985344')
('4108998621', '788794760764985344')
('845938107988033536', '788794760764985344')
('4746558130', '788794760764985344')
('33264597', '788794760764985344')
('2724655497', '788794760764985344')
('756292133166977028', '788794760764985344')
('422342829', '788794760764985344')
('2290333063', '788794760764985344')
('404842457', '788794760764985344')
('2873180638', '788794760764985344')
('372420000', '788794760764985344')
('829848108783792130', '788794760764985344')
('788162172442542084', '788794760764985344')
('2965155598', '788794760764985344')
('733423689241235456', '788794760764985344')
('3293196322', '788794760764985344')
('766021391032455168', '788794760764985344')
('752913655696687107', '788794760764985344')
('4343523257', '788794760764985344')
('1115454024', '788794760764985344')
('3035584828', '788794760764985344')
('4471832363', '788794760764985344')
('195555745', '788794760764985344')
('3291824398', '788794760764985344')
('705804318960697345', '788794760764985344')
('115123406', '788794760764985344')
('91409657', '788794760764985344')
('751922209669742592', '788794760764985344')
('848919748708626432', '788794760764985344')
('302224017', '788794760764985344')
('146024656', '788794760764985344')
('1008830438', '788794760764985344')
('2187876094', '788794760764985344')
('35100795', '788794760764985344')
('2332084555', '788794760764985344')
('715942838056448000', '788794760764985344')
('84925552', '788794760764985344')
('2627790770', '788794760764985344')
('175222015', '788794760764985344')
('2174819695', '788794760764985344')
('105613439', '788794760764985344')
('717422787317657600', '788794760764985344')
('758716194627153920', '788794760764985344')
('930113978197561344', '788794760764985344')
('3128086726', '788794760764985344')
('55971182', '788794760764985344')
('351185660', '788794760764985344')
('755215103407030272', '788794760764985344')
('3819187851', '788794760764985344')
('3353163761', '788794760764985344')
('934159929367302151', '788794760764985344')
('2312782842', '788794760764985344')
('4189138097', '788794760764985344')
('120846865', '788794760764985344')
('2965111534', '788794760764985344')
('573169656', '788794760764985344')
('727303352988536832', '788794760764985344')
('3349061019', '788794760764985344')
('319354424', '788794760764985344')
('552205785', '788794760764985344')
('2872930097', '788794760764985344')
('2994779237', '788794760764985344')
('2904664954', '788794760764985344')
('2878933623', '788794760764985344')
('4001320221', '788794760764985344')
('794173210841509889', '788794760764985344')
('4693615513', '788794760764985344')
('2269923359', '788794760764985344')
('108746070', '788794760764985344')
('136426201', '788794760764985344')
('912017979855994881', '788794760764985344')
('792508543', '788794760764985344')
('41842314', '788794760764985344')
('2640886282', '788794760764985344')
('1175430350', '788794760764985344')
('906383750', '788794760764985344')
('926887258422173696', '788794760764985344')
('758331667237003269', '788794760764985344')
('27733043', '788794760764985344')
('42208212', '788794760764985344')
('2800304302', '788794760764985344')
('2239901693', '788794760764985344')
('616284687', '788794760764985344')
('4826154489', '788794760764985344')
('713476235821785089', '788794760764985344')
('1658461020', '788794760764985344')
('2505604699', '788794760764985344')
('1634213929', '788794760764985344')
('750743130333409281', '788794760764985344')
('2327068811', '788794760764985344')
('1499388308', '788794760764985344')
('2240913246', '788794760764985344')
('2945001555', '788794760764985344')
('2510631627', '788794760764985344')
('776422612599701504', '788794760764985344')
('3523003701', '788794760764985344')
('42988609', '788794760764985344')
('843574264116760576', '788794760764985344')
('430765726', '788794760764985344')
('2474547637', '788794760764985344')
('2942274337', '788794760764985344')
('617217231', '788794760764985344')
('935589408', '788794760764985344')
('351940285', '788794760764985344')
('354668822', '788794760764985344')
('838812159299682309', '788794760764985344')
('899233715133526016', '788794760764985344')
('3078475040', '788794760764985344')
('517780429', '788794760764985344')
('60770351', '788794760764985344')
('91717029', '788794760764985344')
('872153929647304704', '788794760764985344')
('436203700', '788794760764985344')
('2951805909', '788794760764985344')
('591205803', '788794760764985344')
('755157630973317121', '788794760764985344')
