('483760755', '788794760764985344')
('134154752', '788794760764985344')
('4390021702', '788794760764985344')
('4808367149', '788794760764985344')
('837384439000870913', '788794760764985344')
('899983146', '788794760764985344')
('2535888716', '788794760764985344')
('134930141', '788794760764985344')
('2257897848', '788794760764985344')
('733499674141851648', '788794760764985344')
('366763625', '788794760764985344')
('214940576', '788794760764985344')
('223139140', '788794760764985344')
('1296642955', '788794760764985344')
('719935016487227393', '788794760764985344')
('1229913848', '788794760764985344')
('802620614066446337', '788794760764985344')
('876853521857081345', '788794760764985344')
('386226974', '788794760764985344')
('4290997456', '788794760764985344')
('2407715149', '788794760764985344')
('2445994788', '788794760764985344')
('907028776718094336', '788794760764985344')
('1114754246', '788794760764985344')
('230921787', '788794760764985344')
('152025059', '788794760764985344')
('106458441', '788794760764985344')
('414154783', '788794760764985344')
('886462594340573184', '788794760764985344')
('2288450699', '788794760764985344')
('809237299481497601', '788794760764985344')
('3328518911', '788794760764985344')
('472878908', '788794760764985344')
('3029007879', '788794760764985344')
('3093621069', '788794760764985344')
('902302621372907521', '788794760764985344')
('793268036820144130', '788794760764985344')
('2720988999', '788794760764985344')
('181374902', '788794760764985344')
('476189988', '788794760764985344')
('37296634', '788794760764985344')
('780444575278268417', '788794760764985344')
('1938503893', '788794760764985344')
('742322871515664384', '788794760764985344')
('175084143', '788794760764985344')
('930124847123980288', '788794760764985344')
('931825807001096192', '788794760764985344')
('2981773799', '788794760764985344')
('3015377543', '788794760764985344')
('3339528399', '788794760764985344')
('97453297', '788794760764985344')
('51346194', '788794760764985344')
('2979893416', '788794760764985344')
('241189665', '788794760764985344')
('277488494', '788794760764985344')
('73787620', '788794760764985344')
('367135516', '788794760764985344')
('163609516', '788794760764985344')
('782306308238213124', '788794760764985344')
('2485583221', '788794760764985344')
('883406557232463874', '788794760764985344')
('784159022282838016', '788794760764985344')
('916055891132190721', '788794760764985344')
('976293014', '788794760764985344')
('169968944', '788794760764985344')
('1158365755', '788794760764985344')
('798910946559279104', '788794760764985344')
('2752748242', '788794760764985344')
('3885111027', '788794760764985344')
('760952630722039810', '788794760764985344')
('4269427456', '788794760764985344')
('3199390161', '788794760764985344')
('307407586', '788794760764985344')
('3400570403', '788794760764985344')
('801512588647530498', '788794760764985344')
('335399294', '788794760764985344')
('1917992034', '788794760764985344')
('194742894', '788794760764985344')
('4644308369', '788794760764985344')
('838521770802032640', '788794760764985344')
('765930982532931584', '788794760764985344')
('247321213', '788794760764985344')
('813399722996154368', '788794760764985344')
('559534810', '788794760764985344')
('791314089020653569', '788794760764985344')
('744585193789456384', '788794760764985344')
('406386617', '788794760764985344')
('383170555', '788794760764985344')
('294745985', '788794760764985344')
('3426528688', '788794760764985344')
('732247599303004160', '788794760764985344')
('240077856', '788794760764985344')
('743122832129970180', '788794760764985344')
('1255442688', '788794760764985344')
('712067609148190720', '788794760764985344')
('2633303825', '788794760764985344')
('724856514', '788794760764985344')
('214633527', '788794760764985344')
('3406641322', '788794760764985344')
('2551136052', '788794760764985344')
('2387947556', '788794760764985344')
('853385483119931396', '788794760764985344')
('957391704', '788794760764985344')
('3633086421', '788794760764985344')
('2276579712', '788794760764985344')
('3125112598', '788794760764985344')
('3407880627', '788794760764985344')
('90208442', '788794760764985344')
('153702672', '788794760764985344')
('806971278091546628', '788794760764985344')
('984849217', '788794760764985344')
('102518898', '788794760764985344')
('156044116', '788794760764985344')
('903723179641892864', '788794760764985344')
('4896346131', '788794760764985344')
('781979343710978049', '788794760764985344')
('767106958319116288', '788794760764985344')
('2271051826', '788794760764985344')
('3010539297', '788794760764985344')
('623256922', '788794760764985344')
('2831652303', '788794760764985344')
('920135443', '788794760764985344')
('4864278053', '788794760764985344')
('2464969477', '788794760764985344')
('749313506349084672', '788794760764985344')
('863606810', '788794760764985344')
('1417033651', '788794760764985344')
('783070369045512192', '788794760764985344')
('129906042', '788794760764985344')
('4048043385', '788794760764985344')
('2849059269', '788794760764985344')
('1001677039', '788794760764985344')
('3363393915', '788794760764985344')
('821599775325818881', '788794760764985344')
('813140055539773440', '788794760764985344')
('95276849', '788794760764985344')
('713566192099856386', '788794760764985344')
('878414062614454273', '788794760764985344')
('3352429829', '788794760764985344')
('741790327590277124', '788794760764985344')
('1960899930', '788794760764985344')
('760655469409144832', '788794760764985344')
('2486249024', '788794760764985344')
('819891274186625024', '788794760764985344')
('343646677', '788794760764985344')
('807201863007436804', '788794760764985344')
('887713519940096000', '788794760764985344')
('221891088', '788794760764985344')
('298337938', '788794760764985344')
('801274880', '788794760764985344')
('3003363107', '788794760764985344')
('924406148', '788794760764985344')
('904132247632191488', '788794760764985344')
('626514674', '788794760764985344')
('824676738810675201', '788794760764985344')
('785890139323133952', '788794760764985344')
('2224386625', '788794760764985344')
('3293674760', '788794760764985344')
('2485076722', '788794760764985344')
('3219023056', '788794760764985344')
('635788683', '788794760764985344')
('3975689128', '788794760764985344')
('2479260095', '788794760764985344')
('163050229', '788794760764985344')
('882975579607379970', '788794760764985344')
('2881685991', '788794760764985344')
('149176606', '788794760764985344')
('2289992652', '788794760764985344')
('3292310063', '788794760764985344')
('306005658', '788794760764985344')
('738420477186715649', '788794760764985344')
('2475328869', '788794760764985344')
('3135254439', '788794760764985344')
('710682728962899968', '788794760764985344')
('3669259222', '788794760764985344')
('3075641974', '788794760764985344')
('302313187', '788794760764985344')
('890962075215962112', '788794760764985344')
('2823289101', '788794760764985344')
('4130462981', '788794760764985344')
('3078705716', '788794760764985344')
('2202043813', '788794760764985344')
('2610279216', '788794760764985344')
('111910093', '788794760764985344')
('1375941661', '788794760764985344')
('823549790', '788794760764985344')
('876522555397603330', '788794760764985344')
('897491918908788737', '788794760764985344')
('879503072292212736', '788794760764985344')
('919681873646964736', '788794760764985344')
('3383488685', '788794760764985344')
('788764345459236864', '788794760764985344')
('263863832', '788794760764985344')
('4663851316', '788794760764985344')
('3449613561', '788794760764985344')
('2239902582', '788794760764985344')
('232937187', '788794760764985344')
('721396074674589697', '788794760764985344')
('733434998347431936', '788794760764985344')
('771412829551337472', '788794760764985344')
('61311824', '788794760764985344')
('923730056492527616', '788794760764985344')
('3290670962', '788794760764985344')
('391527312', '788794760764985344')
('2393477166', '788794760764985344')
('2658379586', '788794760764985344')
('2921360878', '788794760764985344')
('60825984', '788794760764985344')
('256588497', '788794760764985344')
('3064567559', '788794760764985344')
('4180493699', '788794760764985344')
('3463818317', '788794760764985344')
('70137716', '788794760764985344')
('2750618680', '788794760764985344')
('526947669', '788794760764985344')
('318508614', '788794760764985344')
('337354345', '788794760764985344')
('366309373', '788794760764985344')
('1621312562', '788794760764985344')
