Id,Label,timeset,indegree,outdegree,degree
31564821,,,0,1,1
2479861125,,,6633,1,6634
2875693529,,,0,2,2
3378980441,,,0,1,1
344044291,,,0,1,1
2477516610,,,0,1,1
3407603871,,,0,3,3
219380752,,,0,1,1
2868174243,,,0,5,5
819034668528009217,,,0,1,1
4898183075,,,0,1,1
1289956723,,,0,1,1
310564947,,,0,1,1
861721949885673472,,,0,1,1
741260652539486208,,,0,3,3
22524976,,,0,1,1
864277643600031744,,,0,2,2
855839429516283904,,,0,1,1
928779784234127361,,,0,2,2
272415116,,,0,2,2
2917485347,,,0,2,2
730059579694956546,,,0,1,1
1173603798,,,0,3,3
478211554,,,0,2,2
796887430381060096,,,0,1,1
1061769432,,,0,1,1
466853611,,,0,2,2
3017894621,,,261,4,265
3438500315,,,0,1,1
1651503240,,,0,1,1
2540319445,,,0,1,1
261259294,,,0,1,1
918230010,,,0,6,6
382877153,,,0,1,1
227394617,,,0,4,4
913173816,,,0,1,1
134154752,,,0,2,2
148046546,,,0,2,2
880476217501265920,,,0,1,1
775757452973371392,,,0,3,3
354484844,,,0,5,5
697015240827998208,,,0,1,1
472408123,,,0,2,2
254659443,,,0,1,1
372258101,,,0,1,1
2694172388,,,0,1,1
3091595518,,,0,2,2
15052095,,,995,2,997
272094040,,,0,2,2
3808765037,,,0,1,1
795593032632561665,,,0,3,3
245457329,,,0,1,1
4711801588,,,0,1,1
735992274082009089,,,0,1,1
2453202067,,,0,1,1
889935571560300545,,,0,1,1
911610626002374656,,,0,5,5
763604313344180224,,,0,1,1
329938518,,,0,1,1
725819722344837121,,,0,1,1
738889646231457792,,,0,2,2
1697885876,,,0,2,2
3043466909,,,0,2,2
439747637,,,0,1,1
323829040,,,0,1,1
798182986189590530,,,0,2,2
334106512,,,0,1,1
2909235112,,,0,1,1
384288143,,,13,2,15
259519508,,,0,1,1
102172463,,,0,2,2
787749619426025474,,,0,1,1
2996892293,,,0,1,1
4883248971,,,0,1,1
2982543208,,,0,1,1
2394753523,,,0,1,1
4441947587,,,0,1,1
268028438,,,0,1,1
2577861217,,,0,1,1
2270830603,,,0,1,1
44157629,,,0,2,2
112539602,,,0,3,3
2180259716,,,0,4,4
322284317,,,0,2,2
3713424916,,,0,1,1
758329795121967104,,,0,2,2
830865499999318017,,,0,8,8
712286780318478336,,,0,1,1
361571023,,,0,1,1
170388057,,,0,2,2
3120070583,,,0,2,2
742744416910200832,,,0,1,1
2462174598,,,0,1,1
432931610,,,0,1,1
2742203506,,,0,1,1
1132136112,,,0,5,5
703350099229933568,,,0,3,3
2343525795,,,0,1,1
3383358437,,,0,4,4
104873945,,,0,2,2
4198386693,,,0,1,1
724265724353634305,,,0,1,1
2902559686,,,0,1,1
1490408534,,,0,4,4
