('31564821', '2479861125')
('2875693529', '2479861125')
('3378980441', '2479861125')
('344044291', '2479861125')
('2477516610', '2479861125')
('3407603871', '2479861125')
('219380752', '2479861125')
('2868174243', '2479861125')
('819034668528009217', '2479861125')
('4898183075', '2479861125')
('1289956723', '2479861125')
('310564947', '2479861125')
('861721949885673472', '2479861125')
('864277643600031744', '2479861125')
('855839429516283904', '2479861125')
('928779784234127361', '2479861125')
('272415116', '2479861125')
('2917485347', '2479861125')
('730059579694956546', '2479861125')
('1173603798', '2479861125')
('478211554', '2479861125')
('796887430381060096', '2479861125')
('1061769432', '2479861125')
('466853611', '2479861125')
('3017894621', '2479861125')
('3438500315', '2479861125')
('1651503240', '2479861125')
('2540319445', '2479861125')
('261259294', '2479861125')
('382877153', '2479861125')
('227394617', '2479861125')
('913173816', '2479861125')
('134154752', '2479861125')
('148046546', '2479861125')
('880476217501265920', '2479861125')
('775757452973371392', '2479861125')
('354484844', '2479861125')
('697015240827998208', '2479861125')
('472408123', '2479861125')
('254659443', '2479861125')
('372258101', '2479861125')
('2694172388', '2479861125')
('3091595518', '2479861125')
('272094040', '2479861125')
('3808765037', '2479861125')
('795593032632561665', '2479861125')
('245457329', '2479861125')
('4711801588', '2479861125')
('735992274082009089', '2479861125')
('2453202067', '2479861125')
('889935571560300545', '2479861125')
('911610626002374656', '2479861125')
('763604313344180224', '2479861125')
('329938518', '2479861125')
('725819722344837121', '2479861125')
('738889646231457792', '2479861125')
('1697885876', '2479861125')
('3043466909', '2479861125')
('323829040', '2479861125')
('798182986189590530', '2479861125')
('334106512', '2479861125')
('2909235112', '2479861125')
('259519508', '2479861125')
('102172463', '2479861125')
('787749619426025474', '2479861125')
('2996892293', '2479861125')
('4883248971', '2479861125')
('2982543208', '2479861125')
('2394753523', '2479861125')
('4441947587', '2479861125')
('268028438', '2479861125')
('2577861217', '2479861125')
('2270830603', '2479861125')
('44157629', '2479861125')
('112539602', '2479861125')
('2180259716', '2479861125')
('322284317', '2479861125')
('3713424916', '2479861125')
('758329795121967104', '2479861125')
('830865499999318017', '2479861125')
('712286780318478336', '2479861125')
('361571023', '2479861125')
('170388057', '2479861125')
('3120070583', '2479861125')
('742744416910200832', '2479861125')
('2462174598', '2479861125')
('432931610', '2479861125')
('2742203506', '2479861125')
('1132136112', '2479861125')
('703350099229933568', '2479861125')
('2343525795', '2479861125')
('3383358437', '2479861125')
('104873945', '2479861125')
('4198386693', '2479861125')
('724265724353634305', '2479861125')
('2902559686', '2479861125')
('1490408534', '2479861125')
('796126488194072576', '2479861125')
('2539823338', '2479861125')
('2424430783', '2479861125')
('966646106', '2479861125')
('342665196', '2479861125')
('2948632835', '2479861125')
('81240371', '2479861125')
('526087222', '2479861125')
('807325864035831808', '2479861125')
('2986183587', '2479861125')
('53034224', '2479861125')
('3010231996', '2479861125')
('2858973110', '2479861125')
('370918242', '2479861125')
('926373361', '2479861125')
('3090135133', '2479861125')
('1246103509', '2479861125')
('451747518', '2479861125')
('2460547627', '2479861125')
('810594005247528960', '2479861125')
('879839593729843200', '2479861125')
('899799498733608961', '2479861125')
('4636257634', '2479861125')
('544624860', '2479861125')
('230835298', '2479861125')
('117699834', '2479861125')
('3377856581', '2479861125')
('2914130019', '2479861125')
('4443670642', '2479861125')
('331573511', '2479861125')
('721450977912602624', '2479861125')
('2358072368', '2479861125')
('495446860', '2479861125')
('1092324535', '2479861125')
('2298459674', '2479861125')
('2815517130', '2479861125')
('919403260888469505', '2479861125')
('3421124187', '2479861125')
('607376683', '2479861125')
('3290460795', '2479861125')
('1029880592', '2479861125')
('908443768621289472', '2479861125')
('170026357', '2479861125')
('474152960', '2479861125')
('788163420306767872', '2479861125')
('772327592', '2479861125')
('837479820', '2479861125')
('2199693126', '2479861125')
('2246657387', '2479861125')
('1373376440', '2479861125')
('2614740666', '2479861125')
('186575146', '2479861125')
('746176332522979328', '2479861125')
('795807771350487040', '2479861125')
('4188766288', '2479861125')
('105621372', '2479861125')
('37511450', '2479861125')
('2822597898', '2479861125')
('369679790', '2479861125')
('783814330307514368', '2479861125')
('875371526882816001', '2479861125')
('1033483393', '2479861125')
('404842457', '2479861125')
('42951303', '2479861125')
('285583244', '2479861125')
('279634303', '2479861125')
('4911262019', '2479861125')
('2535888716', '2479861125')
('1129676371', '2479861125')
('157428804', '2479861125')
('748202305489633281', '2479861125')
('3379096420', '2479861125')
('2272037939', '2479861125')
('702044389', '2479861125')
('59663561', '2479861125')
('882439229321732096', '2479861125')
('3635601856', '2479861125')
('3015445917', '2479861125')
('396760883', '2479861125')
('2654676672', '2479861125')
('2735200750', '2479861125')
('3221189031', '2479861125')
('1592146554', '2479861125')
('729187902517825537', '2479861125')
('137861340', '2479861125')
('3430616188', '2479861125')
('348187113', '2479861125')
('829912875535855617', '2479861125')
('389779324', '2479861125')
('2245581762', '2479861125')
('23803190', '2479861125')
('144675710', '2479861125')
('1682049414', '2479861125')
('44230739', '2479861125')
('806879707283292161', '2479861125')
('2893030209', '2479861125')
('764925936949223428', '2479861125')
('2916642939', '2479861125')
('614440526', '2479861125')
('927514414911238145', '2479861125')
('770182639', '2479861125')
('835977053652537345', '2479861125')
('4838280136', '2479861125')
('3418793555', '2479861125')
('3392335222', '2479861125')
('4870567467', '2479861125')
('3391258174', '2479861125')
('2584143892', '2479861125')
('3390980973', '2479861125')
('173632645', '2479861125')
('223570038', '2479861125')
('419631680', '2479861125')
('3403432547', '2479861125')
('247833074', '2479861125')
('92730976', '2479861125')
('82004979', '2479861125')
('55899045', '2479861125')
('1357989314', '2479861125')
('366763625', '2479861125')
('79564983', '2479861125')
('139460045', '2479861125')
('232966861', '2479861125')
('1609434289', '2479861125')
('564747999', '2479861125')
('818519443', '2479861125')
('851623047194963970', '2479861125')
('214940576', '2479861125')
('134244844', '2479861125')
('224079511', '2479861125')
('859082976243716097', '2479861125')
('3419171524', '2479861125')
('278286861', '2479861125')
('3050185733', '2479861125')
('858803472354996225', '2479861125')
('66054643', '2479861125')
('3917676498', '2479861125')
('47159762', '2479861125')
('1343328979', '2479861125')
('3022766583', '2479861125')
('738484040882343941', '2479861125')
('409580986', '2479861125')
('885661228403748865', '2479861125')
('797076858', '2479861125')
('4027776280', '2479861125')
('2169364866', '2479861125')
('3377941979', '2479861125')
('812149676950638592', '2479861125')
('438769588', '2479861125')
('3665849195', '2479861125')
('2847641433', '2479861125')
('41334332', '2479861125')
('417785565', '2479861125')
