('741260652539486208', '2479861125')
('22524976', '2479861125')
('918230010', '2479861125')
('15052095', '2479861125')
('439747637', '2479861125')
('384288143', '2479861125')
('74763991', '2479861125')
('130050505', '2479861125')
('1529264076', '2479861125')
('815281266165739521', '2479861125')
('153542781', '2479861125')
('21209312', '2479861125')
('75278752', '2479861125')
('820761337076862976', '2479861125')
('43778700', '2479861125')
('30331887', '2479861125')
('3384965187', '2479861125')
('233172857', '2479861125')
('2593985479', '2479861125')
('2923351162', '2479861125')
('880015767575592961', '2479861125')
('164493626', '2479861125')
('891816825423613953', '2479861125')
('27733043', '2479861125')
('39681140', '2479861125')
('2275240406', '2479861125')
('155011781', '2479861125')
('885249943933464577', '2479861125')
('257561621', '2479861125')
('847372182560821248', '2479861125')
('131989342', '2479861125')
('232193562', '2479861125')
('59852269', '2479861125')
('50399538', '2479861125')
('307680314', '2479861125')
('588050028', '2479861125')
('603039647', '2479861125')
('78983380', '2479861125')
('613806308', '2479861125')
('79590446', '2479861125')
('26305995', '2479861125')
('65536882', '2479861125')
('250726429', '2479861125')
('46458025', '2479861125')
('803057674770382849', '2479861125')
('9532512', '2479861125')
('390521605', '2479861125')
('895704953431379968', '2479861125')
('107148516', '2479861125')
('206383020', '2479861125')
('917005626747867136', '2479861125')
('1382945863', '2479861125')
('232947972', '2479861125')
('220014124', '2479861125')
('56463385', '2479861125')
('35810163', '2479861125')
('743193077540593664', '2479861125')
('1954198669', '2479861125')
('137075450', '2479861125')
('29327589', '2479861125')
('779705551487897600', '2479861125')
('811915305119268864', '2479861125')
('725155600993234944', '2479861125')
('3352461935', '2479861125')
('123015325', '2479861125')
('219337183', '2479861125')
('841772305772646401', '2479861125')
('513371358', '2479861125')
('802259507464327169', '2479861125')
('3621940589', '2479861125')
('2561527081', '2479861125')
('834491147636572160', '2479861125')
('867460969018032128', '2479861125')
('257660251', '2479861125')
('14578408', '2479861125')
('206126628', '2479861125')
('801656018', '2479861125')
('706187298807926786', '2479861125')
('524996113', '2479861125')
('899756952460427266', '2479861125')
('924680436869222401', '2479861125')
('31102405', '2479861125')
('130318461', '2479861125')
('101293639', '2479861125')
('74456143', '2479861125')
('2843475976', '2479861125')
('445194692', '2479861125')
('866298886339653633', '2479861125')
('52243399', '2479861125')
('87042194', '2479861125')
('392847235', '2479861125')
('55213613', '2479861125')
('4840564413', '2479861125')
('116018620', '2479861125')
('33106805', '2479861125')
('779396494810030080', '2479861125')
('920114496', '2479861125')
('237876492', '2479861125')
('30235413', '2479861125')
('51760818', '2479861125')
('185901412', '2479861125')
('2536134972', '2479861125')
('156803318', '2479861125')
('757003198414675969', '2479861125')
('174314291', '2479861125')
('60080948', '2479861125')
('841454115926482947', '2479861125')
('139309268', '2479861125')
('68169774', '2479861125')
('72986748', '2479861125')
('52320604', '2479861125')
('47984479', '2479861125')
('59495315', '2479861125')
('2684792114', '2479861125')
('723459030329495552', '2479861125')
('81948392', '2479861125')
('69123444', '2479861125')
('2450314009', '2479861125')
('459268029', '2479861125')
('67778641', '2479861125')
('32655646', '2479861125')
('85362144', '2479861125')
('70142001', '2479861125')
('16076032', '2479861125')
('835555507708571649', '2479861125')
('65747961', '2479861125')
('922231515307827200', '2479861125')
('4896399365', '2479861125')
('1875563108', '2479861125')
('64033467', '2479861125')
('2149465351', '2479861125')
('85505188', '2479861125')
('905564503076737025', '2479861125')
('391527312', '2479861125')
('145835435', '2479861125')
('209827273', '2479861125')
('819686551789727749', '2479861125')
('747757777955733504', '2479861125')
('40081799', '2479861125')
('799401038893682688', '2479861125')
('2732868045', '2479861125')
('2750618680', '2479861125')
('750639503413575680', '2479861125')
('363811301', '2479861125')
('124611341', '2479861125')
('926909678663200768', '2479861125')
('2480293392', '2479861125')
('894392665009160193', '2479861125')
('23123766', '2479861125')
('157821751', '2479861125')
('8366602', '2479861125')
('2612305538', '2479861125')
('42361572', '2479861125')
('42133254', '2479861125')
('244978806', '2479861125')
('3234035197', '2479861125')
('967144627', '2479861125')
('17242983', '2479861125')
('386273245', '2479861125')
('1645736942', '2479861125')
('52794039', '2479861125')
('73705030', '2479861125')
('37940105', '2479861125')
('53775350', '2479861125')
('710825443927130112', '2479861125')
('915787628', '2479861125')
('69386013', '2479861125')
('230558044', '2479861125')
('28181574', '2479861125')
('129520913', '2479861125')
('144846064', '2479861125')
('2288630068', '2479861125')
('27152664', '2479861125')
('3307143717', '2479861125')
('2727720766', '2479861125')
('2325604446', '2479861125')
('36206294', '2479861125')
('56732461', '2479861125')
('3398800169', '2479861125')
('58698196', '2479861125')
('41841978', '2479861125')
('53530923', '2479861125')
('823194031278739456', '2479861125')
('359569903', '2479861125')
('40555052', '2479861125')
('905991276411187200', '2479861125')
('914133475413958657', '2479861125')
('176618654', '2479861125')
('3086524820', '2479861125')
('80859759', '2479861125')
('867045212253716483', '2479861125')
('3090039929', '2479861125')
('314895047', '2479861125')
('75887951', '2479861125')
('1106123526', '2479861125')
('2820029937', '2479861125')
('23435992', '2479861125')
('102214365', '2479861125')
('2216258137', '2479861125')
('871527118148075520', '2479861125')
('741953642', '2479861125')
('3135288427', '2479861125')
('31120503', '2479861125')
('2986151776', '2479861125')
('87484506', '2479861125')
('180829244', '2479861125')
('74709317', '2479861125')
('73499343', '2479861125')
('766641463715360768', '2479861125')
('387908903', '2479861125')
('16782757', '2479861125')
('927989105056722944', '2479861125')
('118276222', '2479861125')
('83745451', '2479861125')
('19350237', '2479861125')
('3024114711', '2479861125')
('3995342115', '2479861125')
('1061092531', '2479861125')
('739813601305845760', '2479861125')
('225899337', '2479861125')
('2447442883', '2479861125')
('189991180', '2479861125')
('874710282098094080', '2479861125')
('178856508', '2479861125')
('1068643632', '2479861125')
('45994182', '2479861125')
('16567282', '2479861125')
('272699714', '2479861125')
('837632077755518976', '2479861125')
('4655566113', '2479861125')
('26748706', '2479861125')
('43167222', '2479861125')
('869549616097894400', '2479861125')
('369115885', '2479861125')
('717442336238780416', '2479861125')
('182573469', '2479861125')
('68162481', '2479861125')
('50824369', '2479861125')
('47105050', '2479861125')
('15833278', '2479861125')
('3091431887', '2479861125')
('79311662', '2479861125')
('897279690070777856', '2479861125')
('19779457', '2479861125')
('382620672', '2479861125')
('796180188946112512', '2479861125')
('323970803', '2479861125')
('746112824535982080', '2479861125')
('3988038701', '2479861125')
('710029328', '2479861125')
('37550350', '2479861125')
('224840629', '2479861125')
('917010000', '2479861125')
('228105484', '2479861125')
('188133770', '2479861125')
('304243291', '2479861125')
('928808403610361856', '2479861125')
('3656296581', '2479861125')
('486126921', '2479861125')
('1420578889', '2479861125')
('2719825617', '2479861125')
('69373723', '2479861125')
('1732439072', '2479861125')
('847844733410041856', '2479861125')
('126007874', '2479861125')
('52851672', '2479861125')
('713618014', '2479861125')
('139692862', '2479861125')
('40168534', '2479861125')
('707234149', '2479861125')
('447637767', '2479861125')
('134895250', '2479861125')
('97662208', '2479861125')
('77558104', '2479861125')
('176942454', '2479861125')
('789236131179204612', '2479861125')
('822095519824707587', '2479861125')
('851983047260073985', '2479861125')
('61841191', '2479861125')
('735286885489201152', '2479861125')
('238296680', '2479861125')
('209780012', '2479861125')
('84698627', '2479861125')
('759677136751955969', '2479861125')
('3439927762', '2479861125')
('821563851242164229', '2479861125')
('138597175', '2479861125')
('39342717', '2479861125')
('3981258171', '2479861125')
('51074105', '2479861125')
('48722060', '2479861125')
('184440898', '2479861125')
('874829128310173696', '2479861125')
('620152169', '2479861125')
('8160982', '2479861125')
('382188536', '2479861125')
('28450926', '2479861125')
('2577899094', '2479861125')
('1963768362', '2479861125')
('910181970134564865', '2479861125')
('373491996', '2479861125')
('21088788', '2479861125')
('885905019677155328', '2479861125')
('1483545066', '2479861125')
('346651240', '2479861125')
('25917187', '2479861125')
('253293469', '2479861125')
('1084163330', '2479861125')
('377506167', '2479861125')
('1187322295', '2479861125')
('727255341575057409', '2479861125')
('2855868959', '2479861125')
('3396266608', '2479861125')
('3368234410', '2479861125')
('859017149909786624', '2479861125')
('99980112', '2479861125')
('389787690', '2479861125')
('103153306', '2479861125')
('14673197', '2479861125')
('2246869912', '2479861125')
('1332030889', '2479861125')
('55709021', '2479861125')
('24729312', '2479861125')
('278539641', '2479861125')
('2546283805', '2479861125')
('125492493', '2479861125')
('70298604', '2479861125')
('74641083', '2479861125')
('26493255', '2479861125')
('39150596', '2479861125')
('2840674403', '2479861125')
('1011367170', '2479861125')
('18995713', '2479861125')
('3459398483', '2479861125')
('265128619', '2479861125')
('23572242', '2479861125')
('50197347', '2479861125')
('903428269021777922', '2479861125')
('3436887027', '2479861125')
('929415917456515072', '2479861125')
('128962553', '2479861125')
('83169815', '2479861125')
('1342587938', '2479861125')
('850451186826305537', '2479861125')
('290565936', '2479861125')
('3309372917', '2479861125')
('74799555', '2479861125')
('2741674619', '2479861125')
('350930488', '2479861125')
('784817852264185856', '2479861125')
('200298697', '2479861125')
('10536952', '2479861125')
('1656463152', '2479861125')
('27724657', '2479861125')
('41953295', '2479861125')
('87472605', '2479861125')
('63823846', '2479861125')
('810946542752374784', '2479861125')
('39837411', '2479861125')
('1663471554', '2479861125')
('188593445', '2479861125')
('1069311422', '2479861125')
('826983138479968258', '2479861125')
('24582500', '2479861125')
('823480981327855616', '2479861125')
('73058790', '2479861125')
('174471891', '2479861125')
('331279802', '2479861125')
('181761613', '2479861125')
('79324013', '2479861125')
('3056998269', '2479861125')
('740202632975941632', '2479861125')
('413073951', '2479861125')
('895227350744543233', '2479861125')
('34402291', '2479861125')
('3054379735', '2479861125')
('3233990438', '2479861125')
('71189702', '2479861125')
('134821215', '2479861125')
('49845202', '2479861125')
('1327852177', '2479861125')
('2193223014', '2479861125')
('4063566701', '2479861125')
('15742480', '2479861125')
('227865334', '2479861125')
('139708549', '2479861125')
('129055072', '2479861125')
('135730048', '2479861125')
('712457584205238272', '2479861125')
('753823212', '2479861125')
