('587843021', '751429122073690112')
('2875693529', '751429122073690112')
('749820082348515328', '751429122073690112')
('818163508009431041', '751429122073690112')
('2868174243', '751429122073690112')
('3602988075', '751429122073690112')
('863180709330128896', '751429122073690112')
('1386022298', '751429122073690112')
('777263496673234944', '751429122073690112')
('3441939983', '751429122073690112')
('428228330', '751429122073690112')
('869317222757486592', '751429122073690112')
('3739623021', '751429122073690112')
('3462255983', '751429122073690112')
('880550173885202432', '751429122073690112')
('346232163', '751429122073690112')
('3171112408', '751429122073690112')
('874424704832069632', '751429122073690112')
('757606146', '751429122073690112')
('867172982124408833', '751429122073690112')
('849020130059321344', '751429122073690112')
('1623512822', '751429122073690112')
('864277643600031744', '751429122073690112')
('2898755158', '751429122073690112')
('814838863655043072', '751429122073690112')
('2883383124', '751429122073690112')
('922111483009536000', '751429122073690112')
('4260991162', '751429122073690112')
('1040774606', '751429122073690112')
('729122210166755328', '751429122073690112')
('749278071908364288', '751429122073690112')
('864243294833958912', '751429122073690112')
('187005279', '751429122073690112')
('3379738199', '751429122073690112')
('2400134694', '751429122073690112')
('701490943', '751429122073690112')
('219675162', '751429122073690112')
('1898723676', '751429122073690112')
('753011127127306240', '751429122073690112')
('4625848234', '751429122073690112')
('730525272060141570', '751429122073690112')
('2869315798', '751429122073690112')
('871515364668166144', '751429122073690112')
('827885067418685441', '751429122073690112')
('704477935', '751429122073690112')
('2707194907', '751429122073690112')
('2303434964', '751429122073690112')
('3121496460', '751429122073690112')
('3308681428', '751429122073690112')
('2888791775', '751429122073690112')
('354484844', '751429122073690112')
('2976352221', '751429122073690112')
('716949878224654336', '751429122073690112')
('3729220216', '751429122073690112')
('761999979737210884', '751429122073690112')
('4136327361', '751429122073690112')
('210836798', '751429122073690112')
('766270025464418304', '751429122073690112')
('1383194322', '751429122073690112')
('802618366452240386', '751429122073690112')
('2904543789', '751429122073690112')
('877153526031552513', '751429122073690112')
('889304770653171714', '751429122073690112')
('3622208722', '751429122073690112')
('2592629254', '751429122073690112')
('743962486722924544', '751429122073690112')
('1468595384', '751429122073690112')
('3146018687', '751429122073690112')
('844671716190244864', '751429122073690112')
('3390323231', '751429122073690112')
('890671593973841920', '751429122073690112')
('324137652', '751429122073690112')
('540946685', '751429122073690112')
('3599729536', '751429122073690112')
('1077462974', '751429122073690112')
('2805715601', '751429122073690112')
('914280079232061441', '751429122073690112')
('712126007365472260', '751429122073690112')
('614792780', '751429122073690112')
('905479480122241025', '751429122073690112')
('78688395', '751429122073690112')
('2843786481', '751429122073690112')
('2419730970', '751429122073690112')
('739654411253915648', '751429122073690112')
('498962147', '751429122073690112')
('4855714665', '751429122073690112')
('716404938872659968', '751429122073690112')
('2896828899', '751429122073690112')
('815357252324458496', '751429122073690112')
('3342161981', '751429122073690112')
('851904965450792960', '751429122073690112')
('725481274522128386', '751429122073690112')
('1131529592', '751429122073690112')
('915404879962755072', '751429122073690112')
('710996350570242048', '751429122073690112')
('3394944371', '751429122073690112')
('2288965695', '751429122073690112')
('3066303041', '751429122073690112')
('856755569805414400', '751429122073690112')
('1651560775', '751429122073690112')
('831921756', '751429122073690112')
('3079225766', '751429122073690112')
('722753564267933696', '751429122073690112')
('748669170561187840', '751429122073690112')
('3095730544', '751429122073690112')
('402296282', '751429122073690112')
('333482644', '751429122073690112')
('4038889042', '751429122073690112')
('762301792587743233', '751429122073690112')
('3343456852', '751429122073690112')
('3349298529', '751429122073690112')
('2419042863', '751429122073690112')
('2670692644', '751429122073690112')
('4828244452', '751429122073690112')
('2305776583', '751429122073690112')
('1860413149', '751429122073690112')
('2916835299', '751429122073690112')
('1654071896', '751429122073690112')
('288972810', '751429122073690112')
('855560041189040129', '751429122073690112')
('3246901881', '751429122073690112')
('2170985357', '751429122073690112')
('3013373807', '751429122073690112')
('703350099229933568', '751429122073690112')
('850129855907860484', '751429122073690112')
('2994421881', '751429122073690112')
('748275803088105472', '751429122073690112')
('2634571953', '751429122073690112')
('4025550701', '751429122073690112')
('2974946849', '751429122073690112')
('921507667541098496', '751429122073690112')
('3005864141', '751429122073690112')
('3047192271', '751429122073690112')
('4835245001', '751429122073690112')
('2598863604', '751429122073690112')
('3385689629', '751429122073690112')
('2863068815', '751429122073690112')
('756887306125053952', '751429122073690112')
('2765168529', '751429122073690112')
('393483987', '751429122073690112')
('3374909415', '751429122073690112')
('924822307780034560', '751429122073690112')
('1490408534', '751429122073690112')
('796126488194072576', '751429122073690112')
('865554232350433281', '751429122073690112')
('846405269655564288', '751429122073690112')
('1570347444', '751429122073690112')
('270354523', '751429122073690112')
('868829703506980864', '751429122073690112')
