('2332084555', '751429122073690112')
('2806522038', '751429122073690112')
('4878129123', '751429122073690112')
('856686831982841856', '751429122073690112')
('814177036264685568', '751429122073690112')
('844287013247430657', '751429122073690112')
('2207329574', '751429122073690112')
('933424067134320641', '751429122073690112')
('203513559', '751429122073690112')
('754024314622607360', '751429122073690112')
('840226307799695362', '751429122073690112')
('920459133488386050', '751429122073690112')
('3296476978', '751429122073690112')
('2636113145', '751429122073690112')
('844646895523901440', '751429122073690112')
('793171036053368833', '751429122073690112')
('862367518463275008', '751429122073690112')
('907700917', '751429122073690112')
('2433312959', '751429122073690112')
('2970159094', '751429122073690112')
('991728680', '751429122073690112')
('910872882896662528', '751429122073690112')
('1538558400', '751429122073690112')
('780543855544328197', '751429122073690112')
('1279115899', '751429122073690112')
('483514484', '751429122073690112')
('3810572655', '751429122073690112')
('239391159', '751429122073690112')
('312937732', '751429122073690112')
('1101815732', '751429122073690112')
('1468150243', '751429122073690112')
('1254141434', '751429122073690112')
('4562238562', '751429122073690112')
('938289612', '751429122073690112')
('420489757', '751429122073690112')
('3932825843', '751429122073690112')
('842473466368606210', '751429122073690112')
('1623469903', '751429122073690112')
('3008600303', '751429122073690112')
('770049446860161029', '751429122073690112')
