('4374914661', '711974647516897281')
('285830449', '711974647516897281')
('249735370', '711974647516897281')
('4869098279', '711974647516897281')
('2660980878', '711974647516897281')
('493365358', '711974647516897281')
('328052033', '711974647516897281')
('4916871358', '711974647516897281')
('227827406', '711974647516897281')
('746052027948601344', '711974647516897281')
('872469228', '711974647516897281')
('1430944412', '711974647516897281')
('196320338', '711974647516897281')
('3997658301', '711974647516897281')
('1528326871', '711974647516897281')
('2904516225', '711974647516897281')
('116812616', '711974647516897281')
('765015027879411712', '711974647516897281')
('111435783', '711974647516897281')
('2759064932', '711974647516897281')
('1470372560', '711974647516897281')
('842906552029855744', '711974647516897281')
('2259286697', '711974647516897281')
('777189038264647680', '711974647516897281')
('606816117', '711974647516897281')
('1517767268', '711974647516897281')
('2958792935', '711974647516897281')
