('2868174243', '774820925493637120')
('850583816582332417', '774820925493637120')
('2878822020', '774820925493637120')
('2917485347', '774820925493637120')
('1271133379', '774820925493637120')
('227394617', '774820925493637120')
('775757452973371392', '774820925493637120')
('808061511805628416', '774820925493637120')
('889304770653171714', '774820925493637120')
('911610626002374656', '774820925493637120')
('215034611', '774820925493637120')
('738889646231457792', '774820925493637120')
('4808367149', '774820925493637120')
('252716994', '774820925493637120')
('2544775411', '774820925493637120')
('1131529592', '774820925493637120')
('915014994152083458', '774820925493637120')
('818135366221840384', '774820925493637120')
('2831975186', '774820925493637120')
('334063314', '774820925493637120')
('924097896806539264', '774820925493637120')
('3296478442', '774820925493637120')
('2448111786', '774820925493637120')
('2997558523', '774820925493637120')
('1666115714', '774820925493637120')
('1414198825', '774820925493637120')
('566164224', '774820925493637120')
('2825992510', '774820925493637120')
('164046996', '774820925493637120')
('456850877', '774820925493637120')
('2938577813', '774820925493637120')
('2281209522', '774820925493637120')
('224616315', '774820925493637120')
('899745329372909568', '774820925493637120')
('3306732970', '774820925493637120')
('2781403446', '774820925493637120')
('359017388', '774820925493637120')
('4410194921', '774820925493637120')
('1293195248', '774820925493637120')
('929467756851974145', '774820925493637120')
('803191179378626560', '774820925493637120')
('904843512113491970', '774820925493637120')
('3782816961', '774820925493637120')
('308545614', '774820925493637120')
('354514701', '774820925493637120')
('736954913809412096', '774820925493637120')
('761260940637696000', '774820925493637120')
('907417614099591168', '774820925493637120')
('3363262865', '774820925493637120')
('795743694989197313', '774820925493637120')
('43207329', '774820925493637120')
('1170300457', '774820925493637120')
('1676947981', '774820925493637120')
('2330212752', '774820925493637120')
('719213736964308992', '774820925493637120')
('564747999', '774820925493637120')
('1137762139', '774820925493637120')
('386832014', '774820925493637120')
('1343328979', '774820925493637120')
('2967888993', '774820925493637120')
('3035584828', '774820925493637120')
('2384291999', '774820925493637120')
('184554135', '774820925493637120')
('2967149477', '774820925493637120')
('3050823377', '774820925493637120')
('3192647165', '774820925493637120')
('721857819050422272', '774820925493637120')
('2191053686', '774820925493637120')
('3246412455', '774820925493637120')
('160685860', '774820925493637120')
('750018684857491456', '774820925493637120')
('714806172', '774820925493637120')
('827946342572052484', '774820925493637120')
('48762891', '774820925493637120')
('890020296337575936', '774820925493637120')
('1229913848', '774820925493637120')
('1457111828', '774820925493637120')
('740646284911116289', '774820925493637120')
('912811099694739457', '774820925493637120')
('817197411915415555', '774820925493637120')
('1334426264', '774820925493637120')
('175222015', '774820925493637120')
('2411003909', '774820925493637120')
('3473885374', '774820925493637120')
('3064112391', '774820925493637120')
('2169320973', '774820925493637120')
('902913688826466306', '774820925493637120')
('55971182', '774820925493637120')
('3144637467', '774820925493637120')
('3439004446', '774820925493637120')
('857068402866872320', '774820925493637120')
('1449719720', '774820925493637120')
