('1029880592', '774820925493637120')
('107398052', '774820925493637120')
('200570597', '774820925493637120')
('86077840', '774820925493637120')
('3226655951', '774820925493637120')
('2339181704', '774820925493637120')
('709773778658660352', '774820925493637120')
('213849908', '774820925493637120')
('4473752373', '774820925493637120')
('898912632668909573', '774820925493637120')
('3406641322', '774820925493637120')
('3393760773', '774820925493637120')
('1350015974', '774820925493637120')
('4048043385', '774820925493637120')
('1058138617', '774820925493637120')
('871397920452620288', '774820925493637120')
('120754759', '774820925493637120')
('809151758593359880', '774820925493637120')
('90382422', '774820925493637120')
('761437204736598018', '774820925493637120')
('1236926587', '774820925493637120')
