('796789965506150400', '865362602783854592')
('461386501', '865362602783854592')
('1109313138', '865362602783854592')
('859851371234947072', '865362602783854592')
('1149984234', '865362602783854592')
('854436299977129984', '865362602783854592')
('3407603871', '865362602783854592')
('704868528457969664', '865362602783854592')
('2868174243', '865362602783854592')
('3602988075', '865362602783854592')
('897645882035908608', '865362602783854592')
('808033377890799616', '865362602783854592')
('4016013071', '865362602783854592')
('783446614824390657', '865362602783854592')
('749717801376645120', '865362602783854592')
('836999959220273160', '865362602783854592')
('910258779962396673', '865362602783854592')
('1679736936', '865362602783854592')
('2952081911', '865362602783854592')
('1918644428', '865362602783854592')
('2391542715', '865362602783854592')
('809012532044333056', '865362602783854592')
('787767237193134081', '865362602783854592')
('4827716770', '865362602783854592')
('4822097452', '865362602783854592')
('2867149360', '865362602783854592')
('779753505053675520', '865362602783854592')
('3361567276', '865362602783854592')
('807755113465085952', '865362602783854592')
('891813604139388930', '865362602783854592')
('2911647671', '865362602783854592')
('2364010671', '865362602783854592')
('913556261437833216', '865362602783854592')
('892072766102544385', '865362602783854592')
('1708736509', '865362602783854592')
('1104668960', '865362602783854592')
('1747548908', '865362602783854592')
('809726181578829825', '865362602783854592')
('902942328662437891', '865362602783854592')
('2889626615', '865362602783854592')
('805155526623559681', '865362602783854592')
('849428711296380932', '865362602783854592')
('746718303155011584', '865362602783854592')
('3202395118', '865362602783854592')
('3956251162', '865362602783854592')
('3304140789', '865362602783854592')
('4835213176', '865362602783854592')
('2189092610', '865362602783854592')
('2345577103', '865362602783854592')
('761023863283036160', '865362602783854592')
('4777691607', '865362602783854592')
('4832838431', '865362602783854592')
('900497627866902528', '865362602783854592')
('818802036556918786', '865362602783854592')
('227394617', '865362602783854592')
('830269214514614274', '865362602783854592')
('3653177540', '865362602783854592')
('922866239076294656', '865362602783854592')
('905785400983252992', '865362602783854592')
('892600326678654977', '865362602783854592')
('2607473763', '865362602783854592')
('60391888', '865362602783854592')
('407213322', '865362602783854592')
('4406420494', '865362602783854592')
('886708215634939904', '865362602783854592')
('198247338', '865362602783854592')
('2721643689', '865362602783854592')
('743601475700531200', '865362602783854592')
('2858050300', '865362602783854592')
('3744041656', '865362602783854592')
('289968819', '865362602783854592')
('775757452973371392', '865362602783854592')
('831921213815607297', '865362602783854592')
('915398330053783552', '865362602783854592')
('754891800687566852', '865362602783854592')
('911212653695127553', '865362602783854592')
('732919570508439552', '865362602783854592')
('795593032632561665', '865362602783854592')
('2904543789', '865362602783854592')
('751873839341207552', '865362602783854592')
('890749118360023041', '865362602783854592')
('911610626002374656', '865362602783854592')
('4626539302', '865362602783854592')
('914326196997033984', '865362602783854592')
('1537745504', '865362602783854592')
('703277595333410816', '865362602783854592')
('752556628860342272', '865362602783854592')
('851640483457765377', '865362602783854592')
('1064007614', '865362602783854592')
('81682254', '865362602783854592')
('2297759711', '865362602783854592')
('713082290604281857', '865362602783854592')
('540946685', '865362602783854592')
('795646163647102979', '865362602783854592')
('731638804252135424', '865362602783854592')
('705507563014590464', '865362602783854592')
('723857412764143616', '865362602783854592')
('801990955092115456', '865362602783854592')
('802874065467932672', '865362602783854592')
('817156050050838529', '865362602783854592')
('814211119128649729', '865362602783854592')
('2781212057', '865362602783854592')
('778392182042624000', '865362602783854592')
('716769726022569985', '865362602783854592')
('823512367061409792', '865362602783854592')
('752254200684347392', '865362602783854592')
('703275051492253696', '865362602783854592')
('3318320410', '865362602783854592')
('3351390652', '865362602783854592')
('771400656980770816', '865362602783854592')
('535977594', '865362602783854592')
('713231682359463936', '865362602783854592')
('743979878773555201', '865362602783854592')
('738071200539287553', '865362602783854592')
('756638046083244032', '865362602783854592')
('842938252927664128', '865362602783854592')
('3394944371', '865362602783854592')
('741369259008360448', '865362602783854592')
('2294740980', '865362602783854592')
('2987455486', '865362602783854592')
('920326405333889025', '865362602783854592')
('4153218191', '865362602783854592')
('3066303041', '865362602783854592')
('4902857764', '865362602783854592')
('3047306541', '865362602783854592')
('4121567229', '865362602783854592')
('762383565132881921', '865362602783854592')
('827202851785019393', '865362602783854592')
('4697350928', '865362602783854592')
('2908526474', '865362602783854592')
('2880079996', '865362602783854592')
('888222300302180352', '865362602783854592')
('873641420535586818', '865362602783854592')
('839259313596153856', '865362602783854592')
('1654071896', '865362602783854592')
