('622146127', '865362602783854592')
('868168875145404420', '865362602783854592')
('2961567844', '865362602783854592')
('777263496673234944', '865362602783854592')
('917540597606633473', '865362602783854592')
('2873584008', '865362602783854592')
('2391532839', '865362602783854592')
('874424704832069632', '865362602783854592')
('884203592751689728', '865362602783854592')
('1520743350', '865362602783854592')
('756931266876993536', '865362602783854592')
('864243294833958912', '865362602783854592')
('3807182597', '865362602783854592')
('710172116457562112', '865362602783854592')
('705163698168528896', '865362602783854592')
('797501342587777024', '865362602783854592')
('815575670646591492', '865362602783854592')
('2166629242', '865362602783854592')
('3404635348', '865362602783854592')
('768308646400983040', '865362602783854592')
('850716815479234562', '865362602783854592')
('3424593459', '865362602783854592')
('3303391468', '865362602783854592')
('2615175076', '865362602783854592')
('873537042126446593', '865362602783854592')
('933706393210818560', '865362602783854592')
('1077462974', '865362602783854592')
('340537685', '865362602783854592')
('898299104178171904', '865362602783854592')
('3387743201', '865362602783854592')
('864947533960929280', '865362602783854592')
('4203457761', '865362602783854592')
('914309997256945664', '865362602783854592')
('851904965450792960', '865362602783854592')
('3385166993', '865362602783854592')
('906500250189398017', '865362602783854592')
('2288965695', '865362602783854592')
('2679790492', '865362602783854592')
('2180259716', '865362602783854592')
('917191582490791936', '865362602783854592')
('2889154878', '865362602783854592')
('2738344053', '865362602783854592')
('2724447230', '865362602783854592')
('2766416121', '865362602783854592')
('724367325412102147', '865362602783854592')
('859804785691811841', '865362602783854592')
('891309262412148737', '865362602783854592')
('905171124971085825', '865362602783854592')
('744299712015122432', '865362602783854592')
('735616773266018304', '865362602783854592')
('3374909415', '865362602783854592')
('846405269655564288', '865362602783854592')
('2688764667', '865362602783854592')
('4875298829', '865362602783854592')
('2280883626', '865362602783854592')
('783776605952937984', '865362602783854592')
('920041242167250944', '865362602783854592')
('762419872215158784', '865362602783854592')
('4596519376', '865362602783854592')
('3482837056', '865362602783854592')
('3382731772', '865362602783854592')
('4828117265', '865362602783854592')
('734938402374705152', '865362602783854592')
('2936241095', '865362602783854592')
('2883842471', '865362602783854592')
('756292133166977028', '865362602783854592')
