('213519812', '774592682144464896')
('56137447', '774592682144464896')
('62140453', '774592682144464896')
('279170358', '774592682144464896')
('941760300906315776', '774592682144464896')
('841277164490223620', '774592682144464896')
('2685619861', '774592682144464896')
('3012883066', '774592682144464896')
('195458943', '774592682144464896')
('480516128', '774592682144464896')
('4925039705', '774592682144464896')
('956227877548298241', '774592682144464896')
('4921482016', '774592682144464896')
('889002894304956418', '774592682144464896')
('859575832943185921', '774592682144464896')
('245952550', '774592682144464896')
('1308701510', '774592682144464896')
('298578141', '774592682144464896')
('870991273', '774592682144464896')
('711715387260444672', '774592682144464896')
('704776093937618944', '774592682144464896')
('836920478568677377', '774592682144464896')
('462230298', '774592682144464896')
('954000689151315968', '774592682144464896')
('271036495', '774592682144464896')
('274830347', '774592682144464896')
('3396061870', '774592682144464896')
('545627235', '774592682144464896')
('36879200', '774592682144464896')
('3188166737', '774592682144464896')
('2483070094', '774592682144464896')
('854918055020949504', '774592682144464896')
('2826348299', '774592682144464896')
('4744832267', '774592682144464896')
('279242355', '774592682144464896')
('344965817', '774592682144464896')
('214589136', '774592682144464896')
('114251846', '774592682144464896')
('469855186', '774592682144464896')
('1973571050', '774592682144464896')
('302687622', '774592682144464896')
('380492318', '774592682144464896')
('996054673', '774592682144464896')
('600083336', '774592682144464896')
('36962773', '774592682144464896')
('832737024427765762', '774592682144464896')
('2550020653', '774592682144464896')
('4290708089', '774592682144464896')
('949050626373246978', '774592682144464896')
('1109993149', '774592682144464896')
('615366666', '774592682144464896')
('3816472335', '774592682144464896')
('69866064', '774592682144464896')
('630635842', '774592682144464896')
('245782519', '774592682144464896')
('65031285', '774592682144464896')
('3056484596', '774592682144464896')
('3185290012', '774592682144464896')
('347496028', '774592682144464896')
('863346598075654144', '774592682144464896')
('222298302', '774592682144464896')
('384901069', '774592682144464896')
('813740741382041601', '774592682144464896')
('277270864', '774592682144464896')
('484068683', '774592682144464896')
('786609913548144640', '774592682144464896')
('1730278382', '774592682144464896')
('3138265925', '774592682144464896')
('300396573', '774592682144464896')
('3716588955', '774592682144464896')
('265155249', '774592682144464896')
('204544657', '774592682144464896')
('888401039040409600', '774592682144464896')
('3430579263', '774592682144464896')
('2806319989', '774592682144464896')
('144208281', '774592682144464896')
('947191216655011841', '774592682144464896')
('149127116', '774592682144464896')
('712879375', '774592682144464896')
('10365672', '774592682144464896')
('852102990962061313', '774592682144464896')
('707772568', '774592682144464896')
('1526332417', '774592682144464896')
('2502161018', '774592682144464896')
('186928981', '774592682144464896')
('938156061646876677', '774592682144464896')
('351244070', '774592682144464896')
('2925819459', '774592682144464896')
('2444573281', '774592682144464896')
('714903715359105024', '774592682144464896')
('412305893', '774592682144464896')
('3530074653', '774592682144464896')
('887751649669894144', '774592682144464896')
('812048544941142016', '774592682144464896')
('758922248493281280', '774592682144464896')
('75767378', '774592682144464896')
('276961943', '774592682144464896')
('132925844', '774592682144464896')
('375269748', '774592682144464896')
('171716269', '774592682144464896')
('3130200802', '774592682144464896')
('289474565', '774592682144464896')
('3396484486', '774592682144464896')
('907341102260346880', '774592682144464896')
('903013080396910592', '774592682144464896')
('252804420', '774592682144464896')
('2344332278', '774592682144464896')
('828329004692279296', '774592682144464896')
('879504021907808257', '774592682144464896')
('4478196376', '774592682144464896')
('885195680805007362', '774592682144464896')
('2254342082', '774592682144464896')
('90896679', '774592682144464896')
('273252622', '774592682144464896')
('131224870', '774592682144464896')
('1498691096', '774592682144464896')
('1277708018', '774592682144464896')
('2472588711', '774592682144464896')
('52415292', '774592682144464896')
('332282170', '774592682144464896')
('548733416', '774592682144464896')
('2587083980', '774592682144464896')
('800493067698520065', '774592682144464896')
('3222434361', '774592682144464896')
