('1732563618', '774592682144464896')
('925553176736096256', '774592682144464896')
('39423041', '774592682144464896')
('3008193664', '774592682144464896')
('810474932165611520', '774592682144464896')
('320925080', '774592682144464896')
('39156232', '774592682144464896')
('169735769', '774592682144464896')
('850086940854583297', '774592682144464896')
('179110445', '774592682144464896')
('950713097567834112', '774592682144464896')
('882906050273431552', '774592682144464896')
('926988133115318272', '774592682144464896')
('910586209319243776', '774592682144464896')
('2474308904', '774592682144464896')
('255455398', '774592682144464896')
('322768220', '774592682144464896')
('843652881559568384', '774592682144464896')
('2557402077', '774592682144464896')
('204417213', '774592682144464896')
('3252372617', '774592682144464896')
('700877126665306112', '774592682144464896')
('826594998246371331', '774592682144464896')
('2996832729', '774592682144464896')
('292034665', '774592682144464896')
('164068181', '774592682144464896')
('787779732410597376', '774592682144464896')
('286785894', '774592682144464896')
('737678629799395328', '774592682144464896')
('184225398', '774592682144464896')
('4110277888', '774592682144464896')
('268594630', '774592682144464896')
('828400982396657664', '774592682144464896')
('207183328', '774592682144464896')
('2480781667', '774592682144464896')
('2803303935', '774592682144464896')
('844521348449865728', '774592682144464896')
('866387823817105409', '774592682144464896')
('114962636', '774592682144464896')
('39088398', '774592682144464896')
('91803597', '774592682144464896')
('740528620410699776', '774592682144464896')
('274682539', '774592682144464896')
('2562343832', '774592682144464896')
('48203810', '774592682144464896')
('94906913', '774592682144464896')
('149629501', '774592682144464896')
('341176540', '774592682144464896')
('173851898', '774592682144464896')
('717481808854716416', '774592682144464896')
('995863826', '774592682144464896')
('2666044872', '774592682144464896')
('848585900045066241', '774592682144464896')
('2367003243', '774592682144464896')
('71115912', '774592682144464896')
('145456527', '774592682144464896')
('2252481990', '774592682144464896')
('581982510', '774592682144464896')
('52490830', '774592682144464896')
('4903261077', '774592682144464896')
('2435408934', '774592682144464896')
('905191712', '774592682144464896')
('10835862', '774592682144464896')
('713396826431492096', '774592682144464896')
('29976644', '774592682144464896')
('262322920', '774592682144464896')
('858067727059214336', '774592682144464896')
('2546280897', '774592682144464896')
('161441587', '774592682144464896')
('4921853470', '774592682144464896')
('154923332', '774592682144464896')
('2723966402', '774592682144464896')
('938864362395226113', '774592682144464896')
('3402149422', '774592682144464896')
('2305410974', '774592682144464896')
('321099143', '774592682144464896')
('718164276477894657', '774592682144464896')
('871133532810125312', '774592682144464896')
('945456993652920320', '774592682144464896')
('2735754850', '774592682144464896')
('1714446260', '774592682144464896')
('101255538', '774592682144464896')
('1191435649', '774592682144464896')
('47650413', '774592682144464896')
('3167827457', '774592682144464896')
('141952000', '774592682144464896')
('907589654169387008', '774592682144464896')
('955818623519641600', '774592682144464896')
('3139033978', '774592682144464896')
('137141883', '774592682144464896')
('9809962', '774592682144464896')
('53716625', '774592682144464896')
('136127949', '774592682144464896')
('266695015', '774592682144464896')
('864461339032518657', '774592682144464896')
('379990153', '774592682144464896')
('63330999', '774592682144464896')
('2539931646', '774592682144464896')
('143931126', '774592682144464896')
('730879886139789312', '774592682144464896')
('712304756824342528', '774592682144464896')
('2613218788', '774592682144464896')
('948627744845426690', '774592682144464896')
('65385817', '774592682144464896')
('770651190392713216', '774592682144464896')
('15357211', '774592682144464896')
('780886029452603392', '774592682144464896')
('2994810327', '774592682144464896')
('1304752723', '774592682144464896')
('222082190', '774592682144464896')
('909234615096938496', '774592682144464896')
('729966238189883392', '774592682144464896')
('769152341492850688', '774592682144464896')
('278334512', '774592682144464896')
('1526013270', '774592682144464896')
('4706100745', '774592682144464896')
('839931256821399554', '774592682144464896')
('946175973678092288', '774592682144464896')
