Source,Target,Type,Id,Label,timeset,Weight
413214772,855456773070872576,Directed,10044,,,1
54287593,855456773070872576,Directed,10524,,,1
54109909,855456773070872576,Directed,10839,,,1
150007375,855456773070872576,Directed,10844,,,1
249668286,855456773070872576,Directed,10965,,,1
835678458269282305,855456773070872576,Directed,11029,,,1
149629501,855456773070872576,Directed,11110,,,1
280803190,855456773070872576,Directed,11124,,,1
2954874089,855456773070872576,Directed,11227,,,1
139860744,855456773070872576,Directed,11240,,,2
2712692609,855456773070872576,Directed,11256,,,1
2962325092,855456773070872576,Directed,11258,,,1
2965756581,855456773070872576,Directed,11299,,,1
897447361185808384,855456773070872576,Directed,11327,,,3
252804420,855456773070872576,Directed,11359,,,2
163220293,855456773070872576,Directed,11366,,,1
3093806236,855456773070872576,Directed,11429,,,1
815322234038484993,855456773070872576,Directed,11455,,,1
2796724336,855456773070872576,Directed,11526,,,1
2418360959,855456773070872576,Directed,11536,,,1
1166530836,855456773070872576,Directed,11568,,,1
63588670,855456773070872576,Directed,11588,,,3
2437053786,855456773070872576,Directed,11661,,,1
479701398,855456773070872576,Directed,11774,,,7
1304752723,855456773070872576,Directed,11978,,,1
58086992,855456773070872576,Directed,11990,,,1
3824585836,855456773070872576,Directed,12058,,,1
36071849,855456773070872576,Directed,12072,,,1
2983501498,855456773070872576,Directed,12080,,,4
74448978,855456773070872576,Directed,12089,,,1
153068983,855456773070872576,Directed,12123,,,1
67487546,855456773070872576,Directed,12248,,,1
783645318810329088,855456773070872576,Directed,12259,,,1
182561268,855456773070872576,Directed,12307,,,1
106425301,855456773070872576,Directed,12328,,,1
3233738347,855456773070872576,Directed,12580,,,2
868083003150540801,855456773070872576,Directed,12644,,,1
14737709,855456773070872576,Directed,12789,,,1
2536030258,855456773070872576,Directed,12834,,,1
787054378867916800,855456773070872576,Directed,12837,,,1
336771844,855456773070872576,Directed,12881,,,1
1865779508,855456773070872576,Directed,12920,,,1
1377408002,855456773070872576,Directed,12923,,,1
1623331453,855456773070872576,Directed,12982,,,2
47430267,855456773070872576,Directed,13066,,,1
1305446390,855456773070872576,Directed,13077,,,1
28905091,855456773070872576,Directed,13168,,,1
16723444,855456773070872576,Directed,13232,,,2
304918906,855456773070872576,Directed,13281,,,1
193955520,855456773070872576,Directed,13289,,,1
853008275524202496,855456773070872576,Directed,13346,,,5
1886616704,855456773070872576,Directed,13349,,,2
906668840720977920,855456773070872576,Directed,13380,,,1
51166582,855456773070872576,Directed,13426,,,1
910098605624713217,855456773070872576,Directed,13652,,,1
868048543659024385,855456773070872576,Directed,13722,,,1
2881939144,855456773070872576,Directed,13740,,,1
847827877768966146,855456773070872576,Directed,13755,,,2
16404987,855456773070872576,Directed,13777,,,1
53671842,855456773070872576,Directed,13926,,,1
813740741382041601,855456773070872576,Directed,14015,,,2
139783622,855456773070872576,Directed,14046,,,1
184898488,855456773070872576,Directed,14097,,,5
722508631657345024,855456773070872576,Directed,14101,,,1
219574685,855456773070872576,Directed,14150,,,2
211594266,855456773070872576,Directed,14225,,,2
826127285698822145,855456773070872576,Directed,14241,,,1
859726477075599362,855456773070872576,Directed,14284,,,2
1869058092,855456773070872576,Directed,14300,,,1
887751649669894144,855456773070872576,Directed,14331,,,1
117850750,855456773070872576,Directed,14379,,,1
793918292826161153,855456773070872576,Directed,14437,,,1
2250436383,855456773070872576,Directed,14444,,,1
