Source,Target,Type,Id,Label,timeset,Weight
1428997974,84076180,Directed,4820,,,1
954467480377937921,84076180,Directed,4828,,,1
779055648877281280,84076180,Directed,4840,,,1
936951022118895617,84076180,Directed,4873,,,1
48475861,84076180,Directed,4927,,,1
109233956,84076180,Directed,4930,,,1
620650049,84076180,Directed,4931,,,1
1359729006,84076180,Directed,4934,,,1
828400982396657664,84076180,Directed,4941,,,2
161826061,84076180,Directed,4953,,,1
320925080,84076180,Directed,4963,,,1
473720831,84076180,Directed,4968,,,1
323766721,84076180,Directed,4974,,,1
585855020,84076180,Directed,4991,,,1
55292386,84076180,Directed,4994,,,1
836440117199929348,84076180,Directed,5005,,,1
951301452,84076180,Directed,5058,,,1
2965756581,84076180,Directed,5070,,,1
2935254634,84076180,Directed,5125,,,1
182561268,84076180,Directed,5132,,,2
3625492996,84076180,Directed,5164,,,1
144630561,84076180,Directed,5189,,,1
3295882960,84076180,Directed,5194,,,2
2948494587,84076180,Directed,5233,,,1
90955059,84076180,Directed,5248,,,1
783645318810329088,84076180,Directed,5253,,,1
112578464,84076180,Directed,5266,,,1
90218430,84076180,Directed,5272,,,1
3744425248,84076180,Directed,5277,,,1
274685858,84076180,Directed,5280,,,1
14752477,84076180,Directed,5306,,,1
3743811387,84076180,Directed,5314,,,1
955927582238826498,84076180,Directed,5316,,,1
4827649358,84076180,Directed,5347,,,1
64128446,84076180,Directed,5379,,,6
708503461,84076180,Directed,5381,,,1
53302612,84076180,Directed,5524,,,1
2164788674,84076180,Directed,5536,,,1
480516128,84076180,Directed,5571,,,2
16404987,84076180,Directed,5597,,,1
126658241,84076180,Directed,5599,,,1
595750847,84076180,Directed,5622,,,1
384901069,84076180,Directed,5632,,,1
145456527,84076180,Directed,5668,,,1
47790978,84076180,Directed,5670,,,1
956227877548298241,84076180,Directed,5673,,,1
413177637,84076180,Directed,5706,,,1
823996518466252800,84076180,Directed,5720,,,1
195458943,84076180,Directed,5723,,,1
55040217,84076180,Directed,5728,,,1
739105716,84076180,Directed,5757,,,1
90897488,84076180,Directed,5767,,,2
286727035,84076180,Directed,5783,,,2
51046040,84076180,Directed,5788,,,2
720380677720514561,84076180,Directed,5804,,,2
2435408934,84076180,Directed,5831,,,1
781706387076374528,84076180,Directed,5854,,,3
