('954467480377937921', '84076180')
('161826061', '84076180')
('320925080', '84076180')
('473720831', '84076180')
('2965756581', '84076180')
('2935254634', '84076180')
('3625492996', '84076180')
('144630561', '84076180')
('3295882960', '84076180')
('14752477', '84076180')
('64128446', '84076180')
('480516128', '84076180')
('126658241', '84076180')
('595750847', '84076180')
('384901069', '84076180')
('956227877548298241', '84076180')
('286727035', '84076180')
('720380677720514561', '84076180')
('781706387076374528', '84076180')
('357940470', '84076180')
('101255538', '84076180')
('55958912', '84076180')
('37226239', '84076180')
('836920478568677377', '84076180')
('2945097021', '84076180')
('4322639783', '84076180')
('57374485', '84076180')
('2826986592', '84076180')
('3933308321', '84076180')
('517996382', '84076180')
('56175571', '84076180')
('2429080456', '84076180')
('729966238189883392', '84076180')
('944904905625604097', '84076180')
('420489757', '84076180')
('1065839708', '84076180')
('458317023', '84076180')
('2829980105', '84076180')
('75921504', '84076180')
('2327247595', '84076180')
('834587866135195649', '84076180')
('123083763', '84076180')
('158026996', '84076180')
('2458940591', '84076180')
('782279355745628160', '84076180')
('917905830330163202', '84076180')
('834916990837981184', '84076180')
('81825000', '84076180')
('24080132', '84076180')
('263410270', '84076180')
('364619270', '84076180')
('3795940168', '84076180')
('52031618', '84076180')
('80943445', '84076180')
('1548540055', '84076180')
('3014559017', '84076180')
('855937747604910080', '84076180')
('950865935816065026', '84076180')
('953080590613524481', '84076180')
('46812268', '84076180')
('229903460', '84076180')
('843984442452533248', '84076180')
('762893539650867200', '84076180')
('906291342334189568', '84076180')
('787495407488294912', '84076180')
('2677646613', '84076180')
('393925343', '84076180')
('779653912563478528', '84076180')
('2386746675', '84076180')
('3438724329', '84076180')
('224741108', '84076180')
('1872387283', '84076180')
('190644421', '84076180')
('1345491816', '84076180')
('709047583784697857', '84076180')
('44937210', '84076180')
('1588934726', '84076180')
('156089037', '84076180')
('750920930113810432', '84076180')
('85963892', '84076180')
('274528507', '84076180')
('278823191', '84076180')
('134953216', '84076180')
('866698138626781184', '84076180')
('935937938', '84076180')
('827560913700057088', '84076180')
('292028084', '84076180')
('53204701', '84076180')
('4701772228', '84076180')
('4355319615', '84076180')
('30788641', '84076180')
('3152044919', '84076180')
('233640696', '84076180')
('943141440573538304', '84076180')
('60079613', '84076180')
('787809535067033600', '84076180')
('295996547', '84076180')
('1473513306', '84076180')
('223337362', '84076180')
('1713761478', '84076180')
('345507444', '84076180')
('585939278', '84076180')
('306447403', '84076180')
('752482216601673728', '84076180')
('52863227', '84076180')
('2928498802', '84076180')
('858295099960295424', '84076180')
('2800321885', '84076180')
('1873654801', '84076180')
('425919418', '84076180')
('918281548125884417', '84076180')
('33039061', '84076180')
('14677167', '84076180')
('3439485208', '84076180')
('342893902', '84076180')
('804849425092931584', '84076180')
('364344660', '84076180')
('899658870498492421', '84076180')
('53902244', '84076180')
('245435381', '84076180')
('33954135', '84076180')
('235685971', '84076180')
('2360031370', '84076180')
('42518106', '84076180')
('196327365', '84076180')
('635455276', '84076180')
('3309573909', '84076180')
('894368250414477312', '84076180')
('534375396', '84076180')
('953992306641776641', '84076180')
('2535920501', '84076180')
('524518536', '84076180')
('18080679', '84076180')
('3033270389', '84076180')
('904771102269952000', '84076180')
('58379169', '84076180')
('4865839630', '84076180')
('227854350', '84076180')
('745843887420350465', '84076180')
('1973571050', '84076180')
('847410540079063040', '84076180')
('55269314', '84076180')
('55771196', '84076180')
('3716588955', '84076180')
('914602736775303168', '84076180')
('4705271481', '84076180')
('260523434', '84076180')
('3432959230', '84076180')
('1520498198', '84076180')
('3662572636', '84076180')
('936739855907860480', '84076180')
('400435944', '84076180')
('154684944', '84076180')
('587668107', '84076180')
('834311934', '84076180')
('923377372367376384', '84076180')
('419689853', '84076180')
('50066201', '84076180')
('1238934781', '84076180')
('759407947', '84076180')
('351281166', '84076180')
('705456683313700864', '84076180')
('26158897', '84076180')
('602010664', '84076180')
('952642192119648256', '84076180')
('809543208413827073', '84076180')
('773573059127152642', '84076180')
('3428957193', '84076180')
('131229296', '84076180')
('214701026', '84076180')
('3520157894', '84076180')
('208752690', '84076180')
('930767449', '84076180')
('845428791350579200', '84076180')
('2198081336', '84076180')
('58378705', '84076180')
('81577736', '84076180')
('4706334556', '84076180')
('160643903', '84076180')
('3069933898', '84076180')
('2749666433', '84076180')
('847855837364334594', '84076180')
('3592699822', '84076180')
('3049250873', '84076180')
('55359439', '84076180')
('509070938', '84076180')
('1311990824', '84076180')
('1669435974', '84076180')
('857021920105172994', '84076180')
('27679393', '84076180')
('58971240', '84076180')
('2467841128', '84076180')
('2399620655', '84076180')
('739485027940044800', '84076180')
('925853022936281088', '84076180')
('2553888183', '84076180')
('173997869', '84076180')
('56431479', '84076180')
('407353293', '84076180')
('89961181', '84076180')
('854023387097780224', '84076180')
('1285646845', '84076180')
('217252175', '84076180')
('586857535', '84076180')
('229884092', '84076180')
('96025958', '84076180')
('309924571', '84076180')
('90692221', '84076180')
('98619590', '84076180')
