('413214772', '855456773070872576')
('54287593', '855456773070872576')
('54109909', '855456773070872576')
('150007375', '855456773070872576')
('249668286', '855456773070872576')
('835678458269282305', '855456773070872576')
('149629501', '855456773070872576')
('280803190', '855456773070872576')
('2954874089', '855456773070872576')
('139860744', '855456773070872576')
('2712692609', '855456773070872576')
('2962325092', '855456773070872576')
('2965756581', '855456773070872576')
('897447361185808384', '855456773070872576')
('252804420', '855456773070872576')
('163220293', '855456773070872576')
('3093806236', '855456773070872576')
('815322234038484993', '855456773070872576')
('2796724336', '855456773070872576')
('2418360959', '855456773070872576')
('1166530836', '855456773070872576')
('63588670', '855456773070872576')
('2437053786', '855456773070872576')
('479701398', '855456773070872576')
('1304752723', '855456773070872576')
('58086992', '855456773070872576')
('3824585836', '855456773070872576')
('36071849', '855456773070872576')
('2983501498', '855456773070872576')
('74448978', '855456773070872576')
('153068983', '855456773070872576')
('67487546', '855456773070872576')
('783645318810329088', '855456773070872576')
('182561268', '855456773070872576')
('106425301', '855456773070872576')
('3233738347', '855456773070872576')
('868083003150540801', '855456773070872576')
('14737709', '855456773070872576')
('2536030258', '855456773070872576')
('787054378867916800', '855456773070872576')
('336771844', '855456773070872576')
('1865779508', '855456773070872576')
('1377408002', '855456773070872576')
('1623331453', '855456773070872576')
('47430267', '855456773070872576')
('1305446390', '855456773070872576')
('28905091', '855456773070872576')
('16723444', '855456773070872576')
('304918906', '855456773070872576')
('193955520', '855456773070872576')
('853008275524202496', '855456773070872576')
('1886616704', '855456773070872576')
('906668840720977920', '855456773070872576')
('51166582', '855456773070872576')
('910098605624713217', '855456773070872576')
('868048543659024385', '855456773070872576')
('2881939144', '855456773070872576')
('16404987', '855456773070872576')
('53671842', '855456773070872576')
('813740741382041601', '855456773070872576')
('139783622', '855456773070872576')
('184898488', '855456773070872576')
('722508631657345024', '855456773070872576')
('219574685', '855456773070872576')
('211594266', '855456773070872576')
('826127285698822145', '855456773070872576')
('859726477075599362', '855456773070872576')
('1869058092', '855456773070872576')
('887751649669894144', '855456773070872576')
('117850750', '855456773070872576')
('793918292826161153', '855456773070872576')
('2250436383', '855456773070872576')
('1654227680', '855456773070872576')
('848163153670230016', '855456773070872576')
('3629031915', '855456773070872576')
('146184375', '855456773070872576')
('712015368605212672', '855456773070872576')
('248874532', '855456773070872576')
('310643679', '855456773070872576')
('897730329003397121', '855456773070872576')
('3373232345', '855456773070872576')
('2543663444', '855456773070872576')
('835930338459267072', '855456773070872576')
('2480781667', '855456773070872576')
('738897925468782592', '855456773070872576')
('55291962', '855456773070872576')
('134572878', '855456773070872576')
('2438939200', '855456773070872576')
('214582214', '855456773070872576')
('2842620447', '855456773070872576')
('712732013703380992', '855456773070872576')
('570426519', '855456773070872576')
('3196077021', '855456773070872576')
('329375496', '855456773070872576')
('4698931568', '855456773070872576')
('253713018', '855456773070872576')
('772514191991246852', '855456773070872576')
('917477727019716608', '855456773070872576')
('1713761478', '855456773070872576')
('177000971', '855456773070872576')
('3127687596', '855456773070872576')
('935183345348202496', '855456773070872576')
('178521271', '855456773070872576')
('876213487353180160', '855456773070872576')
('928201335811575808', '855456773070872576')
('171656880', '855456773070872576')
('109118092', '855456773070872576')
('156089037', '855456773070872576')
('3033482902', '855456773070872576')
('848691552834781185', '855456773070872576')
('730795348764053505', '855456773070872576')
('834349911697129474', '855456773070872576')
('2811632133', '855456773070872576')
('89046832', '855456773070872576')
('853717677105442816', '855456773070872576')
('3027060379', '855456773070872576')
('3845413095', '855456773070872576')
('39215326', '855456773070872576')
('3191878906', '855456773070872576')
('781000533662400512', '855456773070872576')
('419078814', '855456773070872576')
('48612147', '855456773070872576')
('859575832943185921', '855456773070872576')
('55369936', '855456773070872576')
('852742760595546112', '855456773070872576')
('3398109801', '855456773070872576')
('2741931201', '855456773070872576')
('920474584624910337', '855456773070872576')
('1528336398', '855456773070872576')
('139126353', '855456773070872576')
('918199181801672705', '855456773070872576')
('447121908', '855456773070872576')
('1973571050', '855456773070872576')
('915321708478857217', '855456773070872576')
('4539799354', '855456773070872576')
('457968900', '855456773070872576')
('1000024310', '855456773070872576')
('363869987', '855456773070872576')
('4865839630', '855456773070872576')
('75649316', '855456773070872576')
('2714467605', '855456773070872576')
('2352880846', '855456773070872576')
('802298657714372608', '855456773070872576')
('2331660358', '855456773070872576')
('2897877826', '855456773070872576')
('728991076346937346', '855456773070872576')
('50490575', '855456773070872576')
('898581650119983104', '855456773070872576')
('711454465681924096', '855456773070872576')
('815719792409792512', '855456773070872576')
('2910807796', '855456773070872576')
('2615955638', '855456773070872576')
('171730916', '855456773070872576')
('2226427284', '855456773070872576')
('73056751', '855456773070872576')
('3039997863', '855456773070872576')
('52688198', '855456773070872576')
('49064653', '855456773070872576')
('38710943', '855456773070872576')
('3248766491', '855456773070872576')
('2843532785', '855456773070872576')
('282532497', '855456773070872576')
('52548800', '855456773070872576')
('3432959230', '855456773070872576')
('3734039116', '855456773070872576')
('71354188', '855456773070872576')
('199083848', '855456773070872576')
('329675154', '855456773070872576')
('1017589231', '855456773070872576')
('781351100', '855456773070872576')
('925499588768919552', '855456773070872576')
('2858430385', '855456773070872576')
('710897282191851520', '855456773070872576')
('4439200889', '855456773070872576')
('1384397419', '855456773070872576')
('1218725053', '855456773070872576')
('2819916273', '855456773070872576')
('46114655', '855456773070872576')
('50083530', '855456773070872576')
('1529551249', '855456773070872576')
('185866945', '855456773070872576')
('519457514', '855456773070872576')
('160583769', '855456773070872576')
('2149772444', '855456773070872576')
('704255052', '855456773070872576')
('1929297319', '855456773070872576')
('2979943263', '855456773070872576')
('96007805', '855456773070872576')
('49631017', '855456773070872576')
('2295322532', '855456773070872576')
('919669412298452992', '855456773070872576')
('91869972', '855456773070872576')
('176859552', '855456773070872576')
('1205768317', '855456773070872576')
('1586052427', '855456773070872576')
('18433273', '855456773070872576')
('363167257', '855456773070872576')
('101818997', '855456773070872576')
('270551625', '855456773070872576')
('919082059125153792', '855456773070872576')
('989303305', '855456773070872576')
('363879946', '855456773070872576')
('381223299', '855456773070872576')
('58940841', '855456773070872576')
('912898270069972992', '855456773070872576')
('159100967', '855456773070872576')
('2280327106', '855456773070872576')
('198251839', '855456773070872576')
('3049250873', '855456773070872576')
('2289087683', '855456773070872576')
('3990138682', '855456773070872576')
('2590864474', '855456773070872576')
('214886907', '855456773070872576')
('741627109', '855456773070872576')
('144828717', '855456773070872576')
('620010895', '855456773070872576')
('33333653', '855456773070872576')
('3438410541', '855456773070872576')
('521596599', '855456773070872576')
('332322954', '855456773070872576')
('3621963496', '855456773070872576')
('855894425343594496', '855456773070872576')
('2207091097', '855456773070872576')
('3131390620', '855456773070872576')
('34027641', '855456773070872576')
('163935901', '855456773070872576')
('2999582918', '855456773070872576')
('265497247', '855456773070872576')
('1360592276', '855456773070872576')
('869341098388410369', '855456773070872576')
('204494751', '855456773070872576')
('319366143', '855456773070872576')
('401553884', '855456773070872576')
('844228267989258240', '855456773070872576')
('4211092114', '855456773070872576')
('2557402077', '855456773070872576')
('66982131', '855456773070872576')
('26084342', '855456773070872576')
('97365927', '855456773070872576')
('48025060', '855456773070872576')
('932097641923710976', '855456773070872576')
('858376742', '855456773070872576')
('916419468884135936', '855456773070872576')
('705456683313700864', '855456773070872576')
('2768400470', '855456773070872576')
('926068285828943877', '855456773070872576')
('916201588292800512', '855456773070872576')
('1359174420', '855456773070872576')
('710649014484656128', '855456773070872576')
('885321635070390273', '855456773070872576')
('2735449149', '855456773070872576')
('900191996261871616', '855456773070872576')
('891603310041497600', '855456773070872576')
('41016822', '855456773070872576')
('305253221', '855456773070872576')
('486988339', '855456773070872576')
('873601783863685120', '855456773070872576')
('165569796', '855456773070872576')
('294886946', '855456773070872576')
('540189557', '855456773070872576')
('16551650', '855456773070872576')
('793270158886404096', '855456773070872576')
('2235327544', '855456773070872576')
('2729992692', '855456773070872576')
('3227323277', '855456773070872576')
('104908811', '855456773070872576')
('722289672832073728', '855456773070872576')
('484190946', '855456773070872576')
('1089535657', '855456773070872576')
('470778895', '855456773070872576')
('872084701', '855456773070872576')
('55057312', '855456773070872576')
('34294505', '855456773070872576')
('126992065', '855456773070872576')
('112523271', '855456773070872576')
('202435887', '855456773070872576')
('787280839109402624', '855456773070872576')
('911674266852225028', '855456773070872576')
('382261316', '855456773070872576')
('243338639', '855456773070872576')
('78033088', '855456773070872576')
('329274503', '855456773070872576')
('915233915090108416', '855456773070872576')
('779899135889727488', '855456773070872576')
('511137783', '855456773070872576')
('4603485693', '855456773070872576')
('134520247', '855456773070872576')
('58593419', '855456773070872576')
('2882906373', '855456773070872576')
('911970556752404480', '855456773070872576')
('314242630', '855456773070872576')
('1246183014', '855456773070872576')
('63318916', '855456773070872576')
('733464573706043393', '855456773070872576')
('4245940583', '855456773070872576')
('92629822', '855456773070872576')
('53484770', '855456773070872576')
('140537719', '855456773070872576')
('103429207', '855456773070872576')
('66205927', '855456773070872576')
('937209426284548097', '855456773070872576')
('540145946', '855456773070872576')
('368067319', '855456773070872576')
('534696452', '855456773070872576')
('1452826022', '855456773070872576')
('2198081336', '855456773070872576')
('2434479096', '855456773070872576')
('809796666190659584', '855456773070872576')
('707358725586157569', '855456773070872576')
('759154581913960448', '855456773070872576')
('720409772474961920', '855456773070872576')
('787902871090135040', '855456773070872576')
('44765775', '855456773070872576')
('3153717052', '855456773070872576')
