Source,Target,Type,Id,Label,timeset,Weight
952960900750815232,871133532810125312,Directed,130269,,,1
821153259775791104,871133532810125312,Directed,130270,,,4
850298996832821248,871133532810125312,Directed,130290,,,1
2365692456,871133532810125312,Directed,130293,,,1
4842899105,871133532810125312,Directed,130296,,,1
3026305647,871133532810125312,Directed,130311,,,1
2916456381,871133532810125312,Directed,130323,,,6
928656337994764293,871133532810125312,Directed,130329,,,1
126128572,871133532810125312,Directed,130344,,,1
600083336,871133532810125312,Directed,130397,,,1
32004851,871133532810125312,Directed,130417,,,1
810474932165611520,871133532810125312,Directed,130424,,,1
737085823473061888,871133532810125312,Directed,130430,,,2
135464164,871133532810125312,Directed,130478,,,1
3432959230,871133532810125312,Directed,130512,,,1
2881939144,871133532810125312,Directed,130529,,,1
249668286,871133532810125312,Directed,130531,,,1
892045436055322625,871133532810125312,Directed,130598,,,1
14568552,871133532810125312,Directed,130665,,,1
835678458269282305,871133532810125312,Directed,130676,,,1
899999419558440961,871133532810125312,Directed,130698,,,2
167563810,871133532810125312,Directed,130706,,,1
58064534,871133532810125312,Directed,130726,,,2
946839496267624448,871133532810125312,Directed,130769,,,1
263879861,871133532810125312,Directed,130770,,,2
58086992,871133532810125312,Directed,130787,,,1
2803752921,871133532810125312,Directed,130790,,,1
49064653,871133532810125312,Directed,130828,,,1
263420231,871133532810125312,Directed,130838,,,1
101255538,871133532810125312,Directed,130857,,,1
779185087,871133532810125312,Directed,130860,,,9
204417213,871133532810125312,Directed,130866,,,1
33435237,871133532810125312,Directed,130872,,,1
228577853,871133532810125312,Directed,130875,,,1
857935972302020608,871133532810125312,Directed,130883,,,1
182118000,871133532810125312,Directed,130894,,,1
1476401210,871133532810125312,Directed,130897,,,1
904771102269952000,871133532810125312,Directed,130900,,,1
2529086442,871133532810125312,Directed,130911,,,1
460263352,871133532810125312,Directed,130916,,,1
847801669685587969,871133532810125312,Directed,130925,,,1
384901069,871133532810125312,Directed,130981,,,1
3437319347,871133532810125312,Directed,130982,,,1
953788162597445632,871133532810125312,Directed,130987,,,1
173851898,871133532810125312,Directed,131011,,,2
869702500257075201,871133532810125312,Directed,131028,,,3
837792786,871133532810125312,Directed,131032,,,1
2305410974,871133532810125312,Directed,131035,,,1
160020766,871133532810125312,Directed,131036,,,1
66205927,871133532810125312,Directed,131038,,,1
3046014311,871133532810125312,Directed,131056,,,1
725523958146174977,871133532810125312,Directed,131059,,,1
722093820582707201,871133532810125312,Directed,131066,,,2
776476600678412288,871133532810125312,Directed,131074,,,1
820099223509225472,871133532810125312,Directed,131082,,,2
63588670,871133532810125312,Directed,131116,,,1
893633007965351937,871133532810125312,Directed,131127,,,1
268859460,871133532810125312,Directed,131144,,,2
896328710839730176,871133532810125312,Directed,131146,,,1
3347301916,871133532810125312,Directed,131172,,,1
252804420,871133532810125312,Directed,131181,,,2
189248501,871133532810125312,Directed,131188,,,1
185339372,871133532810125312,Directed,131233,,,2
728564742747521024,871133532810125312,Directed,131236,,,1
105694098,871133532810125312,Directed,131269,,,1
49113731,871133532810125312,Directed,131272,,,1
2189395211,871133532810125312,Directed,131273,,,1
419766418,871133532810125312,Directed,131278,,,1
717731246680498176,871133532810125312,Directed,131289,,,2
4175130315,871133532810125312,Directed,131294,,,1
818240733102669824,871133532810125312,Directed,131303,,,1
90897488,871133532810125312,Directed,131335,,,1
2976190647,871133532810125312,Directed,131343,,,1
1965473114,871133532810125312,Directed,131362,,,1
2377137219,871133532810125312,Directed,131403,,,1
3824585836,871133532810125312,Directed,131411,,,1
1375239859,871133532810125312,Directed,131417,,,1
64357195,871133532810125312,Directed,131423,,,1
751889081135689728,871133532810125312,Directed,131460,,,1
3990138682,871133532810125312,Directed,131467,,,2
91827419,871133532810125312,Directed,131476,,,1
1623331453,871133532810125312,Directed,131490,,,16
188863514,871133532810125312,Directed,131498,,,1
425919418,871133532810125312,Directed,131500,,,1
3294230561,871133532810125312,Directed,131511,,,1
1350259705,871133532810125312,Directed,131516,,,1
50901050,871133532810125312,Directed,131524,,,1
2980069438,871133532810125312,Directed,131540,,,1
29232058,871133532810125312,Directed,131573,,,1
2996832729,871133532810125312,Directed,131579,,,1
1166530836,871133532810125312,Directed,131581,,,1
928017008595292168,871133532810125312,Directed,131590,,,1
780231999109955584,871133532810125312,Directed,131603,,,1
164538791,871133532810125312,Directed,131615,,,1
30486121,871133532810125312,Directed,131618,,,1
949081357912813568,871133532810125312,Directed,131629,,,1
3026189775,871133532810125312,Directed,131631,,,1
933496194441121798,871133532810125312,Directed,131638,,,1
106425301,871133532810125312,Directed,131700,,,1
497150491,871133532810125312,Directed,131727,,,1
210042340,871133532810125312,Directed,131728,,,2
859575832943185921,871133532810125312,Directed,131731,,,1
885954626465476608,871133532810125312,Directed,131752,,,2
706024358523891712,871133532810125312,Directed,131753,,,1
735723034347069440,871133532810125312,Directed,131755,,,1
176613360,871133532810125312,Directed,131772,,,1
794201400611897344,871133532810125312,Directed,131783,,,1
319349275,871133532810125312,Directed,131799,,,1
218684207,871133532810125312,Directed,131804,,,1
2367003243,871133532810125312,Directed,131814,,,1
63318916,871133532810125312,Directed,131896,,,2
231649856,871133532810125312,Directed,131899,,,1
937348196921114624,871133532810125312,Directed,131936,,,1
49631017,871133532810125312,Directed,131938,,,2
887360384579100673,871133532810125312,Directed,131958,,,1
158964977,871133532810125312,Directed,132022,,,1
774379417569230852,871133532810125312,Directed,132027,,,1
2697232702,871133532810125312,Directed,132028,,,1
185483651,871133532810125312,Directed,132029,,,2
42994751,871133532810125312,Directed,132033,,,1
2365699398,871133532810125312,Directed,132039,,,1
891974846623645696,871133532810125312,Directed,132120,,,1
2962325092,871133532810125312,Directed,132133,,,1
947191216655011841,871133532810125312,Directed,132150,,,4
320916324,871133532810125312,Directed,132165,,,1
529645252,871133532810125312,Directed,132180,,,2
166834961,871133532810125312,Directed,132190,,,1
1305446390,871133532810125312,Directed,132203,,,1
2163601862,871133532810125312,Directed,132217,,,1
570388599,871133532810125312,Directed,132220,,,1
167568597,871133532810125312,Directed,132224,,,1
4150125374,871133532810125312,Directed,132225,,,1
57354671,871133532810125312,Directed,132230,,,1
