('2365692456', '871133532810125312')
('600083336', '871133532810125312')
('3432959230', '871133532810125312')
('2881939144', '871133532810125312')
('14568552', '871133532810125312')
('167563810', '871133532810125312')
('263879861', '871133532810125312')
('49064653', '871133532810125312')
('101255538', '871133532810125312')
('779185087', '871133532810125312')
('182118000', '871133532810125312')
('904771102269952000', '871133532810125312')
('847801669685587969', '871133532810125312')
('384901069', '871133532810125312')
('953788162597445632', '871133532810125312')
('869702500257075201', '871133532810125312')
('2305410974', '871133532810125312')
('3046014311', '871133532810125312')
('3347301916', '871133532810125312')
('252804420', '871133532810125312')
('105694098', '871133532810125312')
('2189395211', '871133532810125312')
('717731246680498176', '871133532810125312')
('4175130315', '871133532810125312')
('818240733102669824', '871133532810125312')
('90897488', '871133532810125312')
('2976190647', '871133532810125312')
('1965473114', '871133532810125312')
('1375239859', '871133532810125312')
('751889081135689728', '871133532810125312')
('1623331453', '871133532810125312')
('30486121', '871133532810125312')
('949081357912813568', '871133532810125312')
('859575832943185921', '871133532810125312')
('176613360', '871133532810125312')
('937348196921114624', '871133532810125312')
('887360384579100673', '871133532810125312')
('774379417569230852', '871133532810125312')
('2697232702', '871133532810125312')
('185483651', '871133532810125312')
('529645252', '871133532810125312')
('166834961', '871133532810125312')
('2163601862', '871133532810125312')
('570388599', '871133532810125312')
('167568597', '871133532810125312')
('3105108615', '871133532810125312')
('2263527887', '871133532810125312')
('2475411135', '871133532810125312')
('2691293724', '871133532810125312')
('838973210372751360', '871133532810125312')
('871133532810125312', '871133532810125312')
('920641566003355648', '871133532810125312')
('371848201', '871133532810125312')
('20827795', '871133532810125312')
('2484897833', '871133532810125312')
('2480836789', '871133532810125312')
('710126221561044993', '871133532810125312')
('55958912', '871133532810125312')
('603174467', '871133532810125312')
('2271069087', '871133532810125312')
('3514964895', '871133532810125312')
('16955931', '871133532810125312')
('2787354563', '871133532810125312')
('779055648877281280', '871133532810125312')
('1526024870', '871133532810125312')
('68498904', '871133532810125312')
('102565843', '871133532810125312')
('1066111260', '871133532810125312')
('947067675762741248', '871133532810125312')
('35917923', '871133532810125312')
('3930761241', '871133532810125312')
('702907002482270208', '871133532810125312')
('535960219', '871133532810125312')
('1508333785', '871133532810125312')
('3049348312', '871133532810125312')
('513733280', '871133532810125312')
('876232896167780358', '871133532810125312')
('2680546844', '871133532810125312')
('259783127', '871133532810125312')
('2550020653', '871133532810125312')
('2981768955', '871133532810125312')
('855811973652590593', '871133532810125312')
('1347077785', '871133532810125312')
('195830408', '871133532810125312')
('251268123', '871133532810125312')
('777154894226653185', '871133532810125312')
('16614199', '871133532810125312')
('4921811776', '871133532810125312')
('40027864', '871133532810125312')
('1137015991', '871133532810125312')
('695883240025022464', '871133532810125312')
('3138265925', '871133532810125312')
('830835363967070214', '871133532810125312')
('188355765', '871133532810125312')
('2516692544', '871133532810125312')
('874728809127444481', '871133532810125312')
('86745547', '871133532810125312')
('218333865', '871133532810125312')
('364619270', '871133532810125312')
('953697769688051714', '871133532810125312')
('3343048757', '871133532810125312')
('17474481', '871133532810125312')
('831192469693984772', '871133532810125312')
('870602433445212161', '871133532810125312')
('2806319989', '871133532810125312')
('714522491461439488', '871133532810125312')
('2569490307', '871133532810125312')
('470636324', '871133532810125312')
('214923661', '871133532810125312')
('3382536335', '871133532810125312')
('1112622110', '871133532810125312')
('123083763', '871133532810125312')
('2440591085', '871133532810125312')
('204381497', '871133532810125312')
('86498960', '871133532810125312')
('2399620655', '871133532810125312')
('2898298492', '871133532810125312')
('2263254374', '871133532810125312')
('3014559017', '871133532810125312')
('1207291069', '871133532810125312')
('172727686', '871133532810125312')
('845005019510423552', '871133532810125312')
('2279202090', '871133532810125312')
('880489719179739136', '871133532810125312')
('235278696', '871133532810125312')
('4407427576', '871133532810125312')
('2696331486', '871133532810125312')
('725083153497505792', '871133532810125312')
('895234624053538816', '871133532810125312')
('1465232052', '871133532810125312')
('843984442452533248', '871133532810125312')
('61807014', '871133532810125312')
('2243926166', '871133532810125312')
('4902715181', '871133532810125312')
('4698931568', '871133532810125312')
('426551820', '871133532810125312')
('801086722285113350', '871133532810125312')
('117850750', '871133532810125312')
('32072434', '871133532810125312')
('776051950232014848', '871133532810125312')
('2855082453', '871133532810125312')
('872246718187929600', '871133532810125312')
('59210870', '871133532810125312')
('2438939200', '871133532810125312')
('74605081', '871133532810125312')
('51477711', '871133532810125312')
('96007805', '871133532810125312')
('57433189', '871133532810125312')
('82341885', '871133532810125312')
('2787200752', '871133532810125312')
('144608498', '871133532810125312')
('260003092', '871133532810125312')
('765642398374461440', '871133532810125312')
('1974768320', '871133532810125312')
('1625755663', '871133532810125312')
('46809720', '871133532810125312')
('2310733223', '871133532810125312')
('746809833114968064', '871133532810125312')
('1573675944', '871133532810125312')
('220742365', '871133532810125312')
