Source,Target,Type,Id,Label,timeset,Weight
55291962,774592682144464896,Directed,6,,,2
1732563618,774592682144464896,Directed,11,,,1
821153259775791104,871133532810125312,Directed,12,,,5
925553176736096256,774592682144464896,Directed,22,,,1
850298996832821248,871133532810125312,Directed,24,,,1
2999530600,66205927,Directed,27,,,2
3026305647,871133532810125312,Directed,46,,,4
2916456381,871133532810125312,Directed,62,,,3
2738391813,774592682144464896,Directed,64,,,2
3414214089,774592682144464896,Directed,74,,,2
600083336,871133532810125312,Directed,84,,,3
39423041,774592682144464896,Directed,86,,,1
3008193664,774592682144464896,Directed,87,,,1
910716302414794752,774592682144464896,Directed,92,,,2
810474932165611520,871133532810125312,Directed,105,,,2
737085823473061888,871133532810125312,Directed,110,,,12
810474932165611520,774592682144464896,Directed,132,,,1
320925080,774592682144464896,Directed,135,,,1
39156232,774592682144464896,Directed,158,,,1
169735769,774592682144464896,Directed,166,,,1
923289076131823617,774592682144464896,Directed,172,,,2
850086940854583297,774592682144464896,Directed,174,,,1
179110445,774592682144464896,Directed,180,,,1
809543208413827073,774592682144464896,Directed,184,,,2
14568552,871133532810125312,Directed,194,,,1
950713097567834112,774592682144464896,Directed,206,,,1
213519812,774592682144464896,Directed,225,,,1
882906050273431552,774592682144464896,Directed,235,,,1
926988133115318272,774592682144464896,Directed,236,,,1
3233738347,2943093201,Directed,258,,,1
58064534,871133532810125312,Directed,260,,,10
910586209319243776,774592682144464896,Directed,272,,,1
2474308904,774592682144464896,Directed,293,,,1
49064653,871133532810125312,Directed,313,,,6
263420231,871133532810125312,Directed,322,,,9
255455398,774592682144464896,Directed,328,,,1
101255538,871133532810125312,Directed,331,,,6
322768220,774592682144464896,Directed,333,,,1
204417213,871133532810125312,Directed,334,,,5
56137447,774592682144464896,Directed,344,,,1
33435237,871133532810125312,Directed,350,,,6
378171700,774592682144464896,Directed,351,,,3
228577853,871133532810125312,Directed,378,,,26
843652881559568384,774592682144464896,Directed,394,,,1
384901069,725009739688587269,Directed,397,,,2
320925080,3077007865,Directed,409,,,1
384901069,865648073283846144,Directed,411,,,1
735877670135828482,239581652,Directed,419,,,1
2557402077,774592682144464896,Directed,424,,,1
2943093201,2943093201,Directed,437,,,2
91899715,266861485,Directed,440,,,1
904771102269952000,871133532810125312,Directed,446,,,19
204417213,774592682144464896,Directed,463,,,1
839915108818116610,774592682144464896,Directed,472,,,2
182561268,17503188,Directed,500,,,1
3252372617,774592682144464896,Directed,503,,,1
700877126665306112,774592682144464896,Directed,516,,,1
414813596,774592682144464896,Directed,518,,,4
904771102269952000,774592682144464896,Directed,519,,,3
62140453,774592682144464896,Directed,522,,,1
63588670,774592682144464896,Directed,523,,,2
227312912,774592682144464896,Directed,530,,,3
384901069,871133532810125312,Directed,534,,,8
173851898,871133532810125312,Directed,608,,,5
826594998246371331,774592682144464896,Directed,614,,,1
837792786,871133532810125312,Directed,626,,,13
2305410974,871133532810125312,Directed,629,,,1
218684207,218684207,Directed,634,,,1
66205927,871133532810125312,Directed,660,,,16
2996832729,774592682144464896,Directed,664,,,1
3394479279,774592682144464896,Directed,671,,,4
292034665,774592682144464896,Directed,683,,,1
279170358,774592682144464896,Directed,694,,,1
379990153,2943093201,Directed,711,,,1
63588670,871133532810125312,Directed,731,,,6
164068181,774592682144464896,Directed,732,,,1
893633007965351937,871133532810125312,Directed,735,,,4
36823572,774592682144464896,Directed,756,,,2
2916456381,2943093201,Directed,758,,,2
787779732410597376,774592682144464896,Directed,768,,,1
33435237,774592682144464896,Directed,776,,,2
3093806236,774592682144464896,Directed,783,,,2
286785894,774592682144464896,Directed,786,,,1
837792786,774592682144464896,Directed,790,,,2
737678629799395328,774592682144464896,Directed,797,,,1
451227507,774592682144464896,Directed,798,,,2
58064534,2943093201,Directed,804,,,1
1643750532,774592682144464896,Directed,807,,,2
252804420,871133532810125312,Directed,811,,,2
2878167442,774592682144464896,Directed,812,,,2
4819499224,774592682144464896,Directed,814,,,2
184225398,774592682144464896,Directed,827,,,1
2685619861,17503188,Directed,832,,,1
52398009,774592682144464896,Directed,852,,,2
941760300906315776,774592682144464896,Directed,860,,,1
4110277888,774592682144464896,Directed,887,,,1
33435237,17503188,Directed,927,,,1
268594630,774592682144464896,Directed,932,,,1
828400982396657664,774592682144464896,Directed,939,,,1
898983849602015235,774592682144464896,Directed,948,,,3
207183328,774592682144464896,Directed,956,,,1
62518419,774592682144464896,Directed,966,,,5
2480781667,774592682144464896,Directed,988,,,1
30486121,774592682144464896,Directed,998,,,3
173851898,59771262,Directed,999,,,1
2803303935,774592682144464896,Directed,1006,,,1
419766418,871133532810125312,Directed,1025,,,5
294034676,774592682144464896,Directed,1027,,,2
844521348449865728,774592682144464896,Directed,1042,,,1
866387823817105409,774592682144464896,Directed,1050,,,1
114962636,774592682144464896,Directed,1065,,,1
4145610435,774592682144464896,Directed,1088,,,3
39088398,774592682144464896,Directed,1091,,,1
2962325092,774592682144464896,Directed,1103,,,4
91803597,774592682144464896,Directed,1106,,,1
740528620410699776,774592682144464896,Directed,1110,,,1
4921364362,774592682144464896,Directed,1129,,,2
261299361,774592682144464896,Directed,1135,,,4
3824585836,871133532810125312,Directed,1136,,,3
751889081135689728,774592682144464896,Directed,1140,,,2
2685619861,294034676,Directed,1159,,,1
274682539,774592682144464896,Directed,1167,,,1
2562343832,774592682144464896,Directed,1173,,,1
64357195,871133532810125312,Directed,1177,,,5
751889081135689728,871133532810125312,Directed,1188,,,1
3990138682,871133532810125312,Directed,1189,,,7
3083368193,774592682144464896,Directed,1194,,,2
48203810,774592682144464896,Directed,1198,,,1
600083336,894922013797646336,Directed,1206,,,1
91827419,871133532810125312,Directed,1215,,,19
63588670,384901069,Directed,1225,,,1
425919418,871133532810125312,Directed,1244,,,5
841277164490223620,774592682144464896,Directed,1253,,,1
50901050,871133532810125312,Directed,1260,,,4
94906913,774592682144464896,Directed,1262,,,1
91827419,774592682144464896,Directed,1270,,,2
2996832729,871133532810125312,Directed,1276,,,4
419766418,774592682144464896,Directed,1308,,,3
419766418,1308260437,Directed,1323,,,1
149629501,774592682144464896,Directed,1326,,,1
341176540,774592682144464896,Directed,1329,,,1
780532176311820288,774592682144464896,Directed,1332,,,4
30486121,871133532810125312,Directed,1342,,,2
2685619861,774592682144464896,Directed,1350,,,1
173851898,774592682144464896,Directed,1354,,,1
933496194441121798,871133532810125312,Directed,1373,,,5
210042340,871133532810125312,Directed,1396,,,3
717481808854716416,774592682144464896,Directed,1398,,,1
859575832943185921,871133532810125312,Directed,1406,,,2
885954626465476608,871133532810125312,Directed,1415,,,13
3990138682,514897990,Directed,1417,,,1
995863826,774592682144464896,Directed,1430,,,1
2666044872,774592682144464896,Directed,1437,,,1
3012883066,774592682144464896,Directed,1457,,,1
848585900045066241,774592682144464896,Directed,1465,,,1
2367003243,774592682144464896,Directed,1477,,,1
195458943,774592682144464896,Directed,1480,,,1
71115912,774592682144464896,Directed,1488,,,1
735723034347069440,871133532810125312,Directed,1489,,,8
162544364,774592682144464896,Directed,1506,,,2
480516128,774592682144464896,Directed,1514,,,1
289326224,774592682144464896,Directed,1520,,,2
145456527,774592682144464896,Directed,1528,,,1
63588670,2943093201,Directed,1530,,,1
57813371,774592682144464896,Directed,1540,,,4
218684207,871133532810125312,Directed,1550,,,5
182561268,774592682144464896,Directed,1579,,,3
218684207,774592682144464896,Directed,1580,,,2
2367003243,871133532810125312,Directed,1587,,,7
2252481990,774592682144464896,Directed,1601,,,1
4925039705,774592682144464896,Directed,1617,,,1
956227877548298241,774592682144464896,Directed,1623,,,1
581982510,774592682144464896,Directed,1624,,,1
1305446390,514897990,Directed,1633,,,1
4921482016,774592682144464896,Directed,1662,,,1
49631017,871133532810125312,Directed,1672,,,7
889002894304956418,774592682144464896,Directed,1677,,,1
859575832943185921,774592682144464896,Directed,1694,,,1
821153259775791104,774592682144464896,Directed,1697,,,2
245952550,774592682144464896,Directed,1755,,,1
1305446390,735723034347069440,Directed,1762,,,1
52490830,774592682144464896,Directed,1778,,,1
2365699398,871133532810125312,Directed,1788,,,4
263420231,774592682144464896,Directed,1793,,,2
2962325092,871133532810125312,Directed,1797,,,2
63588670,2365699398,Directed,1801,,,1
3373153996,774592682144464896,Directed,1812,,,2
1305446390,66205927,Directed,1814,,,1
947191216655011841,871133532810125312,Directed,1826,,,2
320916324,176604582,Directed,1834,,,1
4903261077,774592682144464896,Directed,1840,,,1
320916324,871133532810125312,Directed,1845,,,10
830400968160342017,774592682144464896,Directed,1848,,,2
1305446390,71387698,Directed,1849,,,1
2435408934,774592682144464896,Directed,1857,,,1
4206760457,774592682144464896,Directed,1866,,,2
285702623,774592682144464896,Directed,1874,,,3
63588670,1643750532,Directed,1876,,,1
905191712,774592682144464896,Directed,1889,,,1
10835862,774592682144464896,Directed,1903,,,1
713396826431492096,774592682144464896,Directed,1906,,,1
29976644,774592682144464896,Directed,1912,,,1
262322920,774592682144464896,Directed,1920,,,1
858067727059214336,774592682144464896,Directed,1931,,,1
709168560526991360,774592682144464896,Directed,1932,,,2
1308701510,774592682144464896,Directed,1946,,,1
1305446390,871133532810125312,Directed,1952,,,18
41016822,59771262,Directed,1958,,,1
1305446390,2365699398,Directed,1963,,,1
35423324,774592682144464896,Directed,1964,,,2
1875568952,774592682144464896,Directed,1967,,,2
298578141,774592682144464896,Directed,1968,,,1
2546280897,774592682144464896,Directed,1997,,,1
161441587,774592682144464896,Directed,2002,,,1
63588670,3021789050,Directed,2005,,,1
4921853470,774592682144464896,Directed,2014,,,1
154923332,774592682144464896,Directed,2019,,,1
2792288015,774592682144464896,Directed,2022,,,2
806177965000314880,774592682144464896,Directed,2025,,,2
2723966402,774592682144464896,Directed,2033,,,1
163220293,735723034347069440,Directed,2043,,,1
2977607944,774592682144464896,Directed,2049,,,5
3026305647,774592682144464896,Directed,2060,,,2
176604582,871133532810125312,Directed,2067,,,2
858295099960295424,871133532810125312,Directed,2072,,,6
938864362395226113,774592682144464896,Directed,2074,,,1
870991273,774592682144464896,Directed,2079,,,1
3402149422,774592682144464896,Directed,2088,,,1
2305410974,774592682144464896,Directed,2090,,,1
2778726798,871133532810125312,Directed,2099,,,3
321099143,774592682144464896,Directed,2106,,,1
718164276477894657,774592682144464896,Directed,2127,,,1
871133532810125312,774592682144464896,Directed,2144,,,1
945456993652920320,774592682144464896,Directed,2169,,,1
3046960604,774592682144464896,Directed,2186,,,2
2263527887,871133532810125312,Directed,2198,,,2
2735754850,774592682144464896,Directed,2227,,,1
870602433445212161,266861485,Directed,2229,,,1
304605143,871133532810125312,Directed,2234,,,1
711715387260444672,774592682144464896,Directed,2238,,,1
278334512,871133532810125312,Directed,2246,,,1
704776093937618944,774592682144464896,Directed,2266,,,1
854775045952081921,871133532810125312,Directed,2284,,,1
1714446260,774592682144464896,Directed,2286,,,1
101255538,774592682144464896,Directed,2292,,,1
871133532810125312,871133532810125312,Directed,2297,,,4
65385817,871133532810125312,Directed,2299,,,2
1191435649,774592682144464896,Directed,2302,,,1
836920478568677377,774592682144464896,Directed,2306,,,1
47650413,774592682144464896,Directed,2309,,,1
365146978,774592682144464896,Directed,2329,,,2
57813371,2365699398,Directed,2334,,,2
766087072713236480,774592682144464896,Directed,2338,,,2
3167827457,774592682144464896,Directed,2339,,,1
141952000,774592682144464896,Directed,2351,,,1
104916595,871133532810125312,Directed,2354,,,4
806309068625313793,774592682144464896,Directed,2364,,,2
907589654169387008,774592682144464896,Directed,2369,,,1
3248766491,1308260437,Directed,2374,,,1
462230298,774592682144464896,Directed,2380,,,1
955818623519641600,774592682144464896,Directed,2398,,,1
3139033978,774592682144464896,Directed,2412,,,1
954000689151315968,774592682144464896,Directed,2414,,,1
51046040,774592682144464896,Directed,2421,,,2
137141883,774592682144464896,Directed,2441,,,1
9809962,774592682144464896,Directed,2446,,,1
131172511,774592682144464896,Directed,2454,,,2
928937211827048448,871133532810125312,Directed,2461,,,24
271036495,774592682144464896,Directed,2472,,,1
53716625,774592682144464896,Directed,2478,,,1
274830347,774592682144464896,Directed,2479,,,1
193515332,871133532810125312,Directed,2483,,,11
3396061870,774592682144464896,Directed,2490,,,1
4149232155,871133532810125312,Directed,2512,,,5
136127949,774592682144464896,Directed,2533,,,1
266695015,774592682144464896,Directed,2537,,,1
384901069,279242355,Directed,2550,,,1
928937211827048448,774592682144464896,Directed,2555,,,2
864461339032518657,774592682144464896,Directed,2560,,,1
379990153,774592682144464896,Directed,2565,,,1
545627235,774592682144464896,Directed,2570,,,1
63330999,774592682144464896,Directed,2571,,,1
2539931646,774592682144464896,Directed,2576,,,1
36879200,774592682144464896,Directed,2579,,,1
143931126,774592682144464896,Directed,2596,,,1
730879886139789312,774592682144464896,Directed,2613,,,1
712304756824342528,774592682144464896,Directed,2625,,,1
2613218788,774592682144464896,Directed,2647,,,1
136417052,774592682144464896,Directed,2648,,,2
138554139,774592682144464896,Directed,2658,,,2
948627744845426690,774592682144464896,Directed,2662,,,1
3514964895,871133532810125312,Directed,2669,,,1
65385817,774592682144464896,Directed,2672,,,1
3188166737,774592682144464896,Directed,2675,,,1
267387398,774592682144464896,Directed,2680,,,4
770651190392713216,774592682144464896,Directed,2681,,,1
15357211,774592682144464896,Directed,2685,,,1
2483070094,774592682144464896,Directed,2693,,,1
50894635,871133532810125312,Directed,2702,,,5
779055648877281280,17503188,Directed,2703,,,3
104908811,104908811,Directed,2708,,,1
92809968,774592682144464896,Directed,2712,,,2
1066809984,774592682144464896,Directed,2719,,,2
3826143255,774592682144464896,Directed,2728,,,2
3824585836,774592682144464896,Directed,2729,,,3
854918055020949504,774592682144464896,Directed,2739,,,1
780886029452603392,774592682144464896,Directed,2751,,,1
928343498,2365699398,Directed,2752,,,1
2994810327,774592682144464896,Directed,2759,,,1
779055648877281280,871133532810125312,Directed,2767,,,1
255688484,871133532810125312,Directed,2771,,,1
2826348299,774592682144464896,Directed,2772,,,1
181641669,774592682144464896,Directed,2800,,,1
4744832267,774592682144464896,Directed,2820,,,1
4227896661,774592682144464896,Directed,2827,,,2
279242355,774592682144464896,Directed,2829,,,1
344965817,774592682144464896,Directed,2846,,,1
1304752723,774592682144464896,Directed,2849,,,1
2611818027,774592682144464896,Directed,2869,,,2
4281208060,774592682144464896,Directed,2870,,,3
829708319430426624,2943093201,Directed,2872,,,1
222082190,774592682144464896,Directed,2898,,,1
214589136,774592682144464896,Directed,2901,,,1
136360864,774592682144464896,Directed,2905,,,2
909234615096938496,774592682144464896,Directed,2918,,,1
729966238189883392,774592682144464896,Directed,2935,,,1
769152341492850688,774592682144464896,Directed,2972,,,1
304389876,774592682144464896,Directed,2999,,,2
