Source,Target,Type,Id,Label,timeset,Weight
751889081135689728,83001152,Directed,21697,,,1
48475861,83001152,Directed,21845,,,1
914967614551658496,83001152,Directed,21861,,,1
802242187404726273,83001152,Directed,21876,,,1
830400968160342017,83001152,Directed,21883,,,1
72724285,83001152,Directed,21900,,,1
620650049,83001152,Directed,21911,,,1
33435237,83001152,Directed,21925,,,2
370121222,83001152,Directed,21946,,,11
30486121,83001152,Directed,21952,,,1
3049250873,83001152,Directed,21986,,,1
52398009,83001152,Directed,21988,,,1
385109644,83001152,Directed,21991,,,1
3331916445,83001152,Directed,22004,,,1
855811973652590593,83001152,Directed,22032,,,3
36119789,83001152,Directed,22042,,,1
42439033,83001152,Directed,22046,,,1
263865646,83001152,Directed,22050,,,2
58064534,83001152,Directed,22074,,,1
384901069,83001152,Directed,22075,,,2
1966567370,83001152,Directed,22099,,,3
621158680,83001152,Directed,22116,,,1
414314383,83001152,Directed,22131,,,1
2685619861,83001152,Directed,22139,,,2
705812872,83001152,Directed,22164,,,2
66096933,83001152,Directed,22170,,,1
174903134,83001152,Directed,22192,,,1
845005019510423552,83001152,Directed,22198,,,1
2497592183,83001152,Directed,22218,,,3
371848201,83001152,Directed,22236,,,2
94906913,83001152,Directed,22239,,,1
2435408934,83001152,Directed,22243,,,1
2568078408,83001152,Directed,22270,,,2
2996832729,83001152,Directed,22303,,,1
173817113,83001152,Directed,22305,,,1
126060389,83001152,Directed,22357,,,8
937779533503172609,83001152,Directed,22362,,,2
366197755,83001152,Directed,22366,,,1
1654227680,83001152,Directed,22394,,,2
54283216,83001152,Directed,22421,,,3
892045436055322625,83001152,Directed,22477,,,1
101255538,83001152,Directed,22481,,,1
815744023222775808,83001152,Directed,22498,,,1
2163601862,83001152,Directed,22524,,,1
1526024870,83001152,Directed,22542,,,1
706288612632084481,83001152,Directed,22593,,,2
898983849602015235,83001152,Directed,22595,,,2
2391559963,83001152,Directed,22630,,,1
167563810,83001152,Directed,22633,,,1
867905679893422080,83001152,Directed,22641,,,1
931278429097463808,83001152,Directed,22643,,,2
3982343297,83001152,Directed,22652,,,1
714694965092335617,83001152,Directed,22662,,,1
741340215378386944,83001152,Directed,22700,,,13
249668286,83001152,Directed,22730,,,1
42333436,83001152,Directed,22750,,,1
868048543659024385,83001152,Directed,22751,,,1
1526013270,83001152,Directed,22766,,,1
733420747788410880,83001152,Directed,22772,,,1
139860744,83001152,Directed,22802,,,2
2466250004,83001152,Directed,22829,,,1
2806416231,83001152,Directed,22843,,,1
2612613771,83001152,Directed,22861,,,1
2904230037,83001152,Directed,22907,,,6
307636961,83001152,Directed,22944,,,3
619212010,83001152,Directed,22958,,,7
2281110529,83001152,Directed,22960,,,1
124252321,83001152,Directed,22963,,,3
195777756,83001152,Directed,22964,,,1
3403235237,83001152,Directed,22966,,,1
186324842,83001152,Directed,22992,,,3
772846207,83001152,Directed,22994,,,4
912096314199908353,83001152,Directed,22999,,,1
799356910931681280,83001152,Directed,23011,,,1
218333865,83001152,Directed,23040,,,1
2557402077,83001152,Directed,23077,,,1
856587886094843907,83001152,Directed,23083,,,2
2316055178,83001152,Directed,23087,,,2
2352751943,83001152,Directed,23092,,,2
1305446390,83001152,Directed,23094,,,1
868854671988977664,83001152,Directed,23126,,,3
2365699398,83001152,Directed,23130,,,1
105870609,83001152,Directed,23137,,,1
545899646,83001152,Directed,23182,,,1
324907911,83001152,Directed,23200,,,2
2650714156,83001152,Directed,23205,,,1
3672418935,83001152,Directed,23235,,,2
33491581,83001152,Directed,23244,,,1
887751649669894144,83001152,Directed,23299,,,1
768612467517845504,83001152,Directed,23341,,,3
57813371,83001152,Directed,23342,,,1
290112289,83001152,Directed,23345,,,2
2437579938,83001152,Directed,23369,,,1
948290819668275200,83001152,Directed,23534,,,1
25674916,83001152,Directed,23639,,,1
