('48475861', '83001152')
('620650049', '83001152')
('30486121', '83001152')
('52398009', '83001152')
('1966567370', '83001152')
('2685619861', '83001152')
('705812872', '83001152')
('101255538', '83001152')
('931278429097463808', '83001152')
('714694965092335617', '83001152')
('733420747788410880', '83001152')
('619212010', '83001152')
('2281110529', '83001152')
('124252321', '83001152')
('195777756', '83001152')
('186324842', '83001152')
('772846207', '83001152')
('2316055178', '83001152')
('2352751943', '83001152')
('57813371', '83001152')
('948290819668275200', '83001152')
('25674916', '83001152')
('2759909111', '83001152')
('3014559017', '83001152')
('1183521331', '83001152')
('913153025564450816', '83001152')
('103429207', '83001152')
('211186521', '83001152')
('801086722285113350', '83001152')
('897975808643538945', '83001152')
('96007805', '83001152')
('135231310', '83001152')
('32241839', '83001152')
('381734499', '83001152')
('932863742034919424', '83001152')
('55989071', '83001152')
('500997223', '83001152')
('740632851838865408', '83001152')
('117850750', '83001152')
('92629822', '83001152')
('448987705', '83001152')
('451263883', '83001152')
('3248766491', '83001152')
('2535920501', '83001152')
('4604966176', '83001152')
('4539799354', '83001152')
('810474932165611520', '83001152')
('437479383', '83001152')
('355256772', '83001152')
('3592705401', '83001152')
('73254822', '83001152')
('1071582210', '83001152')
('829010345888980993', '83001152')
('246248026', '83001152')
('742788152', '83001152')
('1570534500', '83001152')
('43332835', '83001152')
('859215828717371393', '83001152')
('2894302733', '83001152')
('944002453342736385', '83001152')
('778239895592632320', '83001152')
('712732013703380992', '83001152')
('151986928', '83001152')
('111661262', '83001152')
('953983766304903169', '83001152')
('942130571563753472', '83001152')
('706174999498006530', '83001152')
('71909512', '83001152')
('3028878304', '83001152')
('63755983', '83001152')
('2590864474', '83001152')
('366837532', '83001152')
('4830451745', '83001152')
('67359764', '83001152')
('1926508376', '83001152')
('2982017787', '83001152')
('83001152', '83001152')
('736337190268063744', '83001152')
('2239188471', '83001152')
('220742365', '83001152')
('349998095', '83001152')
('387196980', '83001152')
('55703748', '83001152')
('301589717', '83001152')
('208220901', '83001152')
('2342438478', '83001152')
('283801611', '83001152')
('832174735823929345', '83001152')
('57304102', '83001152')
('1628633204', '83001152')
('1130192869', '83001152')
('345517183', '83001152')
('347906536', '83001152')
('839424458477666304', '83001152')
('3178727717', '83001152')
('155625715', '83001152')
('2480836789', '83001152')
('901443442189926400', '83001152')
('269002325', '83001152')
('67451646', '83001152')
('2916456381', '83001152')
('916389585466417152', '83001152')
('67041451', '83001152')
('823633489295736833', '83001152')
('80325819', '83001152')
('176859552', '83001152')
('193900428', '83001152')
('83219966', '83001152')
('1646061902', '83001152')
('141800923', '83001152')
('146194591', '83001152')
('2531224064', '83001152')
('949729124158988288', '83001152')
('2999582918', '83001152')
('2588843474', '83001152')
('623038485', '83001152')
('878007324', '83001152')
