('751889081135689728', '83001152')
('914967614551658496', '83001152')
('802242187404726273', '83001152')
('830400968160342017', '83001152')
('72724285', '83001152')
('33435237', '83001152')
('370121222', '83001152')
('3049250873', '83001152')
('385109644', '83001152')
('3331916445', '83001152')
('855811973652590593', '83001152')
('36119789', '83001152')
('42439033', '83001152')
('263865646', '83001152')
('58064534', '83001152')
('384901069', '83001152')
('621158680', '83001152')
('414314383', '83001152')
('66096933', '83001152')
('174903134', '83001152')
('845005019510423552', '83001152')
('2497592183', '83001152')
('371848201', '83001152')
('94906913', '83001152')
('2435408934', '83001152')
('2568078408', '83001152')
('2996832729', '83001152')
('173817113', '83001152')
('126060389', '83001152')
('937779533503172609', '83001152')
('366197755', '83001152')
('1654227680', '83001152')
('54283216', '83001152')
('892045436055322625', '83001152')
('815744023222775808', '83001152')
('2163601862', '83001152')
('1526024870', '83001152')
('706288612632084481', '83001152')
('898983849602015235', '83001152')
('2391559963', '83001152')
('167563810', '83001152')
('867905679893422080', '83001152')
('3982343297', '83001152')
('741340215378386944', '83001152')
('249668286', '83001152')
('42333436', '83001152')
('868048543659024385', '83001152')
('1526013270', '83001152')
('139860744', '83001152')
('2466250004', '83001152')
('2806416231', '83001152')
('2612613771', '83001152')
('2904230037', '83001152')
('307636961', '83001152')
('3403235237', '83001152')
('912096314199908353', '83001152')
('799356910931681280', '83001152')
('218333865', '83001152')
('2557402077', '83001152')
('856587886094843907', '83001152')
('1305446390', '83001152')
('868854671988977664', '83001152')
('2365699398', '83001152')
('105870609', '83001152')
('545899646', '83001152')
('324907911', '83001152')
('2650714156', '83001152')
('3672418935', '83001152')
('33491581', '83001152')
('887751649669894144', '83001152')
('768612467517845504', '83001152')
('290112289', '83001152')
('2437579938', '83001152')
('2179292725', '83001152')
('757114237', '83001152')
('770256321530691584', '83001152')
('629930025', '83001152')
('917449901319049216', '83001152')
('4407427576', '83001152')
('49113731', '83001152')
('1965473114', '83001152')
('929928672492032000', '83001152')
('204381497', '83001152')
('2943093201', '83001152')
('829708319430426624', '83001152')
('90897488', '83001152')
('25439090', '83001152')
('1964950808', '83001152')
('74605081', '83001152')
('2438939200', '83001152')
('182461601', '83001152')
('300396573', '83001152')
('3005772857', '83001152')
('583075509', '83001152')
('1971699198', '83001152')
('2678903220', '83001152')
('876213487353180160', '83001152')
('831337394884468736', '83001152')
('214582214', '83001152')
('108036617', '83001152')
('272585729', '83001152')
('1297480920', '83001152')
('812310403157999616', '83001152')
('812862292157198336', '83001152')
('867494036575268864', '83001152')
('832338993635323904', '83001152')
('792018164', '83001152')
('304918906', '83001152')
('38218494', '83001152')
('1979148698', '83001152')
('1377566276', '83001152')
('2557695253', '83001152')
('708297652404883456', '83001152')
('1398653772', '83001152')
('105371463', '83001152')
('3990138682', '83001152')
('123710016', '83001152')
('1713761478', '83001152')
('907790092902846466', '83001152')
('709915344400486400', '83001152')
('858295099960295424', '83001152')
('144608498', '83001152')
('830834235523158016', '83001152')
('139126353', '83001152')
('879044014200279040', '83001152')
('843984442452533248', '83001152')
('572015475', '83001152')
('587668107', '83001152')
('23074721', '83001152')
('926068285828943877', '83001152')
('771881021075759104', '83001152')
('361836159', '83001152')
('131021250', '83001152')
('46449348', '83001152')
('892815967272804353', '83001152')
('947873366949748736', '83001152')
('831567906123177988', '83001152')
('1564585927', '83001152')
('52617312', '83001152')
('1532793114', '83001152')
('50894635', '83001152')
('2871345816', '83001152')
('712373441417121796', '83001152')
('1571701525', '83001152')
('3397341905', '83001152')
('263420231', '83001152')
('2907206265', '83001152')
('2897877826', '83001152')
('821153259775791104', '83001152')
('3380205107', '83001152')
('781277643748564992', '83001152')
('496916159', '83001152')
('281774361', '83001152')
('785064546281070592', '83001152')
('804139773438869507', '83001152')
('2317184530', '83001152')
('3824585836', '83001152')
('874250204', '83001152')
('2256970182', '83001152')
('2470942888', '83001152')
('188910489', '83001152')
('1405359979', '83001152')
('901441902670737408', '83001152')
('817420441', '83001152')
('900102515928203265', '83001152')
('167568597', '83001152')
('705917115262492672', '83001152')
('819066881239719936', '83001152')
('870241431813795841', '83001152')
('3029196743', '83001152')
('932097641923710976', '83001152')
('72551231', '83001152')
('33192679', '83001152')
('105273031', '83001152')
('879642761762361344', '83001152')
('806165951561482240', '83001152')
('718272972851646464', '83001152')
('813818915897884672', '83001152')
('4434241935', '83001152')
('50490619', '83001152')
('266861485', '83001152')
('873601783863685120', '83001152')
('2485796028', '83001152')
('90183598', '83001152')
('710189137261936641', '83001152')
('905730101035364353', '83001152')
('947682825893007362', '83001152')
('1536414565', '83001152')
('1052479411', '83001152')
('230447495', '83001152')
('2678160576', '83001152')
('2677646613', '83001152')
('714503076292460544', '83001152')
('916649125923434496', '83001152')
('206273246', '83001152')
('737085823473061888', '83001152')
('911636703672242176', '83001152')
('39423041', '83001152')
('752924540431437824', '83001152')
('83470691', '83001152')
('4835211933', '83001152')
('771035442141597696', '83001152')
('2235327544', '83001152')
('3348101873', '83001152')
('163935901', '83001152')
('359670569', '83001152')
('486988339', '83001152')
('1344694580', '83001152')
('331130277', '83001152')
('54983244', '83001152')
('282532497', '83001152')
('789206128349614081', '83001152')
('126128572', '83001152')
('954828817', '83001152')
('889533286615220224', '83001152')
('298099457', '83001152')
('32098141', '83001152')
('709168560526991360', '83001152')
('126409132', '83001152')
('4850420290', '83001152')
('219852617', '83001152')
('3621963496', '83001152')
('400835378', '83001152')
('3057269241', '83001152')
('779844450147237889', '83001152')
('397006154', '83001152')
('2603672078', '83001152')
('149102598', '83001152')
('3188166737', '83001152')
('513733280', '83001152')
('2531143092', '83001152')
('3341976723', '83001152')
('110677262', '83001152')
('704097060', '83001152')
('164538791', '83001152')
('821184925944676353', '83001152')
('831947702342713354', '83001152')
('268859460', '83001152')
('4330646799', '83001152')
('382261316', '83001152')
('928578281837867008', '83001152')
('66704761', '83001152')
('738749389942972416', '83001152')
('768995685232443392', '83001152')
('563094648', '83001152')
('100998171', '83001152')
('2809428106', '83001152')
('901438901876924417', '83001152')
('2434479096', '83001152')
('72694672', '83001152')
('2875857562', '83001152')
('247980252', '83001152')
('3570953957', '83001152')
('4421490737', '83001152')
('2722294315', '83001152')
('270568390', '83001152')
('907636377566793733', '83001152')
('75600293', '83001152')
('127634479', '83001152')
('2869412925', '83001152')
('81577736', '83001152')
('96039756', '83001152')
('316120545', '83001152')
('3069933898', '83001152')
('196140351', '83001152')
('1149624313', '83001152')
('2564451876', '83001152')
('3089847014', '83001152')
('2963396793', '83001152')
('75665523', '83001152')
('878830381474226176', '83001152')
('2806422725', '83001152')
('927208647104528385', '83001152')
('327716883', '83001152')
('2741931201', '83001152')
('534696452', '83001152')
('880429674995875840', '83001152')
('994598238', '83001152')
('911357384', '83001152')
('784411956518260736', '83001152')
('563729162', '83001152')
('823984268569378816', '83001152')
('225841805', '83001152')
('3309338733', '83001152')
('819951451', '83001152')
('2786316953', '83001152')
('61855647', '83001152')
('799319735154446336', '83001152')
('363914764', '83001152')
('393309814', '83001152')
('259924656', '83001152')
('266743222', '83001152')
('739448593', '83001152')
('1643750532', '83001152')
('163220293', '83001152')
('90467676', '83001152')
('2271834116', '83001152')
('120769795', '83001152')
('2215605920', '83001152')
('42193486', '83001152')
('2855833000', '83001152')
('1137015991', '83001152')
('2919908471', '83001152')
('2854165726', '83001152')
('710131957334745092', '83001152')
('939485983581593600', '83001152')
('922552887791759361', '83001152')
('488617216', '83001152')
('56378020', '83001152')
('177257906', '83001152')
('1169625086', '83001152')
('928343498', '83001152')
('923905837642510338', '83001152')
('723355513396690944', '83001152')
('4251832798', '83001152')
('344881604', '83001152')
('211295496', '83001152')
('1358375492', '83001152')
('905946938192924673', '83001152')
('63788650', '83001152')
('1166530836', '83001152')
('2378709054', '83001152')
('829424101429215232', '83001152')
('305197434', '83001152')
('818007098', '83001152')
('66146040', '83001152')
('127659901', '83001152')
('2729992692', '83001152')
('201705320', '83001152')
('236457548', '83001152')
('918610298344534017', '83001152')
('195121122', '83001152')
('61068210', '83001152')
('158588252', '83001152')
('583310747', '83001152')
('496651593', '83001152')
('624834744', '83001152')
('465967416', '83001152')
('56138718', '83001152')
('2869587706', '83001152')
('235238203', '83001152')
('4483378769', '83001152')
('2454244735', '83001152')
('271605652', '83001152')
('756210156833157121', '83001152')
('3347301916', '83001152')
('543081544', '83001152')
('808040370420543488', '83001152')
('793112665669439489', '83001152')
('422175770', '83001152')
('3015533662', '83001152')
('196280157', '83001152')
('3296103108', '83001152')
('1283287765', '83001152')
('994871432', '83001152')
('2971208777', '83001152')
('829735775373770753', '83001152')
('242527582', '83001152')
('857714482478555137', '83001152')
('182088990', '83001152')
('3368321842', '83001152')
('916201588292800512', '83001152')
('922835115218173952', '83001152')
('2890250412', '83001152')
('822514722583052289', '83001152')
('886243653630480386', '83001152')
('942812318597074944', '83001152')
('74476740', '83001152')
('371242374', '83001152')
('272643601', '83001152')
('71673809', '83001152')
('2750788314', '83001152')
('325858344', '83001152')
('280802494', '83001152')
('2911277351', '83001152')
('3389515959', '83001152')
('3091524917', '83001152')
('944284022112432128', '83001152')
('1968771350', '83001152')
('4916140485', '83001152')
('220020412', '83001152')
('729820875516694528', '83001152')
('908765564952367104', '83001152')
('856281062728753153', '83001152')
('787304006507003904', '83001152')
('66205927', '83001152')
('1330110446', '83001152')
('292616187', '83001152')
('95014235', '83001152')
('2778817262', '83001152')
('954017994077818881', '83001152')
('801452169182539776', '83001152')
('733395224467116032', '83001152')
('210583368', '83001152')
('484340544', '83001152')
('348997180', '83001152')
('2861005863', '83001152')
('897211290892075008', '83001152')
('713396826431492096', '83001152')
('335538237', '83001152')
('55986398', '83001152')
('837731659', '83001152')
('784066047397756929', '83001152')
('131756203', '83001152')
('55291962', '83001152')
('921769521161162752', '83001152')
('67487546', '83001152')
('3310373380', '83001152')
('911513143372861440', '83001152')
('3103397055', '83001152')
('949383360534728704', '83001152')
('752645382476144640', '83001152')
('536514502', '83001152')
('603255585', '83001152')
('44642369', '83001152')
('630438780', '83001152')
('130717368', '83001152')
('2986220781', '83001152')
('164007194', '83001152')
('114493275', '83001152')
('801609192096284672', '83001152')
('868083003150540801', '83001152')
('829505478124240896', '83001152')
('3397512207', '83001152')
('2246533706', '83001152')
('787054378867916800', '83001152')
('3373232345', '83001152')
('324624698', '83001152')
('922536802774331392', '83001152')
('756597968002834432', '83001152')
('1089535657', '83001152')
('1310912587', '83001152')
('2255844356', '83001152')
('96638995', '83001152')
('49631017', '83001152')
('139722257', '83001152')
('184107522', '83001152')
('2825054724', '83001152')
('2427587065', '83001152')
('210177223', '83001152')
('357232550', '83001152')
('1397688913', '83001152')
('753313621942337537', '83001152')
('136835534', '83001152')
('1646458718', '83001152')
('772634900', '83001152')
('193958554', '83001152')
('866020391541714944', '83001152')
('858741367136288768', '83001152')
('320916324', '83001152')
('2903163483', '83001152')
('3871293256', '83001152')
('1834990302', '83001152')
('747430760806752256', '83001152')
('171580002', '83001152')
('4415326757', '83001152')
('1624094526', '83001152')
('882388811577257984', '83001152')
('845966119', '83001152')
('3342772480', '83001152')
('3202867864', '83001152')
('299862125', '83001152')
