('2163601862', '2884022608')
('421912593', '2884022608')
('3629031915', '2884022608')
('781000533662400512', '2884022608')
('3437319347', '2884022608')
('912824616422436864', '2884022608')
('236591895', '2884022608')
('135256722', '2884022608')
('705733248899522560', '2884022608')
('457710243', '2884022608')
('55381609', '2884022608')
('833670609959804928', '2884022608')
('928937211827048448', '2884022608')
('858376742', '2884022608')
('529645252', '2884022608')
('124839328', '2884022608')
('295243663', '2884022608')
('630635842', '2884022608')
('52898387', '2884022608')
('494057971', '2884022608')
('717519959711227904', '2884022608')
('3293261175', '2884022608')
('232947863', '2884022608')
('1570534500', '2884022608')
('496340228', '2884022608')
('2339955411', '2884022608')
('447121908', '2884022608')
('197133329', '2884022608')
('934177882183753730', '2884022608')
('1444914655', '2884022608')
('990053851', '2884022608')
('177353360', '2884022608')
('15280766', '2884022608')
('342893902', '2884022608')
('712762077312589824', '2884022608')
('230165267', '2884022608')
('823970018811592710', '2884022608')
('90897488', '2884022608')
('497323689', '2884022608')
('576208422', '2884022608')
('838813214', '2884022608')
('105773152', '2884022608')
('3309971', '2884022608')
('3824585836', '2884022608')
('2590157269', '2884022608')
('62529283', '2884022608')
('67313665', '2884022608')
('188929983', '2884022608')
('71394771', '2884022608')
('4900096839', '2884022608')
('173817113', '2884022608')
('3091524917', '2884022608')
('2778726798', '2884022608')
('360106720', '2884022608')
('951962288134778880', '2884022608')
('1544670546', '2884022608')
('899284389921738752', '2884022608')
('32883571', '2884022608')
('195092618', '2884022608')
('838470011022901252', '2884022608')
('744882190408912896', '2884022608')
('929873960627515393', '2884022608')
('178490026', '2884022608')
('236784845', '2884022608')
('2438130436', '2884022608')
('1037651850', '2884022608')
('2784729374', '2884022608')
('871167391027404800', '2884022608')
('902915695335403524', '2884022608')
('1364774108', '2884022608')
('204581831', '2884022608')
('3413574527', '2884022608')
('722940842416013312', '2884022608')
('2312594982', '2884022608')
('2275895518', '2884022608')
('34237029', '2884022608')
('248874532', '2884022608')
('938868644410548225', '2884022608')
('1563731072', '2884022608')
('17684271', '2884022608')
('858295099960295424', '2884022608')
('306481876', '2884022608')
('3342772480', '2884022608')
('109289264', '2884022608')
('1283287765', '2884022608')
('907636377566793733', '2884022608')
('95936961', '2884022608')
('745375099012923395', '2884022608')
('858741367136288768', '2884022608')
('944213171392393216', '2884022608')
('47011988', '2884022608')
('2714467605', '2884022608')
('271721735', '2884022608')
('57813371', '2884022608')
('401553884', '2884022608')
('1183521331', '2884022608')
('2614041744', '2884022608')
('176603882', '2884022608')
('331988321', '2884022608')
('3246491110', '2884022608')
('17187538', '2884022608')
('872910423133126656', '2884022608')
('2993431563', '2884022608')
('1526054612', '2884022608')
('132603510', '2884022608')
('324624698', '2884022608')
('775672392', '2884022608')
('375934204', '2884022608')
('936951022118895617', '2884022608')
('2480836789', '2884022608')
('286010362', '2884022608')
('209761441', '2884022608')
('1387486128', '2884022608')
('726118930859851778', '2884022608')
('1727036797', '2884022608')
('3049250873', '2884022608')
('280802494', '2884022608')
('893185265585573888', '2884022608')
('887709116', '2884022608')
('899104896338845700', '2884022608')
('703422817019281408', '2884022608')
('204102599', '2884022608')
('58064534', '2884022608')
('2786513141', '2884022608')
('2694558488', '2884022608')
('822954260505698305', '2884022608')
