('64413120', '2884022608')
('883903161190297601', '2884022608')
('467950822', '2884022608')
('54605110', '2884022608')
('44179848', '2884022608')
('797104222177267712', '2884022608')
('2281110529', '2884022608')
('96007805', '2884022608')
('485877002', '2884022608')
('974780712', '2884022608')
('851177636', '2884022608')
('60129425', '2884022608')
('879115874162135040', '2884022608')
('4332667637', '2884022608')
('843351745', '2884022608')
('25439090', '2884022608')
('49888215', '2884022608')
('274528507', '2884022608')
('55291962', '2884022608')
('1646449488', '2884022608')
('457968900', '2884022608')
('95532665', '2884022608')
('54271887', '2884022608')
('911970556752404480', '2884022608')
('2858430385', '2884022608')
('46809720', '2884022608')
('709563415', '2884022608')
('570396830', '2884022608')
('928343498', '2884022608')
('714149620331462656', '2884022608')
('15357211', '2884022608')
('72551231', '2884022608')
('533838044', '2884022608')
('1964950808', '2884022608')
('718272972851646464', '2884022608')
('799319735154446336', '2884022608')
('173320139', '2884022608')
('1204830703', '2884022608')
('324907911', '2884022608')
('91989624', '2884022608')
('1580576299', '2884022608')
('2762544909', '2884022608')
('145392988', '2884022608')
('3147898258', '2884022608')
('808511928272322560', '2884022608')
('451905637', '2884022608')
('314242630', '2884022608')
('2434479096', '2884022608')
('357647867', '2884022608')
('782246030976905216', '2884022608')
('876213487353180160', '2884022608')
('2263527887', '2884022608')
('48411601', '2884022608')
('176859552', '2884022608')
('269002325', '2884022608')
('4208998467', '2884022608')
('219831968', '2884022608')
('3879777929', '2884022608')
('47109003', '2884022608')
('34613289', '2884022608')
('69958422', '2884022608')
('74605081', '2884022608')
('2999582918', '2884022608')
('193705186', '2884022608')
('132764216', '2884022608')
('80924571', '2884022608')
('2149134356', '2884022608')
('3078197890', '2884022608')
('823273965053480960', '2884022608')
('23982468', '2884022608')
('44098103', '2884022608')
('43031915', '2884022608')
('2974942933', '2884022608')
('193675583', '2884022608')
('102194323', '2884022608')
('365780957', '2884022608')
('845575454446817280', '2884022608')
('1081926001', '2884022608')
('4603485693', '2884022608')
('3304500437', '2884022608')
('58856871', '2884022608')
('2261030457', '2884022608')
('907660339193499648', '2884022608')
('713396826431492096', '2884022608')
('862823939118174209', '2884022608')
