('4878894964', '94199538')
('3207583695', '94199538')
('1451734476', '94199538')
('3378031715', '94199538')
('170056032', '94199538')
('4625962413', '94199538')
('822641972364058627', '94199538')
('3379486511', '94199538')
('117554009', '94199538')
('2726785799', '94199538')
('902165414846791681', '94199538')
('2399718442', '94199538')
('826120825820606464', '94199538')
('65355454', '94199538')
('4780001733', '94199538')
('4892720103', '94199538')
('2318353953', '94199538')
('4387641640', '94199538')
('3335883922', '94199538')
('4926168694', '94199538')
('1021367456', '94199538')
('889838252', '94199538')
('2962737371', '94199538')
('3058002987', '94199538')
('845625416954064896', '94199538')
('890030131510743041', '94199538')
('525294395', '94199538')
('2771499182', '94199538')
('709207632947630080', '94199538')
('3416338697', '94199538')
('1240065728', '94199538')
('714694965092335617', '94199538')
('77211521', '94199538')
('310861386', '94199538')
('891121035671732224', '94199538')
('2200342951', '94199538')
('3410441793', '94199538')
('937123256921968642', '94199538')
('713868204054020098', '94199538')
('332253434', '94199538')
('94906913', '94199538')
('185386627', '94199538')
('753406733117165568', '94199538')
('17696106', '94199538')
('2345087447', '94199538')
('743169514435645441', '94199538')
('934531761278717982', '94199538')
('1242750932', '94199538')
('771482670664744960', '94199538')
('633350084', '94199538')
('253249308', '94199538')
('334394008', '94199538')
('3406462035', '94199538')
('2306735057', '94199538')
('2990135193', '94199538')
('110037259', '94199538')
('4143219701', '94199538')
('402667779', '94199538')
('865000483789787141', '94199538')
('2863629451', '94199538')
('2160614561', '94199538')
('821836782', '94199538')
('4254297995', '94199538')
('4624890441', '94199538')
('926904663177383936', '94199538')
('42311790', '94199538')
('714105592642674688', '94199538')
('4896443301', '94199538')
('747942987271905280', '94199538')
('2219457726', '94199538')
('803227187306524672', '94199538')
('934121690916847617', '94199538')
('1053472008', '94199538')
('382654498', '94199538')
('2999812705', '94199538')
('3022545045', '94199538')
('2178348932', '94199538')
('2964741755', '94199538')
('732407657563312129', '94199538')
('1618449644', '94199538')
('189550465', '94199538')
('568469408', '94199538')
('256066835', '94199538')
('2408102180', '94199538')
('4464985277', '94199538')
('1930849262', '94199538')
('2285944325', '94199538')
('2229977426', '94199538')
('418232941', '94199538')
('718082373137645568', '94199538')
('814984830005997569', '94199538')
('912879762539974658', '94199538')
('735619153302851584', '94199538')
('577671123', '94199538')
('3386023445', '94199538')
('705972168568545280', '94199538')
('3358592187', '94199538')
('2388007560', '94199538')
('2666786088', '94199538')
('372926038', '94199538')
('717491300413677568', '94199538')
('3960977536', '94199538')
('858126810709725185', '94199538')
('817414482917998592', '94199538')
('269392302', '94199538')
('348458699', '94199538')
('737764887120777216', '94199538')
('939533317459861506', '94199538')
('305332364', '94199538')
('917359011980341248', '94199538')
('555147602', '94199538')
('819182889673822210', '94199538')
('3989198722', '94199538')
('2823948851', '94199538')
('756708829132455937', '94199538')
('938158885747216384', '94199538')
('3233787889', '94199538')
('64210142', '94199538')
('883738573769506818', '94199538')
('761876527', '94199538')
('2588429198', '94199538')
('2363279293', '94199538')
('4693045993', '94199538')
('3010642018', '94199538')
('873552005599506432', '94199538')
('842056472867540992', '94199538')
('2559389961', '94199538')
('2882759871', '94199538')
('3474786562', '94199538')
('744012542201241601', '94199538')
('619488361', '94199538')
('901629860170395648', '94199538')
('375050704', '94199538')
('4856821353', '94199538')
('274175914', '94199538')
('720368244826046464', '94199538')
('4509164536', '94199538')
('2227756031', '94199538')
('4034055173', '94199538')
('936211717486448641', '94199538')
('1033611566', '94199538')
('2510929319', '94199538')
('2877407687', '94199538')
('2939655393', '94199538')
('290719553', '94199538')
('1717344456', '94199538')
('794180071854657536', '94199538')
('3404889874', '94199538')
('895688278149652480', '94199538')
('754706137744830464', '94199538')
('137561764', '94199538')
('725847504600879105', '94199538')
('795089303680458752', '94199538')
('716410753666957312', '94199538')
('2329273483', '94199538')
('735903016071639040', '94199538')
('719943976980230144', '94199538')
('736976912032124928', '94199538')
('294418671', '94199538')
('863466269776982024', '94199538')
('838806274825420802', '94199538')
('2208012524', '94199538')
('12781192', '94199538')
('1969677014', '94199538')
('704389762694684673', '94199538')
('67212815', '94199538')
('476283583', '94199538')
('4828348234', '94199538')
('60079613', '94199538')
('927615556777398273', '94199538')
('820776786590101504', '94199538')
('60832848', '94199538')
('3420239871', '94199538')
('748628955150815232', '94199538')
('2975421643', '94199538')
('108143371', '94199538')
('2538743628', '94199538')
('778874779', '94199538')
('301207278', '94199538')
('707177624418787328', '94199538')
('251200504', '94199538')
('2955784528', '94199538')
('153476599', '94199538')
('2326127899', '94199538')
('317980423', '94199538')
('783822656890077184', '94199538')
('3303500141', '94199538')
('783354996', '94199538')
('362149254', '94199538')
('938931096368099329', '94199538')
('3241202218', '94199538')
('742493151907184641', '94199538')
('733452222', '94199538')
('63583378', '94199538')
('3392773823', '94199538')
('212290724', '94199538')
('3121408943', '94199538')
('909170192617525248', '94199538')
('810199608605495300', '94199538')
('4211515205', '94199538')
('750160852062445568', '94199538')
('940596615517294592', '94199538')
('708290966843748353', '94199538')
('708541848382480384', '94199538')
('925544456304103425', '94199538')
('4864337512', '94199538')
('828981529367941122', '94199538')
('754434500843757568', '94199538')
('61635916', '94199538')
('2973891550', '94199538')
('3494981877', '94199538')
('722473812122583040', '94199538')
('2830700529', '94199538')
('3381995872', '94199538')
('3741748949', '94199538')
('183796071', '94199538')
('293174148', '94199538')
('2217908220', '94199538')
('234313926', '94199538')
('1335135691', '94199538')
('865598293', '94199538')
('750337283111391232', '94199538')
('748286316899614720', '94199538')
('330470360', '94199538')
('563910591', '94199538')
('2948930585', '94199538')
('4517896161', '94199538')
('925006691959177218', '94199538')
('809936441065275392', '94199538')
('2710718297', '94199538')
('113056347', '94199538')
('14384960', '94199538')
('4828616249', '94199538')
('943236443983532032', '94199538')
('1462498705', '94199538')
('1457914544', '94199538')
('852320126120722432', '94199538')
('4046626636', '94199538')
('799726609506779136', '94199538')
('830159102642896897', '94199538')
('323485555', '94199538')
('792327827618160640', '94199538')
('3160807858', '94199538')
('291819007', '94199538')
('1700565480', '94199538')
('3028404400', '94199538')
('746911560845660160', '94199538')
('4180860028', '94199538')
('756683131382558720', '94199538')
('707508666', '94199538')
('721484655267090433', '94199538')
('761417107', '94199538')
('807720103538200578', '94199538')
('1638162182', '94199538')
('2366489976', '94199538')
('845915251203887104', '94199538')
('764197197789343744', '94199538')
('238410978', '94199538')
('34777433', '94199538')
('174254090', '94199538')
('2628042720', '94199538')
('886380911385825280', '94199538')
('868146790528425984', '94199538')
('389088407', '94199538')
('3090010997', '94199538')
('3256909205', '94199538')
('2584069551', '94199538')
('859525652168441856', '94199538')
('1971801974', '94199538')
('859040179876659204', '94199538')
('2832469607', '94199538')
('2303305692', '94199538')
('879460645019803648', '94199538')
('3062795099', '94199538')
('327717968', '94199538')
('987281365', '94199538')
('834494191505907717', '94199538')
('394067417', '94199538')
('940605211302916096', '94199538')
('945096881318912000', '94199538')
('734509173304664065', '94199538')
('2781533309', '94199538')
('939404300', '94199538')
('208659419', '94199538')
('4398332309', '94199538')
('4091507441', '94199538')
('884968252501352450', '94199538')
('133036250', '94199538')
('901210512691744771', '94199538')
('830838650107727873', '94199538')
('913711990568361985', '94199538')
('1149663986', '94199538')
('137039219', '94199538')
('563292636', '94199538')
('2370107512', '94199538')
('3044561667', '94199538')
('885527181543305219', '94199538')
('850795477318737920', '94199538')
('3389580484', '94199538')
('730073463839457280', '94199538')
('1976382984', '94199538')
('40946551', '94199538')
('872528184327237634', '94199538')
('792817779086913537', '94199538')
('732366604579815424', '94199538')
('4872922955', '94199538')
('537766581', '94199538')
('614634971', '94199538')
('2752828039', '94199538')
('804360275495452672', '94199538')
('4247210240', '94199538')
('157486889', '94199538')
('450940611', '94199538')
('723169300597497858', '94199538')
('274643249', '94199538')
('3742465694', '94199538')
('1523386686', '94199538')
('723730337524752384', '94199538')
('949677079200661504', '94199538')
('720654197427933186', '94199538')
('853451719866548224', '94199538')
('3434873283', '94199538')
('434496353', '94199538')
('303508641', '94199538')
('4130243835', '94199538')
('60149606', '94199538')
('601880134', '94199538')
('951082373017493504', '94199538')
('736211223981764609', '94199538')
('794691994983469056', '94199538')
('2990922514', '94199538')
('210887681', '94199538')
('727270425902854145', '94199538')
('3308787868', '94199538')
('3371490477', '94199538')
('193411188', '94199538')
('2631722297', '94199538')
('1561736827', '94199538')
('2417779171', '94199538')
('440986686', '94199538')
('4191471861', '94199538')
('928833658953326593', '94199538')
('2999692275', '94199538')
('4212768113', '94199538')
('2435414040', '94199538')
('954670356077404160', '94199538')
('2844156477', '94199538')
('810290524682907648', '94199538')
('115792669', '94199538')
('56511883', '94199538')
('176885259', '94199538')
('946230354863570944', '94199538')
('791035713974333441', '94199538')
('2371931807', '94199538')
('1491403843', '94199538')
('703608767779364865', '94199538')
('898176765021106177', '94199538')
('82219739', '94199538')
('2770097721', '94199538')
('772609085124579328', '94199538')
('39160660', '94199538')
('2816796068', '94199538')
('941728989600735232', '94199538')
('734777120933679104', '94199538')
('2295785493', '94199538')
('468773808', '94199538')
('726094598016274432', '94199538')
('700795779544387585', '94199538')
('2285192971', '94199538')
('2476197579', '94199538')
('806141731326586884', '94199538')
('98241634', '94199538')
('2505309933', '94199538')
('3227316432', '94199538')
('179507905', '94199538')
('4916871329', '94199538')
('740266806535966720', '94199538')
('769718806952443904', '94199538')
('3980361754', '94199538')
('2321456072', '94199538')
('80368208', '94199538')
('787820484473815040', '94199538')
('2458241343', '94199538')
('825392870861443072', '94199538')
('172364496', '94199538')
('718614439667351552', '94199538')
('791738645992570890', '94199538')
('1005914857', '94199538')
('78413951', '94199538')
('221764900', '94199538')
('2342438478', '94199538')
