('1000024310', '70987200')
('1000550612', '70987200')
('100981789', '70987200')
('103426442', '70987200')
('1042162524', '70987200')
('1052479411', '70987200')
('106246390', '70987200')
('106477524', '70987200')
('1066122696', '70987200')
('107682490', '70987200')
('108369439', '70987200')
('108420116', '70987200')
('108687161', '70987200')
('108939971', '70987200')
('109998110', '70987200')
('1120610304', '70987200')
('1126937162', '70987200')
('1130192869', '70987200')
('113085851', '70987200')
('1130937530', '70987200')
('1131804608', '70987200')
('113881028', '70987200')
('114094027', '70987200')
('11486082', '70987200')
('1148706409', '70987200')
('1154287860', '70987200')
('116251224', '70987200')
('1183521331', '70987200')
('1185912751', '70987200')
('1191795205', '70987200')
('119224232', '70987200')
('119754174', '70987200')
('1202467543', '70987200')
('1216599770', '70987200')
('1219794020', '70987200')
('122685235', '70987200')
('123401322', '70987200')
('124839328', '70987200')
('1283287765', '70987200')
('1310912587', '70987200')
('131211142', '70987200')
('1314494432', '70987200')
('1330298760', '70987200')
('133040622', '70987200')
('1332074934', '70987200')
('133413241', '70987200')
('1334616002', '70987200')
('1352896610', '70987200')
('137039219', '70987200')
('1377566276', '70987200')
('1380752052', '70987200')
('138621725', '70987200')
('1390581312', '70987200')
('139126353', '70987200')
('139593881', '70987200')
('139873062', '70987200')
('1406382516', '70987200')
('141461824', '70987200')
('142078024', '70987200')
('1436364403', '70987200')
('1436385162', '70987200')
('144010410', '70987200')
('144138963', '70987200')
('1452826022', '70987200')
('1455100327', '70987200')
('1458514188', '70987200')
('1460189136', '70987200')
('146194591', '70987200')
('146308004', '70987200')
('1468215481', '70987200')
('14752477', '70987200')
('148043552', '70987200')
('148382040', '70987200')
('1488745447', '70987200')
('1489019983', '70987200')
('1531602908', '70987200')
('154543445', '70987200')
('154684944', '70987200')
('155293238', '70987200')
('156838910', '70987200')
('15699056', '70987200')
('15710400', '70987200')
('1575132918', '70987200')
('158525630', '70987200')
('160257210', '70987200')
('16041920', '70987200')
('161817783', '70987200')
('1618927693', '70987200')
('1621415210', '70987200')
('1626114314', '70987200')
('162782927', '70987200')
('165569796', '70987200')
('1666407470', '70987200')
('167425008', '70987200')
('1677010788', '70987200')
('1681957052', '70987200')
('168285369', '70987200')
('1686294037', '70987200')
('1688997252', '70987200')
('169082533', '70987200')
('17109389', '70987200')
('17236932', '70987200')
('175110796', '70987200')
('176499125', '70987200')
('178490026', '70987200')
('18080679', '70987200')
('182561268', '70987200')
('182858634', '70987200')
('185240991', '70987200')
('185620232', '70987200')
('1857932012', '70987200')
('1873654801', '70987200')
('1886616704', '70987200')
('190843518', '70987200')
('191818761', '70987200')
('1921104882', '70987200')
('19268911', '70987200')
('1931861250', '70987200')
('1932485498', '70987200')
('194645058', '70987200')
('195092618', '70987200')
('195121122', '70987200')
('1955974026', '70987200')
('196361380', '70987200')
('1965191466', '70987200')
('197605384', '70987200')
('1979148698', '70987200')
('201764268', '70987200')
('203667196', '70987200')
('203979260', '70987200')
('204381497', '70987200')
('205475730', '70987200')
('207103824', '70987200')
('207173384', '70987200')
('210472524', '70987200')
('211186521', '70987200')
('211295496', '70987200')
('211707946', '70987200')
('213001994', '70987200')
('214701026', '70987200')
('215408268', '70987200')
('2157811203', '70987200')
('215834854', '70987200')
('2161570447', '70987200')
('2163601862', '70987200')
('2184588386', '70987200')
('2190466083', '70987200')
('219351697', '70987200')
('2203739174', '70987200')
('2205362465', '70987200')
('220742365', '70987200')
('2215983663', '70987200')
('223337362', '70987200')
('2243272111', '70987200')
('2250436383', '70987200')
('2258125597', '70987200')
('225815650', '70987200')
('225841805', '70987200')
('227280535', '70987200')
('227488723', '70987200')
('227854350', '70987200')
('228577853', '70987200')
('228840595', '70987200')
('2298308160', '70987200')
('230447495', '70987200')
('230467195', '70987200')
('230495311', '70987200')
('230547256', '70987200')
('2312594982', '70987200')
('2314433286', '70987200')
('2331261494', '70987200')
('23365102', '70987200')
('2337205147', '70987200')
('2344364215', '70987200')
('2345879534', '70987200')
('2363222496', '70987200')
('236457548', '70987200')
('2372949373', '70987200')
('238409479', '70987200')
('238589894', '70987200')
('2387050972', '70987200')
('2388558220', '70987200')
('2389403736', '70987200')
('2389960296', '70987200')
('2390043684', '70987200')
('2395167540', '70987200')
('242812946', '70987200')
('243933509', '70987200')
('244381888', '70987200')
('2448077425', '70987200')
('2448238118', '70987200')
('245435381', '70987200')
('245865339', '70987200')
('246765137', '70987200')
('2470942888', '70987200')
('2476197579', '70987200')
('248808099', '70987200')
('249273948', '70987200')
('2502549826', '70987200')
('250382897', '70987200')
('2511407244', '70987200')
('25265520', '70987200')
('252748730', '70987200')
