('102558273', '70987200')
('1029137095', '70987200')
('103429207', '70987200')
('103658336', '70987200')
('103668450', '70987200')
('1040543773', '70987200')
('104361436', '70987200')
('104975481', '70987200')
('1051056432', '70987200')
('107161211', '70987200')
('107803566', '70987200')
('108036617', '70987200')
('1081926001', '70987200')
('1083382944', '70987200')
('1086797335', '70987200')
('110454744', '70987200')
('110961946', '70987200')
('1110208027', '70987200')
('1113033246', '70987200')
('1115548771', '70987200')
('113208604', '70987200')
('1132726146', '70987200')
('1137015991', '70987200')
('114493275', '70987200')
('115517005', '70987200')
('1163038662', '70987200')
('1164091074', '70987200')
('117041966', '70987200')
('117850750', '70987200')
('117874545', '70987200')
('118101310', '70987200')
('118142816', '70987200')
('118205942', '70987200')
('1191512527', '70987200')
('119707496', '70987200')
('119731647', '70987200')
('120769795', '70987200')
('1213311781', '70987200')
('122110444', '70987200')
('1223377190', '70987200')
('122449640', '70987200')
('122589576', '70987200')
('123981946', '70987200')
('1242507955', '70987200')
('1246183014', '70987200')
('125733329', '70987200')
('125855451', '70987200')
('126482733', '70987200')
('126664704', '70987200')
('126992065', '70987200')
('127283945', '70987200')
('127555549', '70987200')
('1275661650', '70987200')
('127738165', '70987200')
('1285742862', '70987200')
('129236993', '70987200')
('129919422', '70987200')
('129951373', '70987200')
('1303688012', '70987200')
('1305446390', '70987200')
('1314394410', '70987200')
('131582307', '70987200')
('131756203', '70987200')
('1336638744', '70987200')
('134572878', '70987200')
('1349175188', '70987200')
('1360626758', '70987200')
('136884044', '70987200')
('1372920818', '70987200')
('137499405', '70987200')
('1375239859', '70987200')
('1377408002', '70987200')
('1382049384', '70987200')
('138703017', '70987200')
('1392120913', '70987200')
('1397688913', '70987200')
('1398653772', '70987200')
('140502540', '70987200')
('1416827660', '70987200')
('1424714929', '70987200')
('14252397', '70987200')
('14498644', '70987200')
('145416668', '70987200')
('145755109', '70987200')
('14594617', '70987200')
('1465692656', '70987200')
('147099424', '70987200')
('14724835', '70987200')
('151265609', '70987200')
('152004146', '70987200')
('1526212944', '70987200')
('1529551249', '70987200')
('1546922455', '70987200')
('155610897', '70987200')
('155674026', '70987200')
('156420488', '70987200')
('1566153900', '70987200')
('1571701525', '70987200')
('1575949711', '70987200')
('1575966272', '70987200')
('157836806', '70987200')
('157871601', '70987200')
('158167229', '70987200')
('159314214', '70987200')
('15998329', '70987200')
('1601836363', '70987200')
('160399006', '70987200')
('1607198239', '70987200')
('1614027871', '70987200')
('16152698', '70987200')
('1623152054', '70987200')
('162512612', '70987200')
('1625301722', '70987200')
('1626475891', '70987200')
('162700858', '70987200')
('162848085', '70987200')
('163220293', '70987200')
('163714942', '70987200')
('164007194', '70987200')
('1643750532', '70987200')
('1643995267', '70987200')
('164538791', '70987200')
('165572870', '70987200')
('165972185', '70987200')
('166639927', '70987200')
('16723444', '70987200')
('16726489', '70987200')
('16872315', '70987200')
('16874038', '70987200')
('171483132', '70987200')
('17367394', '70987200')
('173817113', '70987200')
('17474481', '70987200')
('175455437', '70987200')
('177000971', '70987200')
('177036761', '70987200')
('177353360', '70987200')
('178307421', '70987200')
('1795655760', '70987200')
('179778353', '70987200')
('182461601', '70987200')
('182672374', '70987200')
('183994401', '70987200')
('184106132', '70987200')
('184107522', '70987200')
('184578309', '70987200')
('185042167', '70987200')
('1852099657', '70987200')
('187360620', '70987200')
('188863514', '70987200')
('188929983', '70987200')
('189549639', '70987200')
('1895575304', '70987200')
('18959966', '70987200')
('190665466', '70987200')
('1931400138', '70987200')
('193675583', '70987200')
('193705186', '70987200')
('193900428', '70987200')
('194136351', '70987200')
('194413940', '70987200')
('195458943', '70987200')
('196191425', '70987200')
('196280157', '70987200')
('196651173', '70987200')
('1967191002', '70987200')
('200376161', '70987200')
('201722586', '70987200')
('203361939', '70987200')
('206964185', '70987200')
('207229635', '70987200')
('207712806', '70987200')
('208271473', '70987200')
('209761441', '70987200')
('210042340', '70987200')
('210140535', '70987200')
('210177223', '70987200')
('210649812', '70987200')
('210813885', '70987200')
('210996923', '70987200')
('21363569', '70987200')
('213729074', '70987200')
('214633217', '70987200')
('2147876610', '70987200')
('2152788461', '70987200')
('2158006172', '70987200')
('2163967060', '70987200')
('216452063', '70987200')
('21663897', '70987200')
('216832755', '70987200')
('216925725', '70987200')
('2174402707', '70987200')
('218191846', '70987200')
('2183696818', '70987200')
('218684207', '70987200')
('220416677', '70987200')
('220504707', '70987200')
('2209552616', '70987200')
('2212523016', '70987200')
('2240041879', '70987200')
('224050553', '70987200')
('2254177756', '70987200')
('2255844356', '70987200')
('2258960864', '70987200')
('2263275950', '70987200')
('2267889882', '70987200')
('2271834116', '70987200')
('227364712', '70987200')
('2280327106', '70987200')
('229903460', '70987200')
('2304512728', '70987200')
('23074721', '70987200')
('231191558', '70987200')
('2312885274', '70987200')
('2313994016', '70987200')
('23186800', '70987200')
('234068852', '70987200')
('23425127', '70987200')
('2344328377', '70987200')
('2347809591', '70987200')
('2354413167', '70987200')
('235904387', '70987200')
('2365699398', '70987200')
('2366307049', '70987200')
('2367003243', '70987200')
('2378709054', '70987200')
('237896750', '70987200')
('2389586608', '70987200')
('2398328262', '70987200')
('2401926560', '70987200')
('2426996181', '70987200')
('243167514', '70987200')
('2434479096', '70987200')
('2437579938', '70987200')
('2438939200', '70987200')
('24518749', '70987200')
('24556478', '70987200')
('246320505', '70987200')
('247106824', '70987200')
('2480836789', '70987200')
('2481603358', '70987200')
('2482810801', '70987200')
('2487804301', '70987200')
('248874532', '70987200')
('2489967097', '70987200')
('2497204400', '70987200')
('2511372998', '70987200')
('2515990576', '70987200')
('25175813', '70987200')
('25439090', '70987200')
('2546772102', '70987200')
('2557402077', '70987200')
('2558040347', '70987200')
('2593222407', '70987200')
('2596678220', '70987200')
('259924656', '70987200')
('2601501520', '70987200')
('2609159655', '70987200')
('2613782228', '70987200')
('2614608337', '70987200')
('261937064', '70987200')
('2620370507', '70987200')
('2628650152', '70987200')
('262938069', '70987200')
('263161827', '70987200')
('263420231', '70987200')
('263865646', '70987200')
('264261213', '70987200')
('2647845187', '70987200')
('2650714156', '70987200')
('265381961', '70987200')
('26597104', '70987200')
('26663913', '70987200')
('26678081', '70987200')
('266853889', '70987200')
('267387398', '70987200')
('2680546844', '70987200')
('268348350', '70987200')
('2691280595', '70987200')
('2699475254', '70987200')
('2701818597', '70987200')
('2702507592', '70987200')
('270326033', '70987200')
('2705642295', '70987200')
('270623631', '70987200')
('2707744554', '70987200')
('271084509', '70987200')
('2712692609', '70987200')
('2722294315', '70987200')
('272626439', '70987200')
('2734579151', '70987200')
('2735754850', '70987200')
('2741238362', '70987200')
('2742104771', '70987200')
('2744529160', '70987200')
('2746840378', '70987200')
('2748707272', '70987200')
('2750584459', '70987200')
('27556817', '70987200')
('275785667', '70987200')
('2775682930', '70987200')
('2778817262', '70987200')
('2786316953', '70987200')
('2800321885', '70987200')
('2803292745', '70987200')
('2805933848', '70987200')
('2806416231', '70987200')
('2806422725', '70987200')
('2811632133', '70987200')
('2812283375', '70987200')
('281774361', '70987200')
('281816759', '70987200')
('2832064869', '70987200')
('2835708412', '70987200')
('2837248371', '70987200')
('2843894693', '70987200')
('2845897565', '70987200')
('2848811770', '70987200')
('2854165726', '70987200')
('2855280821', '70987200')
('2855628218', '70987200')
('285941178', '70987200')
('286010362', '70987200')
('2861005863', '70987200')
('2865456605', '70987200')
('2869412925', '70987200')
('2874533692', '70987200')
('2876870695', '70987200')
('2886302837', '70987200')
('28994137', '70987200')
('2900687548', '70987200')
('2906645879', '70987200')
('2907206265', '70987200')
('29213177', '70987200')
('2923560940', '70987200')
('2943093201', '70987200')
('2949643293', '70987200')
('2957410013', '70987200')
('296297234', '70987200')
('2965756581', '70987200')
('297025171', '70987200')
('297164677', '70987200')
