Source,Target,Type,Id,Label,timeset,Weight
2974196523,749935955927265280,Directed,1,,,1
1375239859,514897990,Directed,2,,,1
850456295861886977,2923397967,Directed,5,,,2
55291962,774592682144464896,Directed,6,,,2
406488848,3577017087,Directed,7,,,1
3348075755,361849520,Directed,8,,,1
952960900750815232,871133532810125312,Directed,9,,,8
1732563618,774592682144464896,Directed,11,,,1
821153259775791104,871133532810125312,Directed,12,,,5
936951022118895617,880525171664310272,Directed,13,,,2
954467480377937921,156846206,Directed,14,,,1
207270033,749935955927265280,Directed,15,,,1
26516577,949146687058030592,Directed,17,,,1
713164205470400512,932932751195598850,Directed,18,,,1
413214772,855456773070872576,Directed,19,,,1
85430860,727417915,Directed,20,,,1
925553176736096256,774592682144464896,Directed,22,,,1
850298996832821248,871133532810125312,Directed,24,,,1
2365692456,871133532810125312,Directed,25,,,1
826594998246371331,908697731421605888,Directed,26,,,1
2999530600,66205927,Directed,27,,,2
802637067146694660,51797285,Directed,29,,,1
479701398,57059339,Directed,30,,,1
112209238,842135456414330880,Directed,31,,,1
751889081135689728,123710016,Directed,32,,,2
3028375066,113029811,Directed,33,,,1
3422768387,949146687058030592,Directed,34,,,1
606707120,361849520,Directed,36,,,1
926921068484399104,725179408865218560,Directed,37,,,1
811577620102086656,741382796489396225,Directed,38,,,1
61547706,949146687058030592,Directed,39,,,1
4842899105,871133532810125312,Directed,40,,,1
54287593,855456773070872576,Directed,41,,,1
2974196523,725179408865218560,Directed,43,,,1
4878894964,94199538,Directed,44,,,1
194413940,2943093201,Directed,45,,,2
3026305647,871133532810125312,Directed,46,,,4
1428997974,84076180,Directed,49,,,1
57451924,361849520,Directed,50,,,1
3207583695,94199538,Directed,51,,,1
710126221561044993,899298238934765568,Directed,53,,,1
775863094044200960,70987200,Directed,54,,,1
83633452,2257104493,Directed,57,,,1
384901069,4517964159,Directed,58,,,1
384901069,79331709,Directed,59,,,1
384901069,897922842599313408,Directed,60,,,1
2916456381,871133532810125312,Directed,62,,,3
2802544912,1571428436,Directed,63,,,1
2738391813,774592682144464896,Directed,64,,,2
4078466127,470636324,Directed,65,,,1
773210091222949888,788902021441224704,Directed,66,,,1
54109909,855456773070872576,Directed,68,,,1
