('2685619861', '17503188')
('57354671', '17503188')
('611248414', '17503188')
('238107323', '17503188')
('940348967208046593', '17503188')
('944361904662827010', '17503188')
('716456420', '17503188')
('851947230231769088', '17503188')
('738873823', '17503188')
('2975782727', '17503188')
('421845661', '17503188')
('769205169510907904', '17503188')
('861233848268599298', '17503188')
('96019058', '17503188')
('365972873', '17503188')
('340561117', '17503188')
('1927386631', '17503188')
('2746840378', '17503188')
('954828817', '17503188')
('2694558488', '17503188')
('189248501', '17503188')
('726971903315832836', '17503188')
('58940841', '17503188')
('954295951400849410', '17503188')
('848511133', '17503188')
('3037969073', '17503188')
('169226499', '17503188')
('2920569281', '17503188')
('31776710', '17503188')
('2999582918', '17503188')
('74476740', '17503188')
('3398902755', '17503188')
('361849520', '17503188')
('357765760', '17503188')
('83219966', '17503188')
('2438939200', '17503188')
('838872230', '17503188')
('65623871', '17503188')
('67359764', '17503188')
('2875724355', '17503188')
('384627949', '17503188')
('3323760093', '17503188')
('3627229575', '17503188')
('263854518', '17503188')
('3296789136', '17503188')
('2741931201', '17503188')
('821153259775791104', '17503188')
('313941503', '17503188')
('1280955486', '17503188')
('920964122510086144', '17503188')
('613059938', '17503188')
('1170672031', '17503188')
('4829853507', '17503188')
('79353273', '17503188')
('409520229', '17503188')
('735911854413873152', '17503188')
('978692316', '17503188')
('2942791912', '17503188')
('180385151', '17503188')
('2996034431', '17503188')
('3225649337', '17503188')
('53671842', '17503188')
('345212812', '17503188')
('276050857', '17503188')
('923905837642510338', '17503188')
('169748140', '17503188')
('16283876', '17503188')
('765367763972030468', '17503188')
('104543463', '17503188')
('701606030', '17503188')
('4139315896', '17503188')
('762012166740385793', '17503188')
('729172068', '17503188')
('342855894', '17503188')
('2881041713', '17503188')
('2198081336', '17503188')
('3187698855', '17503188')
('315441540', '17503188')
('846408458731765764', '17503188')
('3894499407', '17503188')
('177036761', '17503188')
('915022071792578560', '17503188')
('3884258001', '17503188')
('2312629738', '17503188')
('829010345888980993', '17503188')
('379822250', '17503188')
('185340314', '17503188')
('2863972552', '17503188')
('750336533459247104', '17503188')
('1661185250', '17503188')
('20686765', '17503188')
('2835708412', '17503188')
('314242630', '17503188')
('859575832943185921', '17503188')
('2162675318', '17503188')
('1260536281', '17503188')
('437021163', '17503188')
('55410671', '17503188')
('124839328', '17503188')
('194602612', '17503188')
('1143877644', '17503188')
('540189557', '17503188')
('202896249', '17503188')
('606721840', '17503188')
('52139442', '17503188')
('829505478124240896', '17503188')
('2730802427', '17503188')
('52245929', '17503188')
('2515388319', '17503188')
('4440576443', '17503188')
('276514118', '17503188')
('3371714350', '17503188')
('3763666947', '17503188')
('351179377', '17503188')
('2892873053', '17503188')
('598096606', '17503188')
('863402065871196161', '17503188')
('71626430', '17503188')
('861406848947245056', '17503188')
('2456081324', '17503188')
('559926464', '17503188')
('3050896597', '17503188')
('48518123', '17503188')
('27741291', '17503188')
('2916772546', '17503188')
('516707492', '17503188')
('786609913548144640', '17503188')
('2730424060', '17503188')
('2358185803', '17503188')
('437646833', '17503188')
('97180526', '17503188')
('2485909128', '17503188')
('3529202296', '17503188')
('4896390947', '17503188')
('294777665', '17503188')
('2721685810', '17503188')
('1646458718', '17503188')
('3064050724', '17503188')
('717890371401986049', '17503188')
('2860694400', '17503188')
('117041966', '17503188')
('729820875516694528', '17503188')
('760499500762923009', '17503188')
('918825374515126272', '17503188')
('276153913', '17503188')
('61780767', '17503188')
('4529851715', '17503188')
('95899675', '17503188')
('2389316918', '17503188')
('480341599', '17503188')
('3310040015', '17503188')
('2347809591', '17503188')
('4704492695', '17503188')
('2610063958', '17503188')
('828367821264605184', '17503188')
('335695260', '17503188')
('33546338', '17503188')
('937651118', '17503188')
('94445802', '17503188')
('94217787', '17503188')
('2834270781', '17503188')
('602031460', '17503188')
('712373441417121796', '17503188')
('144407784', '17503188')
('265730085', '17503188')
('775799850814234625', '17503188')
('268200244', '17503188')
('2568373333', '17503188')
('949041754438799360', '17503188')
('3350120327', '17503188')
('739439864', '17503188')
('888981711022952448', '17503188')
('39854511', '17503188')
('936676571758452738', '17503188')
('823701768873922566', '17503188')
('2371455731', '17503188')
('2825480596', '17503188')
('2869412925', '17503188')
('3109046099', '17503188')
('911357384', '17503188')
('4873288654', '17503188')
('893079714629398528', '17503188')
('882311846', '17503188')
('933047727486840832', '17503188')
('3439332071', '17503188')
('210872732', '17503188')
('2158711336', '17503188')
('97602940', '17503188')
('757206659693481984', '17503188')
('68874176', '17503188')
('3406536651', '17503188')
('1118053088', '17503188')
('4755993197', '17503188')
('2580587351', '17503188')
('2243793348', '17503188')
('937894211239731207', '17503188')
('397312095', '17503188')
('1375239859', '17503188')
('378694180', '17503188')
('342868327', '17503188')
('225903262', '17503188')
('3672418935', '17503188')
('699221620586651649', '17503188')
('48762891', '17503188')
('2707744554', '17503188')
('3332994855', '17503188')
('432644250', '17503188')
('128102230', '17503188')
('73277071', '17503188')
('69460261', '17503188')
('81577736', '17503188')
('65270876', '17503188')
('231716110', '17503188')
('866564530490486784', '17503188')
('926068285828943877', '17503188')
('956213734636249089', '17503188')
('229213308', '17503188')
('38872563', '17503188')
('52153264', '17503188')
('285276425', '17503188')
('917836507934806017', '17503188')
('917921974478917633', '17503188')
('903021449266565124', '17503188')
('454918414', '17503188')
('255688484', '17503188')
('1601836363', '17503188')
('155389516', '17503188')
('78685762', '17503188')
('325207332', '17503188')
('198359444', '17503188')
('1307766625', '17503188')
