('182561268', '17503188')
('3106749664', '17503188')
('33435237', '17503188')
('3105108615', '17503188')
('128260941', '17503188')
('779055648877281280', '17503188')
('3233738347', '17503188')
('14794243', '17503188')
('2741238362', '17503188')
('28685589', '17503188')
('863892266234073088', '17503188')
('60129425', '17503188')
('245909273', '17503188')
('4476644057', '17503188')
('948296227963187200', '17503188')
('740943133190545408', '17503188')
('457968900', '17503188')
('1072243014', '17503188')
('229097016', '17503188')
('40993538', '17503188')
('193515332', '17503188')
('876213487353180160', '17503188')
('950831784027152385', '17503188')
('1605437886', '17503188')
('897730329003397121', '17503188')
('55581232', '17503188')
('3075956003', '17503188')
('790216776877481985', '17503188')
('587668107', '17503188')
('99502253', '17503188')
('887071499563225091', '17503188')
('1071582210', '17503188')
('194645058', '17503188')
('44050506', '17503188')
('4168901579', '17503188')
('1536414565', '17503188')
('160583769', '17503188')
('830834235523158016', '17503188')
('71909512', '17503188')
('3629031915', '17503188')
('1707376802', '17503188')
('2660073002', '17503188')
('3248766491', '17503188')
('2864461660', '17503188')
('708632213747802112', '17503188')
('905730101035364353', '17503188')
('724085831212896257', '17503188')
('798112394421698560', '17503188')
('174460061', '17503188')
('873305677971816449', '17503188')
('279204539', '17503188')
('30021755', '17503188')
('63330999', '17503188')
('905798017386766336', '17503188')
('90183598', '17503188')
('2263275950', '17503188')
('2468022511', '17503188')
('266351605', '17503188')
('204581831', '17503188')
('902632205259825166', '17503188')
('859828383143874560', '17503188')
('2712692609', '17503188')
('911262270105235456', '17503188')
('2281110529', '17503188')
('378264332', '17503188')
('924620503502991360', '17503188')
('75600293', '17503188')
('947556192036978689', '17503188')
('249668286', '17503188')
('156537994', '17503188')
('316779253', '17503188')
('906668840720977920', '17503188')
('2587083980', '17503188')
('163714942', '17503188')
('349061965', '17503188')
('873210238266220544', '17503188')
('57813371', '17503188')
('1142492984', '17503188')
('342517222', '17503188')
('114094027', '17503188')
('66205927', '17503188')
('889871123013406720', '17503188')
('223613422', '17503188')
('926262645250035712', '17503188')
('895024854583345152', '17503188')
('42193486', '17503188')
('591979315', '17503188')
('52387489', '17503188')
('2803752921', '17503188')
('259924656', '17503188')
('885975846611279872', '17503188')
('312821326', '17503188')
('2620370507', '17503188')
('91865068', '17503188')
('81710359', '17503188')
('1643750532', '17503188')
('1185912751', '17503188')
('732424289769529344', '17503188')
('20681907', '17503188')
('482331563', '17503188')
('104361436', '17503188')
('4149232155', '17503188')
('23096943', '17503188')
('4925848539', '17503188')
('136360864', '17503188')
('84925552', '17503188')
('314275118', '17503188')
('549205292', '17503188')
('792933149865021441', '17503188')
('52617312', '17503188')
('322954634', '17503188')
('23982468', '17503188')
('381286275', '17503188')
('211295496', '17503188')
('46006531', '17503188')
('737678629799395328', '17503188')
('1110208027', '17503188')
('2365699398', '17503188')
('111653078', '17503188')
('58246122', '17503188')
('69291540', '17503188')
('112460715', '17503188')
('50901050', '17503188')
('3359827919', '17503188')
('864477312720437249', '17503188')
('1150529167', '17503188')
('745437875987226625', '17503188')
('2961185536', '17503188')
('740138018695217152', '17503188')
('2502549826', '17503188')
('785303104107454464', '17503188')
('71115912', '17503188')
('119835475', '17503188')
('4886147343', '17503188')
('195121122', '17503188')
('60832848', '17503188')
('92780914', '17503188')
('2939527426', '17503188')
('221185593', '17503188')
('2972077659', '17503188')
('26544653', '17503188')
('917841849322229760', '17503188')
('870991273', '17503188')
('196280157', '17503188')
('898584887023874052', '17503188')
('948367827353899008', '17503188')
('67979982', '17503188')
('228577853', '17503188')
('1968771350', '17503188')
('944552196682678272', '17503188')
('3353088412', '17503188')
('36041374', '17503188')
('2976190647', '17503188')
('2891411351', '17503188')
('906594612730572806', '17503188')
('879190202979414017', '17503188')
('3742310668', '17503188')
('560665296', '17503188')
('2615488201', '17503188')
('950623808121171974', '17503188')
('157417017', '17503188')
('221563253', '17503188')
('139214223', '17503188')
('73056751', '17503188')
('281821820', '17503188')
('911513143372861440', '17503188')
('862258956361748480', '17503188')
('730942736849866753', '17503188')
('862671678194765824', '17503188')
('69314941', '17503188')
('170694477', '17503188')
('130508418', '17503188')
('2367003243', '17503188')
('72718265', '17503188')
('787779732410597376', '17503188')
('134460106', '17503188')
('163135278', '17503188')
('887443496004722688', '17503188')
('2371195878', '17503188')
('2382662035', '17503188')
('554744746', '17503188')
('2496501836', '17503188')
('614695226', '17503188')
('100049702', '17503188')
('34629513', '17503188')
('839533141123612678', '17503188')
('34312410', '17503188')
('3403912923', '17503188')
('56526010', '17503188')
('28476865', '17503188')
('866020391541714944', '17503188')
('172418675', '17503188')
('51761051', '17503188')
('567287640', '17503188')
('461515713', '17503188')
('794505703188733952', '17503188')
('3839052747', '17503188')
('950902316839956480', '17503188')
('425919418', '17503188')
('819951451', '17503188')
('827617285166739456', '17503188')
('2996309070', '17503188')
('46748708', '17503188')
('379555847', '17503188')
('98630922', '17503188')
('1442418228', '17503188')
('142259099', '17503188')
('136835534', '17503188')
('89527364', '17503188')
('527770855', '17503188')
('186559191', '17503188')
('857459535266684928', '17503188')
('823119105599434753', '17503188')
('2158006172', '17503188')
('171483132', '17503188')
('4867100343', '17503188')
('788554985294397440', '17503188')
('831084376104529920', '17503188')
('285941178', '17503188')
('885293002310250497', '17503188')
('193049243', '17503188')
('793553201626746881', '17503188')
('220051110', '17503188')
('2750126567', '17503188')
('956247140493389825', '17503188')
('851177636', '17503188')
('3045124835', '17503188')
('13287682', '17503188')
('2647845187', '17503188')
('101764026', '17503188')
('2751412983', '17503188')
('858741367136288768', '17503188')
('1444949574', '17503188')
('922614839574519808', '17503188')
('334361527', '17503188')
('719816993', '17503188')
('832352715380490240', '17503188')
('59831069', '17503188')
('1559175733', '17503188')
('838549591779868673', '17503188')
('223604859', '17503188')
('882952885830594561', '17503188')
('173230368', '17503188')
('1325149987', '17503188')
('39418071', '17503188')
('4079267991', '17503188')
('3734039116', '17503188')
('37414040', '17503188')
('802108939995230216', '17503188')
('928937211827048448', '17503188')
('69442465', '17503188')
('17488694', '17503188')
('941424138048233472', '17503188')
('1918729770', '17503188')
('855451568', '17503188')
('226358062', '17503188')
('60102362', '17503188')
('87199219', '17503188')
('3066834196', '17503188')
('3419781311', '17503188')
('414314383', '17503188')
('2294178245', '17503188')
('744388145429549056', '17503188')
('874822208740306945', '17503188')
('163319998', '17503188')
('100531806', '17503188')
('53981294', '17503188')
('136884044', '17503188')
('2821284321', '17503188')
('884859274442178564', '17503188')
('150010373', '17503188')
('16583417', '17503188')
('76966878', '17503188')
('355116456', '17503188')
('157600893', '17503188')
('2215983663', '17503188')
('2491776920', '17503188')
('2395442294', '17503188')
('890294332581978112', '17503188')
('275760101', '17503188')
('912898270069972992', '17503188')
('103701360', '17503188')
('2847275926', '17503188')
('810215883255717889', '17503188')
('787440045477199872', '17503188')
('41660913', '17503188')
('703724966', '17503188')
('1529296482', '17503188')
('108939971', '17503188')
('2184588386', '17503188')
('1598805552', '17503188')
('453528622', '17503188')
('84293886', '17503188')
('902722177606320128', '17503188')
('31510992', '17503188')
('3389515959', '17503188')
('1334664870', '17503188')
('916377531661672450', '17503188')
('1696713168', '17503188')
('2843999351', '17503188')
('137371896', '17503188')
('129951373', '17503188')
('41846219', '17503188')
('3131287300', '17503188')
('885954626465476608', '17503188')
('159559313', '17503188')
('262256354', '17503188')
('3082121914', '17503188')
('27534771', '17503188')
('2421495771', '17503188')
('172906521', '17503188')
('725723860864262144', '17503188')
('114787607', '17503188')
('1281689306', '17503188')
('412305893', '17503188')
('946548413386158080', '17503188')
('540855140', '17503188')
('393737635', '17503188')
('861891684', '17503188')
('54257758', '17503188')
('32004851', '17503188')
('128385309', '17503188')
('950932495305990144', '17503188')
('349356568', '17503188')
('353450108', '17503188')
('2975332215', '17503188')
('97804202', '17503188')
('390413360', '17503188')
('82517231', '17503188')
('495460873', '17503188')
('770738084417773568', '17503188')
('138431656', '17503188')
('38299909', '17503188')
('127936988', '17503188')
('353123133', '17503188')
('932763788746612736', '17503188')
('3375101591', '17503188')
('69887363', '17503188')
('2853897490', '17503188')
('144010410', '17503188')
('2258960864', '17503188')
('1920306888', '17503188')
('702048350', '17503188')
('735723034347069440', '17503188')
('75347149', '17503188')
('756403834969329664', '17503188')
('2173069039', '17503188')
('1852099657', '17503188')
('822803071218630657', '17503188')
('767357980346048512', '17503188')
('413214772', '17503188')
('2752226806', '17503188')
('86142083', '17503188')
('61114708', '17503188')
('2460276247', '17503188')
('60881156', '17503188')
('3342303514', '17503188')
('801451566020562944', '17503188')
('2546772102', '17503188')
('60762656', '17503188')
('2738391813', '17503188')
('792055258637885441', '17503188')
('2250558999', '17503188')
('14498644', '17503188')
('811022867899043840', '17503188')
('763170843102851072', '17503188')
('502005755', '17503188')
('3391248071', '17503188')
('2779738194', '17503188')
('2849160466', '17503188')
('204494751', '17503188')
('953685899908468736', '17503188')
('3354380445', '17503188')
('246582941', '17503188')
('4286639477', '17503188')
('3000800969', '17503188')
('264117014', '17503188')
('329931289', '17503188')
('171572246', '17503188')
('182461601', '17503188')
('4499011877', '17503188')
('436249923', '17503188')
('139126353', '17503188')
('917449901319049216', '17503188')
('2440751407', '17503188')
('907341102260346880', '17503188')
('86498960', '17503188')
('328772739', '17503188')
('2910225827', '17503188')
('777986186367369216', '17503188')
('78126545', '17503188')
('4188348141', '17503188')
('80874491', '17503188')
('51965867', '17503188')
('1397688913', '17503188')
('3304155495', '17503188')
('17834583', '17503188')
('63949278', '17503188')
('711454465681924096', '17503188')
('3111281495', '17503188')
('898559678304669698', '17503188')
('721733851211542529', '17503188')
('2759264798', '17503188')
('2254027032', '17503188')
('174367812', '17503188')
('2462777493', '17503188')
('227016456', '17503188')
('47137547', '17503188')
('3255113765', '17503188')
('49606484', '17503188')
('2821283855', '17503188')
('2390911574', '17503188')
('3032083787', '17503188')
('43476953', '17503188')
('2611818027', '17503188')
('52415292', '17503188')
('736330648516976644', '17503188')
('32151917', '17503188')
('768612467517845504', '17503188')
('901249134228897792', '17503188')
('67924340', '17503188')
('27069796', '17503188')
('1669435974', '17503188')
('3398143007', '17503188')
('203361939', '17503188')
('953792068937244672', '17503188')
('1349175188', '17503188')
('314011384', '17503188')
('351649930', '17503188')
('715613922271825920', '17503188')
('1315182469', '17503188')
('188141603', '17503188')
('28316855', '17503188')
('231262938', '17503188')
('894581952791138306', '17503188')
('711045598481391616', '17503188')
('2925984459', '17503188')
('82014336', '17503188')
('11299542', '17503188')
('1543361059', '17503188')
('60620555', '17503188')
('37229237', '17503188')
('3244832188', '17503188')
('2439052732', '17503188')
('16227278', '17503188')
('42190722', '17503188')
('4019216549', '17503188')
('887380957191426049', '17503188')
('254782198', '17503188')
('385596977', '17503188')
('3355980813', '17503188')
('946273025917358080', '17503188')
('41115750', '17503188')
('61635620', '17503188')
('44258331', '17503188')
('948052062163689472', '17503188')
('709860895896244224', '17503188')
('929873960627515393', '17503188')
('3743811387', '17503188')
('160399006', '17503188')
('2271834116', '17503188')
('178490026', '17503188')
('1529551249', '17503188')
('578527015', '17503188')
('77574569', '17503188')
('50708900', '17503188')
('21158086', '17503188')
('703378720296460288', '17503188')
('1038595087', '17503188')
('1955974026', '17503188')
('2895278032', '17503188')
('1651692734', '17503188')
('1364774108', '17503188')
('268348350', '17503188')
('778666591823224832', '17503188')
('3049250873', '17503188')
('40532100', '17503188')
('157541327', '17503188')
('905739292961583104', '17503188')
('3357941133', '17503188')
('210472524', '17503188')
('2608333297', '17503188')
('723160558413987840', '17503188')
('924499943972368384', '17503188')
('45608290', '17503188')
('933939259068862464', '17503188')
('158146920', '17503188')
('2670047111', '17503188')
('4104350943', '17503188')
('71464354', '17503188')
('89258084', '17503188')
('252571990', '17503188')
('218569690', '17503188')
('441101061', '17503188')
('769558189130080256', '17503188')
('3904403596', '17503188')
('76722173', '17503188')
('1223377190', '17503188')
('719996424', '17503188')
('57166371', '17503188')
('881328254581342208', '17503188')
('805519486048763905', '17503188')
('123103785', '17503188')
('353404980', '17503188')
('75652219', '17503188')
('714552942574088193', '17503188')
('30918005', '17503188')
('62179897', '17503188')
('40330265', '17503188')
