('936951022118895617', '2571656740')
('396340525', '2571656740')
('899999419558440961', '2571656740')
('3990138682', '2571656740')
('1587209246', '2571656740')
('268859460', '2571656740')
('976302648', '2571656740')
('840922216204234752', '2571656740')
('497150491', '2571656740')
('933768246867693568', '2571656740')
('319349275', '2571656740')
('38572792', '2571656740')
('937779533503172609', '2571656740')
('1965473114', '2571656740')
('888517236901761024', '2571656740')
('2379373301', '2571656740')
('3342772480', '2571656740')
('42329974', '2571656740')
('86528119', '2571656740')
('167458193', '2571656740')
('16723444', '2571656740')
('2571656740', '2571656740')
('2949643293', '2571656740')
('3246491110', '2571656740')
('3343048757', '2571656740')
('248429976', '2571656740')
('55207359', '2571656740')
('144527467', '2571656740')
('484068683', '2571656740')
('1057591639', '2571656740')
('57304102', '2571656740')
('3365306489', '2571656740')
('333730389', '2571656740')
('294886946', '2571656740')
('933496194441121798', '2571656740')
('545130205', '2571656740')
('4767867256', '2571656740')
('949384611192242176', '2571656740')
('25439090', '2571656740')
('308206903', '2571656740')
('513178450', '2571656740')
('260003092', '2571656740')
('195458943', '2571656740')
('46809720', '2571656740')
('56865001', '2571656740')
('263420231', '2571656740')
('2557402077', '2571656740')
('14194815', '2571656740')
('2256970182', '2571656740')
('67359764', '2571656740')
('865750651787247616', '2571656740')
('197682694', '2571656740')
('3347301916', '2571656740')
('198359444', '2571656740')
('889533286615220224', '2571656740')
('827560913700057088', '2571656740')
('177000971', '2571656740')
('818240733102669824', '2571656740')
('848583047368908801', '2571656740')
('253713018', '2571656740')
('722496512958312448', '2571656740')
('385720311', '2571656740')
('2784476903', '2571656740')
('277036633', '2571656740')
('3924328103', '2571656740')
('392338991', '2571656740')
('791302656987922432', '2571656740')
('2249012053', '2571656740')
('789845232', '2571656740')
('1334253602', '2571656740')
('3494241796', '2571656740')
('4835699313', '2571656740')
('3154991692', '2571656740')
('1129202858', '2571656740')
('79829118', '2571656740')
('2890301027', '2571656740')
('223337362', '2571656740')
('4019216549', '2571656740')
('306447403', '2571656740')
('301685477', '2571656740')
('1235094152', '2571656740')
('951842905928404992', '2571656740')
('3145415189', '2571656740')
('32004851', '2571656740')
('164934890', '2571656740')
('1325038482', '2571656740')
('165871795', '2571656740')
('1959677917', '2571656740')
('55393972', '2571656740')
('2800321885', '2571656740')
('39215326', '2571656740')
('191701824', '2571656740')
('722745253', '2571656740')
('173892366', '2571656740')
('242998684', '2571656740')
('876213487353180160', '2571656740')
('1080974582', '2571656740')
('158845452', '2571656740')
('139126353', '2571656740')
('29395691', '2571656740')
('764614015091957760', '2571656740')
('247082835', '2571656740')
('188041272', '2571656740')
('242151146', '2571656740')
('104030935', '2571656740')
('917225371451478016', '2571656740')
('42049796', '2571656740')
('718225842359414791', '2571656740')
('3109426259', '2571656740')
('3352329064', '2571656740')
('305177589', '2571656740')
('904771102269952000', '2571656740')
('1219794020', '2571656740')
('437479383', '2571656740')
('2535920501', '2571656740')
('210042340', '2571656740')
('832601458122117121', '2571656740')
('18080679', '2571656740')
('55771196', '2571656740')
('4766151030', '2571656740')
('3432959230', '2571656740')
('400435944', '2571656740')
('343044834', '2571656740')
('3035466039', '2571656740')
('138144775', '2571656740')
('4835211933', '2571656740')
('850060550201647104', '2571656740')
('923377372367376384', '2571656740')
('855130897531752449', '2571656740')
('153559486', '2571656740')
('2755311496', '2571656740')
('188568160', '2571656740')
('457710243', '2571656740')
('712373441417121796', '2571656740')
('843143801321521152', '2571656740')
('809543208413827073', '2571656740')
('872108603469160448', '2571656740')
('919866201874067457', '2571656740')
('68721280', '2571656740')
('350384454', '2571656740')
('771306311204032512', '2571656740')
('1932747842', '2571656740')
('1132397352', '2571656740')
('1205903066', '2571656740')
('92852468', '2571656740')
('81577736', '2571656740')
('42344101', '2571656740')
('865598293', '2571656740')
('868214899855458309', '2571656740')
('2884731001', '2571656740')
('387715768', '2571656740')
('2950312205', '2571656740')
('56816604', '2571656740')
('171580002', '2571656740')
('4255180787', '2571656740')
('953298202639392768', '2571656740')
('339976711', '2571656740')
('2886259497', '2571656740')
('416578777', '2571656740')
('909041169744658432', '2571656740')
('2211054770', '2571656740')
('3248766491', '2571656740')
('2541234637', '2571656740')
('739485027940044800', '2571656740')
('932647303453773824', '2571656740')
('917449901319049216', '2571656740')
('2857371429', '2571656740')
('49797791', '2571656740')
('1405359979', '2571656740')
('4883979963', '2571656740')
('605758395', '2571656740')
('887876828756664321', '2571656740')
('51761051', '2571656740')
('3403235237', '2571656740')
('820290887326396416', '2571656740')
('2319454057', '2571656740')
('176885259', '2571656740')
('2358425535', '2571656740')
('944690788247666688', '2571656740')
('158563550', '2571656740')
('885892197807263745', '2571656740')
('905798017386766336', '2571656740')
('812310403157999616', '2571656740')
('55566643', '2571656740')
('203026050', '2571656740')
('803708102440796160', '2571656740')
('4816590863', '2571656740')
('914871771819577344', '2571656740')
('755120608158023680', '2571656740')
('2263275950', '2571656740')
('35850228', '2571656740')
('242408031', '2571656740')
('114637259', '2571656740')
('126128572', '2571656740')
('723334189085503488', '2571656740')
('85343450', '2571656740')
('58932478', '2571656740')
('1139852900', '2571656740')
('2660073002', '2571656740')
('633390582', '2571656740')
('2651993823', '2571656740')
('58940841', '2571656740')
('879775908009213953', '2571656740')
('943750830', '2571656740')
('757000198497439744', '2571656740')
('2480836789', '2571656740')
('726971903315832836', '2571656740')
('2983082841', '2571656740')
('142775595', '2571656740')
('954820434050117633', '2571656740')
('3424227123', '2571656740')
('131927635', '2571656740')
('707332589619716097', '2571656740')
('2548192944', '2571656740')
('2598482755', '2571656740')
('63326120', '2571656740')
('297164677', '2571656740')
('2949163883', '2571656740')
('3789661037', '2571656740')
('2834270781', '2571656740')
('894254083762249729', '2571656740')
('805835982', '2571656740')
('922910496738758657', '2571656740')
('794689362', '2571656740')
('785884263375855620', '2571656740')
('85860783', '2571656740')
('36481662', '2571656740')
('51732064', '2571656740')
('1130192869', '2571656740')
('4638884477', '2571656740')
('899709699322519552', '2571656740')
('60977769', '2571656740')
('755569725741096960', '2571656740')
('4484845457', '2571656740')
('949081357912813568', '2571656740')
('174430760', '2571656740')
('721617835349381120', '2571656740')
('3386541736', '2571656740')
('52088416', '2571656740')
('282637983', '2571656740')
('74253633', '2571656740')
('747100690355478528', '2571656740')
('68555418', '2571656740')
('2875724355', '2571656740')
('207144609', '2571656740')
('459640992', '2571656740')
('433265376', '2571656740')
('839988615606370304', '2571656740')
('54171086', '2571656740')
('3426930563', '2571656740')
('2560314848', '2571656740')
('816110689693691905', '2571656740')
('955914023094177793', '2571656740')
('2775682930', '2571656740')
('23982468', '2571656740')
('801779605816406017', '2571656740')
('190830421', '2571656740')
('4455334396', '2571656740')
('3069933898', '2571656740')
('2940942388', '2571656740')
('1912217767', '2571656740')
('3014801889', '2571656740')
('705874458876186625', '2571656740')
('313941503', '2571656740')
('522258888', '2571656740')
('1280955486', '2571656740')
('2250669895', '2571656740')
('27796199', '2571656740')
('819951451', '2571656740')
('1102569859', '2571656740')
('4561784788', '2571656740')
('3188697645', '2571656740')
('791660694991233024', '2571656740')
('771035442141597696', '2571656740')
('943647296717316096', '2571656740')
('47011988', '2571656740')
('34629513', '2571656740')
('1647851604', '2571656740')
('619254805', '2571656740')
('931294441717026816', '2571656740')
('225841805', '2571656740')
('73678482', '2571656740')
('617441775', '2571656740')
('2258125597', '2571656740')
('407185116', '2571656740')
('2749881762', '2571656740')
('2432514235', '2571656740')
('869982214074839041', '2571656740')
('718653468', '2571656740')
('259439456', '2571656740')
('1537301742', '2571656740')
('3218013021', '2571656740')
('22099605', '2571656740')
('14974929', '2571656740')
('360356539', '2571656740')
('83219966', '2571656740')
('53578371', '2571656740')
('3396361991', '2571656740')
('609497486', '2571656740')
('802149917317861377', '2571656740')
('1354327520', '2571656740')
('4106314216', '2571656740')
('889871123013406720', '2571656740')
('2741931201', '2571656740')
('44098103', '2571656740')
('161548478', '2571656740')
('101329385', '2571656740')
('158964977', '2571656740')
('259303285', '2571656740')
('845037221052895233', '2571656740')
('377370357', '2571656740')
('228577853', '2571656740')
('743919035524464641', '2571656740')
('2563551195', '2571656740')
('133408549', '2571656740')
('51797894', '2571656740')
('2216107130', '2571656740')
('54209603', '2571656740')
('772871738774396928', '2571656740')
('127650354', '2571656740')
('2648696391', '2571656740')
('1873654801', '2571656740')
('901215929845125120', '2571656740')
('793545598813212672', '2571656740')
('923905837642510338', '2571656740')
('563094648', '2571656740')
('2588843474', '2571656740')
('176859552', '2571656740')
('3118917334', '2571656740')
('140502540', '2571656740')
('45339455', '2571656740')
('741841459817684992', '2571656740')
('1960435824', '2571656740')
('21712293', '2571656740')
('95715624', '2571656740')
('4105454793', '2571656740')
('76004087', '2571656740')
('830420598329339904', '2571656740')
('3629031915', '2571656740')
('1626114314', '2571656740')
('956249198227226635', '2571656740')
('807459248603090944', '2571656740')
('462175132', '2571656740')
('221731352', '2571656740')
('774320841454682113', '2571656740')
('751889081135689728', '2571656740')
('16283876', '2571656740')
('871049422964219906', '2571656740')
('307636961', '2571656740')
