('1726873297', '2571656740')
('705812872', '2571656740')
('834032272663859200', '2571656740')
('249668286', '2571656740')
('725523958146174977', '2571656740')
('2778152189', '2571656740')
('1305446390', '2571656740')
('286010362', '2571656740')
('705917115262492672', '2571656740')
('33690277', '2571656740')
('863892266234073088', '2571656740')
('204102599', '2571656740')
('35208660', '2571656740')
('366197755', '2571656740')
('346802684', '2571656740')
('106799868', '2571656740')
('82388714', '2571656740')
('51593390', '2571656740')
('133413241', '2571656740')
('947191216655011841', '2571656740')
('1176099913', '2571656740')
('737085823473061888', '2571656740')
('2607515566', '2571656740')
('113208604', '2571656740')
('610319001', '2571656740')
('2968387251', '2571656740')
('422816379', '2571656740')
('310643679', '2571656740')
('74605081', '2571656740')
('2806416231', '2571656740')
('4185925942', '2571656740')
('2215983663', '2571656740')
('1154997330', '2571656740')
('872649049', '2571656740')
('20372050', '2571656740')
('703622739589009408', '2571656740')
('492189667', '2571656740')
('2920520477', '2571656740')
('4539799354', '2571656740')
('2347838744', '2571656740')
('217126898', '2571656740')
('3428907683', '2571656740')
('2943093201', '2571656740')
('401026755', '2571656740')
('282532497', '2571656740')
('1571701525', '2571656740')
('156846206', '2571656740')
('1626475891', '2571656740')
('53716625', '2571656740')
('777231418145538048', '2571656740')
('712732013703380992', '2571656740')
('3111281495', '2571656740')
('60445188', '2571656740')
('260957114', '2571656740')
('882611741812809733', '2571656740')
('145416668', '2571656740')
('792048915562594304', '2571656740')
('281774361', '2571656740')
('502005755', '2571656740')
('1224355981', '2571656740')
('270630109', '2571656740')
('180565089', '2571656740')
('159100967', '2571656740')
('497307837', '2571656740')
('36071849', '2571656740')
('932097641923710976', '2571656740')
('2865225633', '2571656740')
('878830381474226176', '2571656740')
('586857535', '2571656740')
('164538791', '2571656740')
('98619590', '2571656740')
('197938170', '2571656740')
('2554645534', '2571656740')
('2361803624', '2571656740')
('83232225', '2571656740')
('2954041171', '2571656740')
('43476953', '2571656740')
('64357195', '2571656740')
('130169445', '2571656740')
('219739064', '2571656740')
('187968772', '2571656740')
