source,target
411766569,1540034828
3304947419,714582936188805120
157709147,150884948
436854052,171674468
3298668085,4529320173
436854052,1347874969
59787383,868550704675381248
132671643,796180188946112512
42058681,796180188946112512
96225988,50038380
564968648,4529320173
1236948386,384288143
87042094,572470115
2208777577,148339735
4090582995,39522911
283540806,84181284
170498695,76049312
867354275827077120,796180188946112512
1616138138,150884948
926944623116812289,312923505
3166741169,4529320173
2876677318,150884948
819336076972228609,312923505
199038582,724991849912500224
297540685,312923505
803255702617751552,121039771
803255702617751552,2670726740
3437565274,134910253
211600427,2939010754
2730341277,796180188946112512
2952281505,2222278562
897437167487680513,2939010754
926659933,724991849912500224
796180188946112512,796180188946112512
514754855,150884948
610206288,150884948
865679721131986944,164289226
710532875930750976,724991849912500224
3539728875,796180188946112512
139720630,2939010754
259719897,796180188946112512
357403601,312923505
170498695,796180188946112512
331919367,803569014
819336076972228609,436827449
713719340395315201,2670726740
2472834668,4529320173
817103286797008897,30857469
817103286797008897,2670726740
330377425,45473463
330377425,2670726740
1299170754,519497576
4447427416,210935992
2304088261,1153839072
719246545154109445,713497006233231361
158776939,212991187
760283410900328448,150884948
199775295,198883031
2652476147,134910253
865679721131986944,84181284
479417659,2544919609
138929943,148339735
865679721131986944,2841851836
3428296762,796180188946112512
3323576145,4529320173
885733248327987200,885733248327987200
792203275,4707533116
792203275,724991849912500224
2371183357,4529320173
2733490341,198883031
767205584022147072,312923505
609771750,312923505
1145960125,304092926
841373176919646214,724991849912500224
4010899792,4529320173
4303626502,4529320173
767205584022147072,312923505
268382888,714464094586343428
208682096,2939010754
767205584022147072,4529320173
1563640566,63118359
1563640566,2670726740
1488280027,4529320173
926659933,4530312995
3431958881,62501888
1458246122,4707533116
1607021352,252905673
1607021352,2670726740
191963043,254874072
1442236609,312923505
831957937073618957,910991100575395840
784842232188633088,1428958772
2805934223,724991849912500224
784842232188633088,1428958772
1347694243,201121019
199038582,121039771
199038582,2670726740
199038582,198883031
1287340232,155740660
390541719,4529320173
758697960574226433,2939010754
916796558900940801,3374198391
139720630,312923505
2770584167,54383010
914634354852327425,724991849912500224
935882582889304064,1584076484
1693650776,150884948
800829079129849856,796180188946112512
190821722,716797403920261121
190821722,775474080715767808
190821722,724991849912500224
347033319,724991849912500224
1458246122,519497576
887822388406124545,1327249620
