Source,Target,Type,Id,Label,timeset,Weight
872102932640133124,815921606,Directed,66,,,1
176618654,815921606,Directed,67,,,1
4550317786,815921606,Directed,71,,,1
395011753,815921606,Directed,108,,,1
617440956,617440956,Directed,982,,,3
2872868835,4550317786,Directed,1168,,,1
915323014690037762,4550317786,Directed,1261,,,1
108736144,4550317786,Directed,1370,,,1
4550317786,4187909913,Directed,1621,,,1
170498695,4550317786,Directed,1703,,,1
4550317786,2710083498,Directed,2000,,,1
796180188946112512,796180188946112512,Directed,2218,,,2
170498695,796180188946112512,Directed,2227,,,2
2513077774,796180188946112512,Directed,2380,,,1
151584335,796180188946112512,Directed,2563,,,1
847844733410041856,796180188946112512,Directed,2935,,,3
109631661,4550317786,Directed,3012,,,3
628797802,4550317786,Directed,3053,,,2
848317269134290947,4550317786,Directed,3190,,,1
551099696,4550317786,Directed,3208,,,1
910262647941148672,4550317786,Directed,3402,,,1
179263223,4550317786,Directed,3433,,,1
151584335,4550317786,Directed,3462,,,2
200523096,4550317786,Directed,3494,,,1
2586092395,4550317786,Directed,3516,,,1
917013826981244929,4550317786,Directed,3548,,,2
88448104,4550317786,Directed,3563,,,1
292520054,4550317786,Directed,3574,,,1
3181377909,4550317786,Directed,3582,,,1
282601658,4187909913,Directed,3656,,,2
736306624093097985,796180188946112512,Directed,3735,,,1
3051762421,4550317786,Directed,3889,,,2
731971002817744896,4550317786,Directed,4045,,,8
932906160616886273,4550317786,Directed,4068,,,1
863614124202373120,4550317786,Directed,4108,,,3
395011753,4550317786,Directed,4249,,,1
27702071,4550317786,Directed,4296,,,2
761677564674973696,4550317786,Directed,4422,,,1
586179455,4550317786,Directed,4535,,,1
731971002817744896,796180188946112512,Directed,4679,,,2
1403421871,4550317786,Directed,4849,,,1
101537126,4550317786,Directed,5088,,,2
825448383452213249,4550317786,Directed,5230,,,1
111407530,4550317786,Directed,5256,,,1
736306624093097985,4550317786,Directed,5416,,,1
111407530,796180188946112512,Directed,5547,,,1
176618654,4187909913,Directed,5605,,,1
3092014920,4187909913,Directed,5663,,,1
22735093,4550317786,Directed,5930,,,1
314520134,4550317786,Directed,5938,,,1
182996524,4550317786,Directed,6001,,,1
540282529,4550317786,Directed,6084,,,1
53979508,796180188946112512,Directed,6217,,,1
152601193,796180188946112512,Directed,6407,,,2
897863167547768832,4550317786,Directed,6536,,,1
88448104,796180188946112512,Directed,6729,,,2
176618654,796180188946112512,Directed,6804,,,2
761677564674973696,796180188946112512,Directed,6831,,,1
863614124202373120,796180188946112512,Directed,7105,,,1
53281113,4550317786,Directed,7428,,,1
773998281106087936,796180188946112512,Directed,7784,,,1
