Id,Label,timeset,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
257619002,257619002,,0,5,5,74,5,0.473684,0.698148,0,0,0.00003
182925466,182925466,,149,0,149,17,0,0,0,0,0.15036,0.002021
1974979070,1974979070,,0,1,1,17,1,1,1,0,0,0.00003
704104996250505216,704104996250505216,,0,5,5,28,3,0.518519,0.630952,0,0,0.00003
743094485941358592,743094485941358592,,0,1,1,17,1,1,1,0,0,0.00003
952742841993908224,952742841993908224,,0,2,2,17,1,1,1,0,0,0.00003
1264785835,1264785835,,0,1,1,17,1,1,1,0,0,0.00003
877884232722501632,877884232722501632,,0,9,9,28,2,0.909091,0.95,0,0,0.00003
2400621216,2400621216,,0,9,9,116,3,0.546875,0.614286,0,0,0.00003
3056596965,3056596965,,15,30,45,116,2,0.871795,0.926471,0.000036,0.455654,0.00041
910991100575395840,910991100575395840,,1,2,3,17,1,1,1,0,0.000117,0.000055
779345912430792704,779345912430792704,,0,5,5,17,3,0.5,0.598039,0,0,0.00003
154913302,154913302,,0,3,3,17,3,0.625,0.766667,0,0,0.00003
127941159,127941159,,0,5,5,138,3,0.7,0.833333,0,0,0.00003
839244108040372226,839244108040372226,,0,8,8,116,5,0.340909,0.441481,0,0,0.00003
3490738156,3490738156,,0,2,2,142,1,1,1,0,0,0.00003
792457828032217089,792457828032217089,,0,5,5,28,4,0.46875,0.594444,0,0,0.00003
4301775809,4301775809,,0,3,3,17,3,0.625,0.766667,0,0,0.00003
883460817559093250,883460817559093250,,0,3,3,142,1,1,1,0,0,0.00003
4269204976,4269204976,,0,2,2,17,1,1,1,0,0,0.00003
1122655334,1122655334,,0,2,2,17,1,1,1,0,0,0.00003
568559126,568559126,,0,3,3,17,2,0.8,0.875,0,0,0.00003
355138589,355138589,,0,1,1,17,1,1,1,0,0,0.00003
1286607618,1286607618,,0,4,4,17,3,0.666667,0.805556,0,0,0.00003
1431189150,1431189150,,0,14,14,17,2,0.9375,0.966667,0,0,0.00003
950375740461273088,950375740461273088,,0,1,1,17,1,1,1,0,0,0.00003
3418221148,3418221148,,0,6,6,74,2,0.875,0.928571,0,0,0.00003
195873510,195873510,,0,4,4,17,4,0.538462,0.72619,0,0,0.00003
3138479909,3138479909,,0,1,1,17,1,1,1,0,0,0.00003
196652230,196652230,,0,3,3,177,1,1,1,0,0,0.00003
885945632342585346,885945632342585346,,0,19,19,142,5,0.386207,0.546726,0,0,0.00003
187095169,187095169,,0,2,2,17,4,0.407407,0.492424,0,0,0.00003
312071487,312071487,,0,6,6,177,3,0.727273,0.854167,0,0,0.00003
522678951,522678951,,0,1,1,17,1,1,1,0,0,0.00003
539035466,539035466,,0,3,3,28,1,1,1,0,0,0.00003
202170329,202170329,,0,1,1,17,1,1,1,0,0,0.00003
144925012,144925012,,0,1,1,17,1,1,1,0,0,0.00003
162152337,162152337,,0,1,1,17,1,1,1,0,0,0.00003
3311072896,3311072896,,0,24,24,116,4,0.489209,0.615196,0,0,0.00003
896831362715537413,896831362715537413,,0,1,1,17,1,1,1,0,0,0.00003
4636584016,4636584016,,0,5,5,116,3,0.666667,0.791667,0,0,0.00003
209580092,209580092,,0,1,1,17,1,1,1,0,0,0.00003
785351502,785351502,,0,1,1,17,1,1,1,0,0,0.00003
828002856,828002856,,0,1,1,17,1,1,1,0,0,0.00003
921129435826413569,921129435826413569,,0,2,2,17,4,0.407407,0.492424,0,0,0.00003
616617576,616617576,,0,2,2,17,1,1,1,0,0,0.00003
833426540486651904,833426540486651904,,0,9,9,17,3,0.583333,0.690476,0,0,0.00003
4591129641,4591129641,,0,7,7,17,3,0.548387,0.666667,0,0,0.00003
1446283388,1446283388,,0,1,1,17,1,1,1,0,0,0.00003
214180592,214180592,,0,2,2,82,2,0.75,0.833333,0,0,0.00003
