Id,Label,timeset,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
2999414207,2999414207,,18,36,54,162,5,0.381944,0.548333,0.000043,0.005216,0.000235
66831264,66831264,,58,2,60,209,6,0.229885,0.305833,0.000013,0.007903,0.001072
104495655,104495655,,0,8,8,162,6,0.314607,0.488095,0,0,0.00003
191266958,191266958,,0,3,3,162,6,0.244444,0.346212,0,0,0.00003
167075969,167075969,,0,8,8,127,4,0.461538,0.59375,0,0,0.00003
2786139521,2786139521,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
626725650,626725650,,181,1,182,162,5,0.268657,0.314815,0.000044,0.03518,0.003085
813001105919668226,813001105919668226,,0,7,7,162,4,0.428571,0.512821,0,0,0.00003
144846064,144846064,,14,10,24,162,6,0.349515,0.523148,0.000005,0.00184,0.000208
2820009808,2820009808,,0,5,5,162,4,0.4,0.511364,0,0,0.00003
2735183691,2735183691,,0,16,16,138,4,0.468085,0.611742,0,0,0.00003
76049312,76049312,,272,1,273,138,4,0.346939,0.397059,0.000109,0.074072,0.007391
186965350,186965350,,0,5,5,162,6,0.275,0.424242,0,0,0.00003
223139140,223139140,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
808846312154210304,808846312154210304,,0,5,5,138,6,0.255556,0.396377,0,0,0.00003
331993333,331993333,,0,2,2,138,8,0.195841,0.226622,0,0,0.00003
69954887,69954887,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
386273245,386273245,,0,7,7,162,6,0.294118,0.453889,0,0,0.00003
41587831,41587831,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
880118434088067082,880118434088067082,,0,6,6,162,6,0.285714,0.458333,0,0,0.00003
714064564619489280,714064564619489280,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2845181970,2845181970,,0,3,3,162,6,0.238636,0.338889,0,0,0.00003
27702071,27702071,,0,21,21,162,4,0.544304,0.697674,0,0,0.00003
3118637224,3118637224,,0,5,5,162,6,0.319672,0.423077,0,0,0.00003
2778495262,2778495262,,0,3,3,162,6,0.25641,0.366667,0,0,0.00003
235739918,235739918,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
767885872968728576,767885872968728576,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
52604899,52604899,,0,3,3,162,6,0.244186,0.350794,0,0,0.00003
1527912313,1527912313,,0,14,14,138,4,0.508772,0.678161,0,0,0.00003
122757872,122757872,,0,11,11,213,6,0.329114,0.567308,0,0,0.00003
910946557184368640,910946557184368640,,0,3,3,138,6,0.238636,0.338889,0,0,0.00003
1658326021,1658326021,,0,12,12,162,6,0.344444,0.564516,0,0,0.00003
35262793,35262793,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
1085749237,1085749237,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
26069942,26069942,,0,4,4,211,6,0.261364,0.381884,0,0,0.00003
567789577,567789577,,0,8,8,138,4,0.448276,0.576923,0,0,0.00003
132031001,132031001,,0,3,3,162,6,0.28125,0.387037,0,0,0.00003
3130421673,3130421673,,0,19,19,162,7,0.267544,0.382923,0,0,0.00003
922201003965009920,922201003965009920,,1,3,4,162,6,0.238636,0.338889,0,0.000117,0.000032
77210725,77210725,,12,1,13,162,6,0.22093,0.269298,0.000002,0.001845,0.000149
1498888015,1498888015,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2853238599,2853238599,,0,19,19,162,6,0.360656,0.520707,0,0,0.00003
167897907,167897907,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
269058006,269058006,,0,7,7,213,5,0.359551,0.480729,0,0,0.00003
891527536181743616,891527536181743616,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
164271643,164271643,,0,14,14,162,6,0.297229,0.401695,0,0,0.00003
3435896139,3435896139,,0,5,5,138,6,0.275,0.42197,0,0,0.00003
2411324736,2411324736,,10,5,15,142,6,0.255556,0.396377,0.000002,0.001167,0.00015
712004725353226241,712004725353226241,,0,3,3,162,6,0.238636,0.338889,0,0,0.00003
230558044,230558044,,0,8,8,162,6,0.307018,0.450952,0,0,0.00003
173856215,173856215,,0,10,10,162,5,0.431373,0.543939,0,0,0.00003
591167645,591167645,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
271632860,271632860,,4,1,5,162,6,0.22093,0.269298,0,0.000467,0.000077
69031017,69031017,,0,16,16,162,6,0.395349,0.520588,0,0,0.00003
2559502586,2559502586,,0,3,3,200,6,0.238636,0.338889,0,0,0.00003
151584335,151584335,,1,7,8,162,5,0.347368,0.463636,0,0.000117,0.000055
163438122,163438122,,0,7,7,162,6,0.291139,0.478261,0,0,0.00003
915787628,915787628,,0,11,11,166,6,0.29703,0.389167,0,0,0.00003
3307544067,3307544067,,0,3,3,162,6,0.238636,0.338889,0,0,0.00003
924297378,924297378,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
65670048,65670048,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2550624607,2550624607,,3,2,5,162,6,0.229885,0.305833,0,0.000737,0.000042
3354081249,3354081249,,0,6,6,138,6,0.274725,0.434667,0,0,0.00003
1532507946,1532507946,,0,3,3,162,5,0.306452,0.40614,0,0,0.00003
64768118,64768118,,0,19,19,213,4,0.546875,0.719048,0,0,0.00003
52771436,52771436,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
807888243454840832,807888243454840832,,0,3,3,162,6,0.25641,0.366667,0,0,0.00003
77861941,77861941,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
436691393,436691393,,0,8,8,162,6,0.304878,0.494667,0,0,0.00003
112477066,112477066,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
85362144,85362144,,0,4,4,162,6,0.247191,0.368939,0,0,0.00003
3181377909,3181377909,,0,2,2,162,6,0.274336,0.342473,0,0,0.00003
834132667323019268,834132667323019268,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
53979508,53979508,,0,6,6,162,6,0.295652,0.415196,0,0,0.00003
908325427739062274,908325427739062274,,0,14,14,213,5,0.389474,0.573423,0,0,0.00003
46187399,46187399,,0,5,5,138,6,0.265957,0.404667,0,0,0.00003
541156738,541156738,,0,4,4,162,6,0.247191,0.368939,0,0,0.00003
59229498,59229498,,0,5,5,138,5,0.328571,0.455072,0,0,0.00003
1920895292,1920895292,,0,4,4,162,6,0.268293,0.391667,0,0,0.00003
902297175077650432,902297175077650432,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
935034935290851328,935034935290851328,,0,6,6,166,6,0.315217,0.465517,0,0,0.00003
158451670,158451670,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
936802723110047744,936802723110047744,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
92590860,92590860,,0,2,2,213,6,0.229885,0.305833,0,0,0.00003
4492805597,4492805597,,0,8,8,162,5,0.366667,0.496465,0,0,0.00003
762649798398861317,762649798398861317,,0,2,2,213,6,0.229885,0.305833,0,0,0.00003
239379941,239379941,,0,7,7,162,4,0.442308,0.572464,0,0,0.00003
187966367,187966367,,0,6,6,162,6,0.283887,0.358709,0,0,0.00003
2762483344,2762483344,,0,4,4,162,6,0.272059,0.353153,0,0,0.00003
279547892,279547892,,4,3,7,162,6,0.253165,0.3625,0,0.000467,0.000042
13343972,13343972,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
1075113414,1075113414,,0,2,2,162,6,0.278894,0.336937,0,0,0.00003
35353606,35353606,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
912119647679414274,912119647679414274,,0,6,6,162,4,0.456522,0.575397,0,0,0.00003
185696412,185696412,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
708244731,708244731,,0,3,3,162,5,0.306452,0.40614,0,0,0.00003
158221622,158221622,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2895840323,2895840323,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2905555996,2905555996,,0,6,6,162,6,0.269663,0.431944,0,0,0.00003
272038104,272038104,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
93041915,93041915,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
133432605,133432605,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
16703740,16703740,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
308836493,308836493,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
146078797,146078797,,0,3,3,138,6,0.253165,0.3625,0,0,0.00003
767069777068163072,767069777068163072,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
517987558,517987558,,0,4,4,166,6,0.265823,0.396825,0,0,0.00003
834168243531218945,834168243531218945,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
803057674770382849,803057674770382849,,0,16,16,209,5,0.398148,0.574031,0,0,0.00003
1587234918,1587234918,,0,7,7,162,6,0.315315,0.45,0,0,0.00003
96890257,96890257,,0,6,6,209,6,0.263736,0.421528,0,0,0.00003
856193765614260226,856193765614260226,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
549408467,549408467,,7,5,12,138,5,0.328125,0.462698,0.000002,0.002106,0.000098
139589138,139589138,,0,3,3,162,6,0.285714,0.391071,0,0,0.00003
1441153178,1441153178,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
21110460,21110460,,3,1,4,166,6,0.22093,0.269298,0,0.00035,0.000063
531392442,531392442,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
3078349682,3078349682,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
946359994437562368,946359994437562368,,0,3,3,209,6,0.26087,0.338889,0,0,0.00003
711289467198377985,711289467198377985,,0,2,2,162,6,0.24359,0.328947,0,0,0.00003
31045906,31045906,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
30201853,30201853,,0,6,6,162,5,0.338235,0.480435,0,0,0.00003
2210270314,2210270314,,0,12,12,162,5,0.393939,0.548291,0,0,0.00003
757999769746808832,757999769746808832,,0,5,5,166,6,0.255556,0.396377,0,0,0.00003
51644830,51644830,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
278539641,278539641,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
859949755,859949755,,0,2,2,162,6,0.246753,0.333333,0,0,0.00003
38981120,38981120,,0,5,5,213,6,0.26087,0.400694,0,0,0.00003
58062081,58062081,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
41253384,41253384,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
625954692,625954692,,0,7,7,213,5,0.391304,0.528395,0,0,0.00003
770740519983017984,770740519983017984,,0,2,2,162,6,0.24359,0.328947,0,0,0.00003
26015148,26015148,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2260155472,2260155472,,0,4,4,213,6,0.247191,0.368939,0,0,0.00003
465822053,465822053,,0,2,2,162,6,0.24359,0.328947,0,0,0.00003
2176325032,2176325032,,0,6,6,162,6,0.291667,0.409524,0,0,0.00003
770381217464217601,770381217464217601,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
870606401483272192,870606401483272192,,0,2,2,127,6,0.234568,0.313158,0,0,0.00003
619517358,619517358,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
897863167547768832,897863167547768832,,0,2,2,162,6,0.274336,0.342473,0,0,0.00003
3433810516,3433810516,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
211931110,211931110,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
805401626571898880,805401626571898880,,0,4,4,162,5,0.307692,0.423333,0,0,0.00003
48020003,48020003,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2656799726,2656799726,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
171545589,171545589,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
144641532,144641532,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2787201903,2787201903,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
75883490,75883490,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
863539390680895488,863539390680895488,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
319687076,319687076,,0,8,8,162,5,0.358209,0.529861,0,0,0.00003
951592359363522566,951592359363522566,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
1228790906,1228790906,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
195802158,195802158,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
445600470,445600470,,0,7,7,138,6,0.288889,0.459615,0,0,0.00003
3383119425,3383119425,,0,3,3,162,6,0.253333,0.368421,0,0,0.00003
62336497,62336497,,0,2,2,162,6,0.25,0.33125,0,0,0.00003
611294653,611294653,,0,4,4,162,6,0.247191,0.368939,0,0,0.00003
2920153317,2920153317,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
20194149,20194149,,2,1,3,162,6,0.22093,0.269298,0,0.000233,0.000063
198662758,198662758,,0,2,2,162,6,0.278894,0.336937,0,0,0.00003
2867321661,2867321661,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2484813552,2484813552,,0,3,3,162,6,0.238636,0.338889,0,0,0.00003
367756235,367756235,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
760557686,760557686,,0,3,3,162,6,0.238636,0.338889,0,0,0.00003
2842601781,2842601781,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
165415484,165415484,,0,6,6,162,4,0.428571,0.555556,0,0,0.00003
54172293,54172293,,0,7,7,211,6,0.284264,0.362202,0,0,0.00003
164018570,164018570,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
850179878913789952,850179878913789952,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
782684836704100352,782684836704100352,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
955627127218589696,955627127218589696,,0,5,5,162,5,0.327381,0.406061,0,0,0.00003
1549694160,1549694160,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
932324958772047872,932324958772047872,,0,3,3,162,4,0.377358,0.4625,0,0,0.00003
948526421646938112,948526421646938112,,0,4,4,213,6,0.289157,0.420139,0,0,0.00003
107229766,107229766,,0,2,2,162,6,0.246914,0.329167,0,0,0.00003
100779458,100779458,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
2594712170,2594712170,,0,2,2,162,6,0.278351,0.368519,0,0,0.00003
76826187,76826187,,0,2,2,138,6,0.229885,0.305833,0,0,0.00003
45830505,45830505,,0,2,2,162,6,0.229885,0.305833,0,0,0.00003
77360028,77360028,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
192211982,192211982,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
3427921816,3427921816,,0,1,1,162,6,0.22093,0.269298,0,0,0.00003
