Source,Target,Type,Id,Label,timeset,Weight
3292800323,3090382647,Directed,211,,,1
99764045,3090382647,Directed,276,,,1
49982798,3090382647,Directed,336,,,1
705051194415308800,3090382647,Directed,353,,,1
115098816,3090382647,Directed,396,,,1
2845181970,3090382647,Directed,629,,,1
953109673577795585,3090382647,Directed,665,,,1
24818080,3090382647,Directed,737,,,1
918230010,3090382647,Directed,872,,,1
715580074448265220,3090382647,Directed,897,,,1
731971002817744896,3090382647,Directed,1025,,,4
2872868835,3090382647,Directed,1181,,,1
1210951297,3090382647,Directed,1890,,,1
709071088047824898,3090382647,Directed,1891,,,1
3171195340,3090382647,Directed,2016,,,1
86543956,3090382647,Directed,2294,,,1
230902614,3090382647,Directed,2372,,,1
2651091905,3090382647,Directed,2652,,,1
69031017,799512161177452544,Directed,2714,,,1
3293816845,3090382647,Directed,2722,,,2
2778495262,3090382647,Directed,3268,,,1
200523096,3090382647,Directed,3757,,,1
1687073760,3090382647,Directed,3826,,,1
734471555669970944,3090382647,Directed,4210,,,1
413928361,3090382647,Directed,4547,,,1
601861489,3090382647,Directed,4626,,,1
586179455,3090382647,Directed,4701,,,1
721107481301291008,3090382647,Directed,4737,,,1
776519118208045056,3090382647,Directed,4788,,,1
16927936,3090382647,Directed,5140,,,1
1393666200,3090382647,Directed,5321,,,1
163450006,3090382647,Directed,5484,,,1
206353780,3090382647,Directed,5508,,,1
778996522549649408,3090382647,Directed,5631,,,1
3415862903,3090382647,Directed,5705,,,1
2735183691,3090382647,Directed,6014,,,1
1658326021,3090382647,Directed,6080,,,1
784827247614169088,3090382647,Directed,6082,,,1
2176325032,3090382647,Directed,6501,,,1
421534852,3090382647,Directed,6682,,,1
2746848595,3090382647,Directed,6823,,,1
749014172948627456,3090382647,Directed,7283,,,1
198054235,3090382647,Directed,7380,,,1
114939197,3090382647,Directed,7404,,,1
899739634703454210,3090382647,Directed,7407,,,1
1150575792,3090382647,Directed,7468,,,1
379177523,3090382647,Directed,7499,,,1
114238247,3090382647,Directed,7615,,,1
55268024,3090382647,Directed,7797,,,1
167786604,3090382647,Directed,7798,,,1
634283058,3090382647,Directed,7818,,,1
3354081249,3090382647,Directed,7938,,,1
753020313043083264,3090382647,Directed,8005,,,1
498946918,3090382647,Directed,8023,,,1
160042226,3090382647,Directed,8064,,,1
155639618,3090382647,Directed,8107,,,1
840945417101705218,3090382647,Directed,8239,,,2
519670511,3090382647,Directed,8250,,,1
716024410554167296,3090382647,Directed,8268,,,1
22162167,3090382647,Directed,8280,,,1
811099508553764864,3090382647,Directed,8291,,,1
284145399,3090382647,Directed,8309,,,1
184999369,3090382647,Directed,8314,,,1
828029078657703936,3090382647,Directed,8330,,,1
820357449681092608,3090382647,Directed,8353,,,1
56432588,3090382647,Directed,8355,,,1
3130421673,3090382647,Directed,8382,,,1
160791520,3090382647,Directed,8456,,,1
3311044209,3090382647,Directed,8472,,,1
73058790,3090382647,Directed,8496,,,2
1959671034,3090382647,Directed,8498,,,1
46704411,3090382647,Directed,8527,,,1
361556339,3090382647,Directed,8539,,,1
86771558,3090382647,Directed,8544,,,1
589154056,3090382647,Directed,8546,,,1
902156943523024897,3090382647,Directed,8564,,,1
113082008,3090382647,Directed,8565,,,1
4056561497,3090382647,Directed,8586,,,1
809123748590850048,3090382647,Directed,8587,,,2
1621260836,3090382647,Directed,8599,,,1
90061283,3090382647,Directed,8606,,,1
1175409943,3090382647,Directed,8607,,,1
2370751057,3090382647,Directed,8760,,,1
859492218859651078,3090382647,Directed,8926,,,1
27323433,3090382647,Directed,8998,,,1
1032010255,3090382647,Directed,9045,,,1
740348089425350656,3090382647,Directed,9193,,,1
3915244096,3090382647,Directed,9195,,,1
705051194415308800,705051194415308800,Directed,9294,,,1
1150613262,3090382647,Directed,9389,,,1
722112676797804544,3090382647,Directed,9393,,,1
2738130507,3090382647,Directed,9489,,,1
768636913,3090382647,Directed,9498,,,1
733346623665897475,3090382647,Directed,9644,,,1
445600470,3090382647,Directed,9958,,,2
795446426306220032,3090382647,Directed,10047,,,1
69031017,3090382647,Directed,10065,,,1
3064348439,3090382647,Directed,10125,,,1
907069291610218498,3090382647,Directed,10172,,,1
1028344501,3090382647,Directed,10569,,,1
2236861724,3090382647,Directed,10676,,,1
56742715,3090382647,Directed,10739,,,1
2815015394,3090382647,Directed,11546,,,1
70560946,3090382647,Directed,11572,,,1
224719983,3090382647,Directed,11613,,,1
206538611,3090382647,Directed,11696,,,1
157798047,3090382647,Directed,12005,,,1
3399242704,3090382647,Directed,12007,,,1
2999414207,1645736942,Directed,12105,,,1
57431349,3090382647,Directed,12112,,,1
71628459,3090382647,Directed,12276,,,1
191683198,3090382647,Directed,12289,,,1
65972736,3090382647,Directed,12323,,,1
212669358,3090382647,Directed,12376,,,1
395011753,3090382647,Directed,12715,,,1
799512161177452544,3090382647,Directed,12746,,,2
3124871171,3090382647,Directed,12767,,,1
231231226,3090382647,Directed,12788,,,1
799512161177452544,799512161177452544,Directed,12858,,,1
4828270217,3090382647,Directed,12878,,,1
1645736942,3090382647,Directed,12904,,,1
48381235,3090382647,Directed,12906,,,1
3038197395,3090382647,Directed,12960,,,1
164271643,3090382647,Directed,12995,,,1
476245278,3090382647,Directed,13087,,,1
164271643,2999414207,Directed,13100,,,1
251277523,3090382647,Directed,13147,,,1
943333386659213313,3090382647,Directed,13167,,,1
286900917,3090382647,Directed,13251,,,1
2999414207,3090382647,Directed,13323,,,2
24162553,3090382647,Directed,13493,,,1
4370247615,3090382647,Directed,13496,,,1
3378769901,3090382647,Directed,13630,,,1
749042805985673216,3090382647,Directed,13678,,,1
67778641,3090382647,Directed,13730,,,3
132583409,3090382647,Directed,13773,,,1
257112941,3090382647,Directed,13866,,,1
799512161177452544,715580074448265220,Directed,13867,,,1
54172293,2999414207,Directed,13874,,,1
36383587,3090382647,Directed,13995,,,1
4053074645,3090382647,Directed,14002,,,1
200523096,1645736942,Directed,14037,,,1
85362144,3090382647,Directed,14055,,,1
203350415,3090382647,Directed,14079,,,1
2301601118,3090382647,Directed,14082,,,1
67883361,3090382647,Directed,14110,,,1
82425837,3090382647,Directed,14153,,,1
305774527,2999414207,Directed,14160,,,1
948526421646938112,1645736942,Directed,14163,,,2
932324958772047872,3090382647,Directed,14164,,,1
132905627,3090382647,Directed,14170,,,1
3504761537,3090382647,Directed,14256,,,1
2260155472,3090382647,Directed,14271,,,1
930055245497028609,3090382647,Directed,14304,,,1
843216060807598081,3090382647,Directed,14365,,,1
70836640,3090382647,Directed,14370,,,1
122757872,3090382647,Directed,14380,,,3
831172762374909952,3090382647,Directed,14397,,,1
3092014920,3090382647,Directed,14400,,,1
169493457,3090382647,Directed,14428,,,1
54172293,3090382647,Directed,14437,,,1
254328309,3090382647,Directed,14442,,,1
132232871,3090382647,Directed,14449,,,2
70769457,3090382647,Directed,14457,,,1
91357138,3090382647,Directed,14474,,,1
102851274,3090382647,Directed,14479,,,1
197607207,3090382647,Directed,14482,,,1
1645736942,1645736942,Directed,14550,,,2
3355183384,3090382647,Directed,14605,,,1
803057674770382849,3090382647,Directed,14624,,,1
305774527,3090382647,Directed,14645,,,2
67883361,67883361,Directed,14646,,,1
