Source,Target,Type,Id,Label,timeset,Weight
271075261,148339735,Directed,23,,,1
910984975444561921,148339735,Directed,31,,,1
891421315009302528,148339735,Directed,35,,,5
953615537107537921,148339735,Directed,51,,,2
233282576,148339735,Directed,61,,,1
1927394581,148339735,Directed,169,,,1
3421061763,148339735,Directed,175,,,1
18662530,148339735,Directed,230,,,1
3361409765,148339735,Directed,289,,,1
922168319741919233,148339735,Directed,313,,,1
2200050297,148339735,Directed,317,,,1
871869180542320641,148339735,Directed,338,,,1
302239066,148339735,Directed,340,,,1
240706169,148339735,Directed,342,,,1
567293673,148339735,Directed,373,,,1
932745523123113985,148339735,Directed,380,,,1
916014295766454273,148339735,Directed,391,,,1
717158227843137536,148339735,Directed,393,,,1
145329447,148339735,Directed,397,,,1
271385386,148339735,Directed,401,,,1
4899171773,148339735,Directed,439,,,1
4152493869,148339735,Directed,440,,,1
595214967,148339735,Directed,483,,,1
4466780435,148339735,Directed,512,,,1
3772580962,148339735,Directed,525,,,1
817921421112393728,148339735,Directed,533,,,3
545344346,148339735,Directed,579,,,3
75292424,148339735,Directed,594,,,1
4499580976,148339735,Directed,595,,,1
208406441,148339735,Directed,600,,,1
208577217,148339735,Directed,602,,,1
3290535491,148339735,Directed,603,,,2
888037634890768386,148339735,Directed,622,,,1
3313760364,148339735,Directed,657,,,1
101668313,148339735,Directed,722,,,1
1089549398,148339735,Directed,727,,,1
382582233,148339735,Directed,747,,,1
103760723,148339735,Directed,764,,,2
2549454855,148339735,Directed,771,,,1
2671239595,148339735,Directed,780,,,1
214363824,148339735,Directed,801,,,1
3128732737,148339735,Directed,831,,,1
4814260083,148339735,Directed,837,,,1
151925423,148339735,Directed,849,,,2
732717476073639937,148339735,Directed,854,,,1
4217940664,148339735,Directed,864,,,1
158517384,148339735,Directed,865,,,2
1281069709,148339735,Directed,870,,,1
216889490,148339735,Directed,873,,,1
869559327249625088,148339735,Directed,886,,,1
3393316054,148339735,Directed,889,,,1
3174330574,148339735,Directed,918,,,1
136673553,148339735,Directed,926,,,1
1142246804,148339735,Directed,928,,,1
611329737,148339735,Directed,939,,,1
199490519,148339735,Directed,964,,,1
109518837,148339735,Directed,965,,,1
938400321080094722,148339735,Directed,983,,,1
406196908,148339735,Directed,1009,,,1
3354087879,148339735,Directed,1034,,,1
4038363321,148339735,Directed,1044,,,1
2940224644,148339735,Directed,1102,,,1
3330215751,148339735,Directed,1112,,,5
927268608639631365,148339735,Directed,1120,,,1
3462238936,148339735,Directed,1129,,,1
840292476971843584,148339735,Directed,1155,,,1
144944627,148339735,Directed,1159,,,1
496500008,148339735,Directed,1163,,,1
2884879569,148339735,Directed,1186,,,1
942750091403816961,148339735,Directed,1188,,,1
322974571,148339735,Directed,1189,,,1
177764668,148339735,Directed,1191,,,2
148339735,148339735,Directed,1193,,,1
