('271075261', '148339735')
('3421061763', '148339735')
('922168319741919233', '148339735')
('871869180542320641', '148339735')
('302239066', '148339735')
('240706169', '148339735')
('567293673', '148339735')
('717158227843137536', '148339735')
('145329447', '148339735')
('271385386', '148339735')
('4899171773', '148339735')
('4152493869', '148339735')
('595214967', '148339735')
('545344346', '148339735')
('4499580976', '148339735')
('208406441', '148339735')
('3313760364', '148339735')
('382582233', '148339735')
('103760723', '148339735')
('2671239595', '148339735')
('214363824', '148339735')
('4814260083', '148339735')
('732717476073639937', '148339735')
('4217940664', '148339735')
('1281069709', '148339735')
('216889490', '148339735')
('869559327249625088', '148339735')
('3174330574', '148339735')
('136673553', '148339735')
('1142246804', '148339735')
('611329737', '148339735')
('199490519', '148339735')
('109518837', '148339735')
('938400321080094722', '148339735')
('3354087879', '148339735')
('4038363321', '148339735')
('840292476971843584', '148339735')
('144944627', '148339735')
('2884879569', '148339735')
('148339735', '148339735')
('800806266826129408', '148339735')
('706642764621070337', '148339735')
('4197250960', '148339735')
('1191704360', '148339735')
('173161966', '148339735')
('808377621679632384', '148339735')
('185905083', '148339735')
('1670872776', '148339735')
('122817263', '148339735')
('482696440', '148339735')
('4229598682', '148339735')
('4827388379', '148339735')
('1444169196', '148339735')
('136094988', '148339735')
('3991293023', '148339735')
('901270516404768768', '148339735')
('715365745710993408', '148339735')
('474813476', '148339735')
('570003908', '148339735')
('333236636', '148339735')
('2704753244', '148339735')
('563883690', '148339735')
('916158884271796224', '148339735')
('235365379', '148339735')
('892159520524382209', '148339735')
('3024192069', '148339735')
('724773661', '148339735')
('382753072', '148339735')
('792457828032217089', '148339735')
('1320349332', '148339735')
('598839645', '148339735')
('357222990', '148339735')
('2500762786', '148339735')
('744703980719190016', '148339735')
('770677291882049536', '148339735')
('155342130', '148339735')
('2500555868', '148339735')
('885945632342585346', '148339735')
('866778464044675072', '148339735')
('208667444', '148339735')
('926659933', '148339735')
('4487578283', '148339735')
('737953789', '148339735')
('775154354', '148339735')
('239126924', '148339735')
('888746710670946304', '148339735')
('2649509616', '148339735')
('1198433016', '148339735')
('2859618155', '148339735')
('1426707871', '148339735')
('1182953690', '148339735')
('178044673', '148339735')
('137165486', '148339735')
('42968250', '148339735')
('222777731', '148339735')
('916918098', '148339735')
('2861715868', '148339735')
('3313610230', '148339735')
('4357937417', '148339735')
('1555963106', '148339735')
('183454242', '148339735')
('2159459339', '148339735')
('299136088', '148339735')
('955928809697574912', '148339735')
('117485900', '148339735')
('74545065', '148339735')
('858301179188654080', '148339735')
('770756809334325248', '148339735')
('415554572', '148339735')
('955100046445424640', '148339735')
('1624049390', '148339735')
('720992047', '148339735')
('243827202', '148339735')
('4627550895', '148339735')
('1375931520', '148339735')
('859951173104697345', '148339735')
('983365428', '148339735')
('826499718922510341', '148339735')
('346739651', '148339735')
('1250145961', '148339735')
('203871179', '148339735')
('126428554', '148339735')
('721154608576491520', '148339735')
('918012138', '148339735')
('830172657266094080', '148339735')
('139703794', '148339735')
('941884190282387456', '148339735')
('874803796521742341', '148339735')
('4624476076', '148339735')
('2547067327', '148339735')
('210789655', '148339735')
('734210172315394049', '148339735')
('171558667', '148339735')
('385272659', '148339735')
('289667333', '148339735')
('510732844', '148339735')
('2188580918', '148339735')
('41520971', '148339735')
('839244108040372226', '148339735')
('2437051447', '148339735')
('881167176', '148339735')
('179669951', '148339735')
('509309279', '148339735')
('514754855', '148339735')
('721821999203528704', '148339735')
('822924348919005184', '148339735')
('788915709908836352', '148339735')
('2589321601', '148339735')
('1326815718', '148339735')
('3894660202', '148339735')
('901859345390063617', '148339735')
('484076546', '148339735')
('849696700595875841', '148339735')
('905566472524754944', '148339735')
('163623692', '148339735')
('357043165', '148339735')
('2746383521', '148339735')
('291771744', '148339735')
('490082334', '148339735')
('732250943576768512', '148339735')
('253782972', '148339735')
('913068782486245382', '148339735')
('146557072', '148339735')
('832007677291134981', '148339735')
('187774234', '148339735')
('854699361498001408', '148339735')
('39088159', '148339735')
('935899801715138560', '148339735')
('2642347532', '148339735')
('930506667011211265', '148339735')
('890697788761272324', '148339735')
('898206273614827520', '148339735')
('839215976176631813', '148339735')
('950656216518283264', '148339735')
('106442200', '148339735')
('164082885', '148339735')
