('910984975444561921', '148339735')
('891421315009302528', '148339735')
('953615537107537921', '148339735')
('233282576', '148339735')
('1927394581', '148339735')
('18662530', '148339735')
('3361409765', '148339735')
('2200050297', '148339735')
('932745523123113985', '148339735')
('916014295766454273', '148339735')
('4466780435', '148339735')
('3772580962', '148339735')
('817921421112393728', '148339735')
('75292424', '148339735')
('208577217', '148339735')
('3290535491', '148339735')
('888037634890768386', '148339735')
('101668313', '148339735')
('1089549398', '148339735')
('2549454855', '148339735')
('3128732737', '148339735')
('151925423', '148339735')
('158517384', '148339735')
('3393316054', '148339735')
('406196908', '148339735')
('2940224644', '148339735')
('3330215751', '148339735')
('927268608639631365', '148339735')
('3462238936', '148339735')
('496500008', '148339735')
('942750091403816961', '148339735')
('322974571', '148339735')
('177764668', '148339735')
('2891423547', '148339735')
('186578241', '148339735')
('2503188364', '148339735')
('715713128923795458', '148339735')
('868234322', '148339735')
('4160526543', '148339735')
('700872790136651776', '148339735')
('903382742498500608', '148339735')
('2989815711', '148339735')
('724762789743566848', '148339735')
('2174933335', '148339735')
('288019286', '148339735')
('937725071241687040', '148339735')
('212323455', '148339735')
('1277999094', '148339735')
('86762778', '148339735')
('828140486082838528', '148339735')
('951883174124105728', '148339735')
('935961157722099714', '148339735')
('816669399562289152', '148339735')
('1020693698', '148339735')
('1556206579', '148339735')
('4570874421', '148339735')
('987345552', '148339735')
('2643660209', '148339735')
('2208777577', '148339735')
('138929943', '148339735')
('59787383', '148339735')
('2251900600', '148339735')
('237231926', '148339735')
('758081734126764032', '148339735')
('403074305', '148339735')
('4830229167', '148339735')
('2773220135', '148339735')
('946865078896332802', '148339735')
('769128018895921152', '148339735')
('4824244000', '148339735')
('942620618', '148339735')
('144750908', '148339735')
('1660587536', '148339735')
('888176891798179840', '148339735')
('195846630', '148339735')
('1625777142', '148339735')
('4269991413', '148339735')
('4855039763', '148339735')
('3318352529', '148339735')
('149304504', '148339735')
('590133430', '148339735')
('983427625', '148339735')
('867223140', '148339735')
('1747333177', '148339735')
('1400169488', '148339735')
('373589831', '148339735')
('835133248325967874', '148339735')
('921129435826413569', '148339735')
('2831936617', '148339735')
('382253977', '148339735')
('845028124404436992', '148339735')
('4251145041', '148339735')
('1535114328', '148339735')
('567857076', '148339735')
('4143350903', '148339735')
('787530398087704577', '148339735')
('4859900949', '148339735')
('188589124', '148339735')
('750838611965337600', '148339735')
('2337452678', '148339735')
('860307322651934720', '148339735')
('2984716645', '148339735')
('3002855571', '148339735')
('2765706388', '148339735')
('1469391320', '148339735')
('4787286977', '148339735')
('3161929384', '148339735')
('188481486', '148339735')
('883120119085453312', '148339735')
('611803401', '148339735')
('938924524912955392', '148339735')
('204163153', '148339735')
('161147218', '148339735')
('2998737521', '148339735')
('888183573987065856', '148339735')
('523782917', '148339735')
('3434404877', '148339735')
('2317153025', '148339735')
('821809093853806593', '148339735')
('146431317', '148339735')
('877565666466910210', '148339735')
('854639998766919681', '148339735')
('3291172323', '148339735')
('898600781816967169', '148339735')
('4476452476', '148339735')
('187095169', '148339735')
('954328143002787840', '148339735')
('542172857', '148339735')
('714254354241421312', '148339735')
('1931033280', '148339735')
('178738217', '148339735')
('4725019947', '148339735')
('852875422723448832', '148339735')
('4630503857', '148339735')
('835935778530344960', '148339735')
('898590640677801985', '148339735')
('2533109552', '148339735')
('4822499295', '148339735')
('284317913', '148339735')
('4091823135', '148339735')
('1006170937', '148339735')
('987262435', '148339735')
('3134199464', '148339735')
('1705649064', '148339735')
('4270874422', '148339735')
('854085374', '148339735')
('3690995056', '148339735')
('208976888', '148339735')
('809807728394850304', '148339735')
('928153842', '148339735')
('584288306', '148339735')
('880916982899638277', '148339735')
('749720953349873664', '148339735')
('946185744', '148339735')
('2712820752', '148339735')
('2193548943', '148339735')
('207137421', '148339735')
('758466578400833536', '148339735')
('4570755807', '148339735')
('141940558', '148339735')
('146907854', '148339735')
('410169480', '148339735')
('954982216186105856', '148339735')
