('2421194956', '1540034828')
('2911609431', '1540034828')
('981675277', '1540034828')
('101537126', '1540034828')
('63274600', '1540034828')
('537124775', '1540034828')
('411766569', '1540034828')
('322781647', '1540034828')
('784784314617692161', '1540034828')
('632385335', '1540034828')
('320929236', '1540034828')
('1029044250', '1540034828')
('471090694', '1540034828')
('1562310235', '1540034828')
('1378217168', '1540034828')
('3435896139', '1540034828')
('2826391355', '1540034828')
('709526952760254465', '1540034828')
('3391267341', '1540034828')
('2280081659', '1540034828')
('471235904', '1540034828')
('180051073', '1540034828')
('4195597942', '1540034828')
('3379275742', '1540034828')
('2312167478', '1540034828')
('2874393736', '1540034828')
('70688885', '1540034828')
('3497253317', '1540034828')
('114287268', '1540034828')
('143221779', '1540034828')
('700773742864158720', '1540034828')
('607642205', '1540034828')
('230921787', '1540034828')
('3995558116', '1540034828')
('422868215', '1540034828')
('303327272', '1540034828')
('2845256803', '1540034828')
('634979607', '1540034828')
('405900747', '1540034828')
('215425777', '1540034828')
('2166920443', '1540034828')
('790637032951443456', '1540034828')
('840736722', '1540034828')
('852870758909046784', '1540034828')
('597918566', '1540034828')
('936333219812823040', '1540034828')
('229236338', '1540034828')
('955495153204191232', '1540034828')
('517987558', '1540034828')
('1250263284', '1540034828')
('2878822398', '1540034828')
('1941783972', '1540034828')
('1592323494', '1540034828')
('518710047', '1540034828')
('707324589966299138', '1540034828')
('210897042', '1540034828')
('2231351000', '1540034828')
('116566000', '1540034828')
('256620711', '1540034828')
('166328091', '1540034828')
('1626972277', '1540034828')
('78978220', '1540034828')
('2811415996', '1540034828')
('255111576', '1540034828')
('211293322', '1540034828')
('2722340043', '1540034828')
('2314104872', '1540034828')
('1065628034', '1540034828')
('616554175', '1540034828')
('981500473', '1540034828')
('3051371418', '1540034828')
('202650796', '1540034828')
('2474434115', '1540034828')
('1013384215', '1540034828')
('793205185711599616', '1540034828')
('721155925105647616', '1540034828')
('1877598379', '1540034828')
('1904520518', '1540034828')
('330698624', '1540034828')
('2985880853', '1540034828')
('777904350685437953', '1540034828')
('2242934732', '1540034828')
('485197355', '1540034828')
('757971236', '1540034828')
('2829040042', '1540034828')
('705532928', '1540034828')
('56831391', '1540034828')
('942122953235468288', '1540034828')
('3248158139', '1540034828')
('383309078', '1540034828')
('39419107', '1540034828')
('4329835817', '1540034828')
('1367429280', '1540034828')
('613059957', '1540034828')
('541661543', '1540034828')
('251742816', '1540034828')
('116293998', '1540034828')
('790648879586893824', '1540034828')
('4843911910', '1540034828')
('279754649', '1540034828')
('363848579', '1540034828')
('74326017', '1540034828')
('955459709422751744', '1540034828')
('2980018031', '1540034828')
('292488347', '1540034828')
('3548115142', '1540034828')
('429370660', '1540034828')
('222895276', '1540034828')
('553021042', '1540034828')
('722298842469806080', '1540034828')
('221563892', '1540034828')
('92865851', '1540034828')
('2290982277', '1540034828')
('3075730149', '1540034828')
('203710371', '1540034828')
('733481512130228226', '1540034828')
('793922503743864836', '1540034828')
('284159967', '1540034828')
('2453735875', '1540034828')
('1142512680', '1540034828')
('1546952630', '1540034828')
('919673023644479489', '1540034828')
('348552145', '1540034828')
('907731799752810496', '1540034828')
('164271643', '1540034828')
('1013631061', '1540034828')
('918230010', '1540034828')
('925875715375091715', '1540034828')
('799512161177452544', '1540034828')
('37107116', '1540034828')
('3185118941', '1540034828')
('40533188', '1540034828')
('272026401', '1540034828')
