('725006219220533248', '1540034828')
('3432879567', '1540034828')
('2931938697', '1540034828')
('259359647', '1540034828')
('14372459', '1540034828')
('2872868835', '1540034828')
('2608991923', '1540034828')
('433758827', '1540034828')
('41672013', '1540034828')
('439538054', '1540034828')
('200144882', '1540034828')
('2651091905', '1540034828')
('416479269', '1540034828')
('201852414', '1540034828')
('310301043', '1540034828')
('626215641', '1540034828')
('69561327', '1540034828')
('747757777955733504', '1540034828')
('600175968', '1540034828')
('40312302', '1540034828')
('298207476', '1540034828')
('622502580', '1540034828')
('3711528923', '1540034828')
('746005723', '1540034828')
('54383010', '1540034828')
('169488471', '1540034828')
('2688049167', '1540034828')
('2538053700', '1540034828')
('2276760456', '1540034828')
('1071760459', '1540034828')
('14525893', '1540034828')
('3222706784', '1540034828')
('335434302', '1540034828')
('27702071', '1540034828')
('908325427739062274', '1540034828')
('125140016', '1540034828')
('439397405', '1540034828')
('586179455', '1540034828')
('39408953', '1540034828')
('249776350', '1540034828')
('188589124', '1540034828')
('919397904', '1540034828')
('521421497', '1540034828')
('51514819', '1540034828')
('24794302', '1540034828')
('1403421871', '1540034828')
('857386628515549186', '1540034828')
('2359813703', '1540034828')
('889839170629324800', '1540034828')
('119876678', '1540034828')
('572115982', '1540034828')
('1406282016', '1540034828')
('25677654', '1540034828')
('3130421673', '1540034828')
('96225988', '1540034828')
('730915863755362304', '1540034828')
('540282529', '1540034828')
('22735093', '1540034828')
('3071107360', '1540034828')
('918268963028692992', '1540034828')
('359660440', '1540034828')
('1393666200', '1540034828')
('926085590768148480', '1540034828')
('1146768235', '1540034828')
('145779595', '1540034828')
('737054059421683712', '1540034828')
('1658326021', '1540034828')
('2180835212', '1540034828')
('430008952', '1540034828')
('2543623479', '1540034828')
('1451674394', '1540034828')
('3340210733', '1540034828')
('310956631', '1540034828')
('245471874', '1540034828')
('1493392668', '1540034828')
('304616490', '1540034828')
('4852363372', '1540034828')
('2522619401', '1540034828')
('96890257', '1540034828')
('4828270217', '1540034828')
('3021609011', '1540034828')
('4517187567', '1540034828')
('1684820232', '1540034828')
('59171195', '1540034828')
('3317618397', '1540034828')
('2877461675', '1540034828')
('3039933215', '1540034828')
('863075447415943173', '1540034828')
('39345697', '1540034828')
('2438790608', '1540034828')
('65742865', '1540034828')
('75383294', '1540034828')
('130297288', '1540034828')
('3918312682', '1540034828')
('707715562932211716', '1540034828')
('738172450995736576', '1540034828')
('2258318731', '1540034828')
('708112680419196928', '1540034828')
('2800964765', '1540034828')
('30041799', '1540034828')
('230551500', '1540034828')
('55268024', '1540034828')
('47120988', '1540034828')
('3161947306', '1540034828')
('2480367727', '1540034828')
('3364444047', '1540034828')
('3362469177', '1540034828')
('956217624211480578', '1540034828')
('53979508', '1540034828')
('3299693429', '1540034828')
('48509717', '1540034828')
('2260155472', '1540034828')
('3377252801', '1540034828')
('47206251', '1540034828')
('129667465', '1540034828')
('2561755261', '1540034828')
('176618654', '1540034828')
('817173697501024256', '1540034828')
('929770668320874496', '1540034828')
('859044008', '1540034828')
('142060361', '1540034828')
('51589813', '1540034828')
('3665430202', '1540034828')
('2853238599', '1540034828')
('271954992', '1540034828')
('385063148', '1540034828')
('59626514', '1540034828')
('755979043388919808', '1540034828')
('2493629803', '1540034828')
('39565333', '1540034828')
('2828824684', '1540034828')
('803057674770382849', '1540034828')
('3224590432', '1540034828')
('1877886738', '1540034828')
('127262706', '1540034828')
('2327081116', '1540034828')
('514233754', '1540034828')
('754068845409828865', '1540034828')
('823591207909675008', '1540034828')
('2720248632', '1540034828')
('4851292515', '1540034828')
('1032010255', '1540034828')
('3100613501', '1540034828')
('2189967503', '1540034828')
('80156246', '1540034828')
('809123748590850048', '1540034828')
('389787690', '1540034828')
('2824407953', '1540034828')
('772109110309453824', '1540034828')
('1187322295', '1540034828')
('324068363', '1540034828')
('51925761', '1540034828')
('621139973', '1540034828')
('2208004735', '1540034828')
('206674050', '1540034828')
('328053891', '1540034828')
('266774850', '1540034828')
('902297175077650432', '1540034828')
('74198459', '1540034828')
('884921137934860288', '1540034828')
('80329173', '1540034828')
('611294653', '1540034828')
('798641611915886592', '1540034828')
('549408467', '1540034828')
('184511780', '1540034828')
('943333386659213313', '1540034828')
('710322168261910528', '1540034828')
('16436924', '1540034828')
('3262205265', '1540034828')
('151584335', '1540034828')
('859956017647542272', '1540034828')
('885728909140140033', '1540034828')
('4487653995', '1540034828')
('52076129', '1540034828')
('4195171642', '1540034828')
('2794306108', '1540034828')
('738720923625328640', '1540034828')
('86383240', '1540034828')
('903833996', '1540034828')
('63615865', '1540034828')
('2265914863', '1540034828')
('2950563581', '1540034828')
