Source,Target,Type,Id,Label,timeset,Weight
89115541,4529320173,Directed,20,,,1
867193314,4529320173,Directed,24,,,1
3359467833,4529320173,Directed,75,,,1
804084010909630464,4529320173,Directed,103,,,1
923355324383485954,4529320173,Directed,110,,,1
240809427,4529320173,Directed,117,,,1
197320825,4529320173,Directed,120,,,1
4202173121,4529320173,Directed,122,,,1
2927135901,4529320173,Directed,124,,,1
1223154906,4529320173,Directed,153,,,1
153195893,4529320173,Directed,173,,,1
847905217354092544,4529320173,Directed,203,,,1
2471680740,4529320173,Directed,216,,,1
904156471,4529320173,Directed,221,,,1
1530651864,4529320173,Directed,223,,,1
4251597346,4529320173,Directed,246,,,1
1557056743,4529320173,Directed,267,,,2
844199647514124292,4529320173,Directed,297,,,1
582203069,4529320173,Directed,318,,,1
274119211,4529320173,Directed,326,,,1
987345552,4529320173,Directed,327,,,1
717104516953411585,4529320173,Directed,348,,,1
3385828318,4529320173,Directed,351,,,1
917945914802745345,4529320173,Directed,355,,,1
3310571865,4529320173,Directed,358,,,1
202133880,4529320173,Directed,364,,,1
2837373958,4529320173,Directed,369,,,1
871845759527923712,4529320173,Directed,370,,,1
3416351249,4529320173,Directed,374,,,1
2557898970,4529320173,Directed,376,,,1
3507908477,4529320173,Directed,382,,,1
250684636,4529320173,Directed,409,,,1
4516239382,4529320173,Directed,413,,,1
1625526020,4529320173,Directed,426,,,1
3128732737,4529320173,Directed,434,,,1
165120907,4529320173,Directed,437,,,1
160752845,4529320173,Directed,450,,,1
886718206186016768,4529320173,Directed,457,,,1
201693251,4529320173,Directed,464,,,1
880232614996709376,4529320173,Directed,471,,,1
4776167069,4529320173,Directed,480,,,1
558650243,4529320173,Directed,513,,,1
2624356467,4529320173,Directed,558,,,1
4486080268,4529320173,Directed,585,,,1
4187978961,4529320173,Directed,598,,,1
203871179,4529320173,Directed,610,,,1
880401192324562944,4529320173,Directed,624,,,1
3749931496,4529320173,Directed,635,,,1
924692650372075521,4529320173,Directed,636,,,1
752240579560534016,4529320173,Directed,637,,,1
899829560438648833,4529320173,Directed,655,,,1
4528393457,4529320173,Directed,660,,,1
187538606,4529320173,Directed,668,,,1
939558990064902145,4529320173,Directed,674,,,1
869286115,4529320173,Directed,692,,,2
557139629,4529320173,Directed,697,,,2
2577784509,4529320173,Directed,700,,,1
208995909,4529320173,Directed,701,,,1
2510925775,4529320173,Directed,703,,,1
164812770,4529320173,Directed,705,,,1
4534234096,4529320173,Directed,710,,,1
240418618,4529320173,Directed,712,,,1
486083556,4529320173,Directed,716,,,1
363074665,4529320173,Directed,720,,,1
811608886063091712,4529320173,Directed,723,,,1
1281069709,4529320173,Directed,725,,,1
837462386105860102,4529320173,Directed,751,,,1
208688489,4529320173,Directed,767,,,1
362579636,4529320173,Directed,779,,,2
238221519,4529320173,Directed,798,,,1
217681102,4529320173,Directed,823,,,1
706585919353200642,4529320173,Directed,828,,,1
1927394581,4529320173,Directed,846,,,1
214363824,4529320173,Directed,851,,,1
950656216518283264,4529320173,Directed,868,,,1
4217940664,4529320173,Directed,884,,,2
154675928,4529320173,Directed,892,,,1
150503387,4529320173,Directed,893,,,1
388623466,4529320173,Directed,896,,,1
943798730276442112,4529320173,Directed,916,,,1
869559327249625088,4529320173,Directed,930,,,1
822575361590460416,4529320173,Directed,948,,,2
836644513,4529320173,Directed,954,,,1
2177471908,4529320173,Directed,963,,,1
154237680,4529320173,Directed,968,,,1
398416255,4529320173,Directed,970,,,1
185032089,4529320173,Directed,993,,,1
2729979705,4529320173,Directed,1000,,,1
889104329747070976,4529320173,Directed,1010,,,2
210093732,4529320173,Directed,1038,,,1
2198533061,4529320173,Directed,1039,,,1
714613180673224705,4529320173,Directed,1049,,,1
755035461538709504,4529320173,Directed,1098,,,2
118171899,4529320173,Directed,1110,,,1
919030453532729344,4529320173,Directed,1132,,,1
732717476073639937,4529320173,Directed,1136,,,1
820404689313427457,4529320173,Directed,1142,,,1
550467530,4529320173,Directed,1190,,,1
2736098224,4529320173,Directed,1209,,,1
77420630,4529320173,Directed,1210,,,1
177764668,4529320173,Directed,1217,,,2
4433293101,4529320173,Directed,1225,,,1
3012083511,4529320173,Directed,1241,,,1
319427052,4529320173,Directed,1243,,,1
941884190282387456,4529320173,Directed,1259,,,2
185707814,4529320173,Directed,1264,,,1
254316467,4529320173,Directed,1276,,,1
934771562405941248,4529320173,Directed,1277,,,1
256622509,4529320173,Directed,1314,,,1
615737578,4529320173,Directed,1342,,,1
770317020160196608,4529320173,Directed,1373,,,1
151925423,4529320173,Directed,1385,,,1
1614343844,4529320173,Directed,1388,,,2
808092704701906945,4529320173,Directed,1390,,,1
367605713,4529320173,Directed,1393,,,1
798318572296663040,4529320173,Directed,1406,,,1
