('867193314', '4529320173')
('197320825', '4529320173')
('2927135901', '4529320173')
('1223154906', '4529320173')
('582203069', '4529320173')
('987345552', '4529320173')
('3507908477', '4529320173')
('4776167069', '4529320173')
('558650243', '4529320173')
('4187978961', '4529320173')
('880401192324562944', '4529320173')
('924692650372075521', '4529320173')
('557139629', '4529320173')
('2510925775', '4529320173')
('4534234096', '4529320173')
('811608886063091712', '4529320173')
('837462386105860102', '4529320173')
('208688489', '4529320173')
('1927394581', '4529320173')
('4217940664', '4529320173')
('154675928', '4529320173')
('836644513', '4529320173')
('2198533061', '4529320173')
('919030453532729344', '4529320173')
('550467530', '4529320173')
('4433293101', '4529320173')
('770317020160196608', '4529320173')
('808092704701906945', '4529320173')
('367605713', '4529320173')
('137144138', '4529320173')
('287310420', '4529320173')
('323937987', '4529320173')
('3068163847', '4529320173')
('2916262564', '4529320173')
('2424397513', '4529320173')
('884211546422996994', '4529320173')
('4774247901', '4529320173')
('2723740299', '4529320173')
('260709741', '4529320173')
('989979932', '4529320173')
('141795397', '4529320173')
('3901161219', '4529320173')
('474231497', '4529320173')
('846867758486863872', '4529320173')
('589346875', '4529320173')
('139584761', '4529320173')
('812161620545851392', '4529320173')
('739311451', '4529320173')
('147342808', '4529320173')
('1327311937', '4529320173')
('485634811', '4529320173')
('706701170690154496', '4529320173')
('4759484303', '4529320173')
('2397189652', '4529320173')
('4342283537', '4529320173')
('894975363255873536', '4529320173')
('886061418709225473', '4529320173')
('2865799931', '4529320173')
('1498975142', '4529320173')
('3298668085', '4529320173')
('3166741169', '4529320173')
('4303626502', '4529320173')
('4610046136', '4529320173')
('499101287', '4529320173')
('1431189150', '4529320173')
('438544296', '4529320173')
('2500762786', '4529320173')
('722646671662923776', '4529320173')
('3063523700', '4529320173')
('4438133241', '4529320173')
('724773661', '4529320173')
('392449722', '4529320173')
('237504868', '4529320173')
('1056432584', '4529320173')
('4635610600', '4529320173')
('2595739767', '4529320173')
('2368551963', '4529320173')
('163729899', '4529320173')
('4703770231', '4529320173')
('129197353', '4529320173')
('2154431417', '4529320173')
('141425893', '4529320173')
('776424297632002048', '4529320173')
('891494879368544256', '4529320173')
('372796630', '4529320173')
('1626598442', '4529320173')
('860459995678289922', '4529320173')
('1340710190', '4529320173')
('120392199', '4529320173')
('236153319', '4529320173')
('576677575', '4529320173')
('2990456067', '4529320173')
('207824592', '4529320173')
('792309182', '4529320173')
('2857667871', '4529320173')
('189301509', '4529320173')
('838215425284587521', '4529320173')
('4229414594', '4529320173')
('888746710670946304', '4529320173')
('4869498521', '4529320173')
('4065011963', '4529320173')
('896538651961819137', '4529320173')
('300652328', '4529320173')
('383948382', '4529320173')
('3665392107', '4529320173')
('127567014', '4529320173')
('165920669', '4529320173')
('145856199', '4529320173')
('2848334848', '4529320173')
('3143300480', '4529320173')
('619432463', '4529320173')
('853950045724520449', '4529320173')
('328687226', '4529320173')
('743221237783105536', '4529320173')
('2821284635', '4529320173')
('2155518462', '4529320173')
('4789616601', '4529320173')
('157764767', '4529320173')
('745019695074533376', '4529320173')
('4443230782', '4529320173')
('3343600762', '4529320173')
('249244134', '4529320173')
('558803330', '4529320173')
('162244472', '4529320173')
('2749700257', '4529320173')
('1355655282', '4529320173')
('833382608281141248', '4529320173')
('921059282300362752', '4529320173')
('451153298', '4529320173')
('757999769746808832', '4529320173')
('308785603', '4529320173')
('69644759', '4529320173')
('348213542', '4529320173')
('292402630', '4529320173')
('186593162', '4529320173')
('621221876', '4529320173')
('908685822282665985', '4529320173')
('163082855', '4529320173')
('261550294', '4529320173')
('631404373', '4529320173')
('3399281115', '4529320173')
('263127908', '4529320173')
('197291550', '4529320173')
('837008765442539523', '4529320173')
('3065833408', '4529320173')
('2640392484', '4529320173')
('730808924052414464', '4529320173')
('875491234084786176', '4529320173')
('517820139', '4529320173')
('741786302207696896', '4529320173')
('3192148841', '4529320173')
('1528822513', '4529320173')
