('89115541', '4529320173')
('3359467833', '4529320173')
('804084010909630464', '4529320173')
('923355324383485954', '4529320173')
('240809427', '4529320173')
('4202173121', '4529320173')
('153195893', '4529320173')
('847905217354092544', '4529320173')
('2471680740', '4529320173')
('904156471', '4529320173')
('1530651864', '4529320173')
('4251597346', '4529320173')
('1557056743', '4529320173')
('844199647514124292', '4529320173')
('274119211', '4529320173')
('717104516953411585', '4529320173')
('3385828318', '4529320173')
('917945914802745345', '4529320173')
('3310571865', '4529320173')
('202133880', '4529320173')
('2837373958', '4529320173')
('871845759527923712', '4529320173')
('3416351249', '4529320173')
('2557898970', '4529320173')
('250684636', '4529320173')
('4516239382', '4529320173')
('1625526020', '4529320173')
('3128732737', '4529320173')
('165120907', '4529320173')
('160752845', '4529320173')
('886718206186016768', '4529320173')
('201693251', '4529320173')
('880232614996709376', '4529320173')
('2624356467', '4529320173')
('4486080268', '4529320173')
('203871179', '4529320173')
('3749931496', '4529320173')
('752240579560534016', '4529320173')
('899829560438648833', '4529320173')
('4528393457', '4529320173')
('187538606', '4529320173')
('939558990064902145', '4529320173')
('869286115', '4529320173')
('2577784509', '4529320173')
('208995909', '4529320173')
('164812770', '4529320173')
('240418618', '4529320173')
('486083556', '4529320173')
('363074665', '4529320173')
('1281069709', '4529320173')
('362579636', '4529320173')
('217681102', '4529320173')
('706585919353200642', '4529320173')
('214363824', '4529320173')
('950656216518283264', '4529320173')
('150503387', '4529320173')
('388623466', '4529320173')
('943798730276442112', '4529320173')
('869559327249625088', '4529320173')
('822575361590460416', '4529320173')
('2177471908', '4529320173')
('154237680', '4529320173')
('398416255', '4529320173')
('185032089', '4529320173')
('2729979705', '4529320173')
('889104329747070976', '4529320173')
('210093732', '4529320173')
('714613180673224705', '4529320173')
('755035461538709504', '4529320173')
('118171899', '4529320173')
('732717476073639937', '4529320173')
('820404689313427457', '4529320173')
('2736098224', '4529320173')
('77420630', '4529320173')
('177764668', '4529320173')
('3012083511', '4529320173')
('319427052', '4529320173')
('941884190282387456', '4529320173')
('185707814', '4529320173')
('254316467', '4529320173')
('934771562405941248', '4529320173')
('256622509', '4529320173')
('615737578', '4529320173')
('151925423', '4529320173')
('1614343844', '4529320173')
('798318572296663040', '4529320173')
('2717524844', '4529320173')
('724762789743566848', '4529320173')
('3016564483', '4529320173')
('925516383651356673', '4529320173')
('3230145635', '4529320173')
('776279678831173632', '4529320173')
('883460817559093250', '4529320173')
('143979120', '4529320173')
('791842760529764353', '4529320173')
('787065575671488512', '4529320173')
('494481231', '4529320173')
('931864337924395008', '4529320173')
('760269709854052354', '4529320173')
('1535541241', '4529320173')
('987784782', '4529320173')
('425084557', '4529320173')
('2765706388', '4529320173')
('307458557', '4529320173')
('280579209', '4529320173')
('4907706191', '4529320173')
('825537000', '4529320173')
('4270874422', '4529320173')
('2603721523', '4529320173')
('704104996250505216', '4529320173')
('927338006964572161', '4529320173')
('186937823', '4529320173')
('828140486082838528', '4529320173')
('4342240341', '4529320173')
('2940224644', '4529320173')
('877565666466910210', '4529320173')
('918284519391756289', '4529320173')
('888037634890768386', '4529320173')
('127874171', '4529320173')
('1611495738', '4529320173')
('4864410285', '4529320173')
('325690637', '4529320173')
('4498410291', '4529320173')
('167211653', '4529320173')
('1498952340', '4529320173')
('935961157722099714', '4529320173')
('951559420835778560', '4529320173')
('3099190497', '4529320173')
('4877285387', '4529320173')
('897272623700246531', '4529320173')
('908939228', '4529320173')
('1250184524', '4529320173')
('179783379', '4529320173')
('2891423547', '4529320173')
('852907084136026113', '4529320173')
('84488836', '4529320173')
('171671843', '4529320173')
('842842621605302273', '4529320173')
('169510044', '4529320173')
('2570831791', '4529320173')
('1477483549', '4529320173')
('2446331327', '4529320173')
('2168494561', '4529320173')
('2805934223', '4529320173')
('210947127', '4529320173')
('81302687', '4529320173')
('804375514760810496', '4529320173')
('802557447852396544', '4529320173')
('340941762', '4529320173')
('3226055945', '4529320173')
('914496671840702464', '4529320173')
('819336076972228609', '4529320173')
('2862638337', '4529320173')
('564968648', '4529320173')
('2472834668', '4529320173')
('3323576145', '4529320173')
('2371183357', '4529320173')
('4010899792', '4529320173')
('767205584022147072', '4529320173')
('1488280027', '4529320173')
('390541719', '4529320173')
('2794286952', '4529320173')
('170898709', '4529320173')
('191175498', '4529320173')
('901960652775985152', '4529320173')
('409703697', '4529320173')
('1458246122', '4529320173')
('703788898347048961', '4529320173')
('360379290', '4529320173')
('4808551714', '4529320173')
('794824418', '4529320173')
('217489704', '4529320173')
('2375026058', '4529320173')
('364304602', '4529320173')
('829387147983646720', '4529320173')
('170827293', '4529320173')
('740308175535116292', '4529320173')
('1258140408', '4529320173')
('4710965062', '4529320173')
('923293047990968320', '4529320173')
('4043257095', '4529320173')
('3311072896', '4529320173')
('213342429', '4529320173')
('2733490341', '4529320173')
('2724026735', '4529320173')
('3402023547', '4529320173')
('4318644994', '4529320173')
('1861845169', '4529320173')
('1723003434', '4529320173')
('178558693', '4529320173')
('755723461', '4529320173')
('827351401449799686', '4529320173')
('3972213801', '4529320173')
('483584314', '4529320173')
('1688981280', '4529320173')
('2821756601', '4529320173')
('3623938043', '4529320173')
('2968916219', '4529320173')
('1525713744', '4529320173')
('2422349313', '4529320173')
('987807842', '4529320173')
('709911025081065476', '4529320173')
('548821505', '4529320173')
('195846630', '4529320173')
('150647694', '4529320173')
('1458050774', '4529320173')
('456184752', '4529320173')
('885256376343244800', '4529320173')
('777578359161225216', '4529320173')
('1326592746', '4529320173')
('1038802680', '4529320173')
('703686814452879361', '4529320173')
('714255642291265536', '4529320173')
('3077578797', '4529320173')
('925875715375091715', '4529320173')
('187738320', '4529320173')
('4195171642', '4529320173')
('2336865151', '4529320173')
('778388845989597185', '4529320173')
('922875202115121152', '4529320173')
('899326212916596739', '4529320173')
('205721520', '4529320173')
('2320932331', '4529320173')
('839244108040372226', '4529320173')
('2168783529', '4529320173')
('849696700595875841', '4529320173')
('4546139842', '4529320173')
('616617576', '4529320173')
('2261953908', '4529320173')
('861126404267806720', '4529320173')
('1747333177', '4529320173')
('901285877200171009', '4529320173')
('925460900957622273', '4529320173')
('897437167487680513', '4529320173')
('2327817091', '4529320173')
('796304501028356096', '4529320173')
('776957220751806464', '4529320173')
('4601569703', '4529320173')
('200278023', '4529320173')
('143955396', '4529320173')
('215095522', '4529320173')
('760283410900328448', '4529320173')
('941069487868129281', '4529320173')
('190107683', '4529320173')
('212319838', '4529320173')
('1277999094', '4529320173')
('903382742498500608', '4529320173')
('185675740', '4529320173')
('122063921', '4529320173')
('850717135378710528', '4529320173')
('2752951375', '4529320173')
('2350956690', '4529320173')
('823565129711284224', '4529320173')
('894703082667474945', '4529320173')
('833907972', '4529320173')
('219438468', '4529320173')
('2936992948', '4529320173')
('1648996830', '4529320173')
('21316101', '4529320173')
('305029444', '4529320173')
('4630503857', '4529320173')
('149304504', '4529320173')
('921970310072750080', '4529320173')
('3152635313', '4529320173')
('322974571', '4529320173')
('429353133', '4529320173')
('2861715868', '4529320173')
('193154088', '4529320173')
('209709010', '4529320173')
('186900540', '4529320173')
('867223140', '4529320173')
('3141887583', '4529320173')
('223571003', '4529320173')
('882268723091996673', '4529320173')
('965766176', '4529320173')
('4190928712', '4529320173')
('740659323991396352', '4529320173')
('176967475', '4529320173')
('2831936617', '4529320173')
('4846560347', '4529320173')
('167996408', '4529320173')
('766642477', '4529320173')
('1426707871', '4529320173')
('4143350903', '4529320173')
('834408480995942400', '4529320173')
('189931443', '4529320173')
('59787383', '4529320173')
('933102311462797312', '4529320173')
('2834926876', '4529320173')
('291771744', '4529320173')
('456641366', '4529320173')
('1104174098', '4529320173')
('195873510', '4529320173')
('310836235', '4529320173')
('1112492869', '4529320173')
('29058159', '4529320173')
('859550269096558593', '4529320173')
('753729042680012800', '4529320173')
('2761256412', '4529320173')
('716282224', '4529320173')
('2838925913', '4529320173')
('132288508', '4529320173')
('845028124404436992', '4529320173')
('130916621', '4529320173')
('160067902', '4529320173')
('4429581449', '4529320173')
('2533109552', '4529320173')
('1315476529', '4529320173')
('2863205408', '4529320173')
('143600737', '4529320173')
('74872455', '4529320173')
('145868910', '4529320173')
('164527674', '4529320173')
('4664202801', '4529320173')
('3000069317', '4529320173')
('2395547340', '4529320173')
('177054088', '4529320173')
('208857191', '4529320173')
('4465245203', '4529320173')
('173635137', '4529320173')
('877884232722501632', '4529320173')
('211126306', '4529320173')
('708648859581476864', '4529320173')
('159314702', '4529320173')
('4700465902', '4529320173')
('868103332765851649', '4529320173')
('821838762430840834', '4529320173')
('4613601209', '4529320173')
('305416366', '4529320173')
('186685625', '4529320173')
('151529438', '4529320173')
('1631463900', '4529320173')
('744705330538516480', '4529320173')
('4314442757', '4529320173')
('257619002', '4529320173')
('4891863303', '4529320173')
('4084962083', '4529320173')
('205863451', '4529320173')
('208577217', '4529320173')
('2784060971', '4529320173')
('745746892118700032', '4529320173')
('713084497609297920', '4529320173')
('783032767', '4529320173')
('703378355', '4529320173')
