Source,Target,Type,Id,Label,timeset,Weight
953615537107537921,148339735,Directed,51,,,2
1022529199,2174933335,Directed,143,,,1
1065481304,2174933335,Directed,176,,,1
949643811059355648,75031882,Directed,193,,,1
2446305559,2174933335,Directed,243,,,1
704104996250505216,2174933335,Directed,619,,,1
781849538931879940,2174933335,Directed,641,,,1
159468538,2174933335,Directed,659,,,1
937368924555022336,2174933335,Directed,671,,,1
729040782775160832,2174933335,Directed,730,,,1
4091823135,2174933335,Directed,747,,,1
2984716645,2174933335,Directed,764,,,2
4787286977,2174933335,Directed,771,,,1
897437167487680513,2174933335,Directed,899,,,1
565539841,2174933335,Directed,1001,,,1
549493919,2174933335,Directed,1026,,,1
860441228,2174933335,Directed,1035,,,1
406196908,148339735,Directed,1112,,,5
158874926,2174933335,Directed,1123,,,1
154641862,2174933335,Directed,1135,,,1
371546732,2174933335,Directed,1141,,,1
939594755599732736,2174933335,Directed,1145,,,1
338407176,2174933335,Directed,1171,,,1
148339735,148339735,Directed,1208,,,2
2780825266,2174933335,Directed,1239,,,1
700872790136651776,2174933335,Directed,1253,,,1
1663742358,2174933335,Directed,1263,,,1
1614343844,2174933335,Directed,1268,,,1
700872790136651776,148339735,Directed,1304,,,1
810981060842491910,2174933335,Directed,1327,,,1
724762789743566848,2174933335,Directed,1331,,,1
178738217,2174933335,Directed,1339,,,1
724762789743566848,148339735,Directed,1358,,,2
2174933335,148339735,Directed,1417,,,6
4908938639,2174933335,Directed,1483,,,1
171558667,2174933335,Directed,1489,,,1
821809093853806593,2174933335,Directed,1518,,,1
2441202873,2174933335,Directed,1571,,,1
145389084,2174933335,Directed,1593,,,1
4591129641,2174933335,Directed,1648,,,1
1277999094,148339735,Directed,1661,,,1
4774247901,2174933335,Directed,1690,,,1
604562497,75031882,Directed,1843,,,1
886355599692267520,2174933335,Directed,1863,,,1
59787383,148339735,Directed,2328,,,3
310366272,2174933335,Directed,2451,,,1
842060825418424326,2174933335,Directed,2485,,,1
148339735,178738217,Directed,2520,,,1
148339735,2174933335,Directed,2540,,,8
1624049390,178738217,Directed,2562,,,1
167088330,2174933335,Directed,2709,,,1
897187711676710914,2174933335,Directed,2723,,,1
2595739767,2174933335,Directed,2724,,,1
1447450081,2174933335,Directed,2800,,,1
942620618,148339735,Directed,2825,,,1
1660587536,2174933335,Directed,2834,,,1
942620618,2174933335,Directed,2835,,,5
237504868,2174933335,Directed,2865,,,1
987262435,2174933335,Directed,2902,,,7
987262435,178738217,Directed,2906,,,1
1660587536,148339735,Directed,2914,,,3
36117216,2174933335,Directed,2989,,,1
779345912430792704,2174933335,Directed,3033,,,2
715891412336779264,2174933335,Directed,3038,,,1
823565129711284224,2174933335,Directed,3072,,,1
1277999094,2174933335,Directed,3099,,,1
867223140,2174933335,Directed,3395,,,1
2193548943,2174933335,Directed,3423,,,2
2188580918,2174933335,Directed,3502,,,1
867223140,148339735,Directed,3519,,,1
59787383,2174933335,Directed,3524,,,1
2701644320,2174933335,Directed,3572,,,1
2513461156,2174933335,Directed,3585,,,1
176967475,2174933335,Directed,3681,,,1
931986881880973313,2174933335,Directed,3690,,,1
1624049390,2174933335,Directed,3751,,,2
180769515,2174933335,Directed,3877,,,2
37097545,2174933335,Directed,3949,,,1
173228602,2174933335,Directed,3965,,,1
845028124404436992,148339735,Directed,4034,,,2
1525713744,2174933335,Directed,4076,,,2
845028124404436992,2174933335,Directed,4147,,,1
291771744,2174933335,Directed,4195,,,3
907602732906946561,45013575,Directed,4401,,,2
833426540486651904,2174933335,Directed,4450,,,2
