Source,Target,Type,Id,Label,timeset,Weight
3128732737,4707533116,Directed,217,,,1
928130773152124928,4707533116,Directed,305,,,1
254316467,4707533116,Directed,309,,,1
159035296,4707533116,Directed,329,,,1
914747935,4707533116,Directed,423,,,1
4293057442,4707533116,Directed,572,,,1
3252181216,4707533116,Directed,576,,,1
224702381,4707533116,Directed,580,,,1
208577217,4707533116,Directed,581,,,1
410655585,4707533116,Directed,604,,,1
1424382415,4707533116,Directed,640,,,1
4194490175,4707533116,Directed,654,,,1
885810670717079552,4707533116,Directed,673,,,1
264537541,4707533116,Directed,679,,,1
885324052222668801,4707533116,Directed,802,,,1
268330990,4707533116,Directed,821,,,1
955911407320616961,4707533116,Directed,855,,,1
747774239399378944,4707533116,Directed,858,,,1
378770898,4707533116,Directed,871,,,1
4814260083,4707533116,Directed,923,,,1
3462238936,4707533116,Directed,1249,,,1
4890687269,4707533116,Directed,1272,,,1
956222433773670400,4707533116,Directed,1359,,,1
724762789743566848,4707533116,Directed,1434,,,1
2851420277,4707533116,Directed,1482,,,2
2610156799,4707533116,Directed,1513,,,1
938180643065946112,4707533116,Directed,1573,,,1
721154608576491520,4707533116,Directed,1595,,,1
886351599387496452,4707533116,Directed,1685,,,1
2432170855,4707533116,Directed,1693,,,1
4519935436,4707533116,Directed,1722,,,1
1720924015,4707533116,Directed,1724,,,1
4840262903,4707533116,Directed,1791,,,1
34518850,4707533116,Directed,1824,,,1
898048723342807040,4707533116,Directed,1871,,,1
849554587656867841,4707533116,Directed,2058,,,1
260709741,4707533116,Directed,2103,,,1
188865871,4707533116,Directed,2115,,,1
594105756,4707533116,Directed,2128,,,1
2314068911,4707533116,Directed,2133,,,1
266415072,4707533116,Directed,2161,,,1
792203275,4707533116,Directed,2248,,,1
1458246122,4707533116,Directed,2264,,,1
1924929906,4707533116,Directed,2317,,,1
121669823,4707533116,Directed,2319,,,1
275204537,4707533116,Directed,2389,,,1
925592059146391552,4707533116,Directed,2473,,,1
186900540,4707533116,Directed,2513,,,1
2500762786,4707533116,Directed,2704,,,1
173310216,4707533116,Directed,2717,,,1
185191033,4707533116,Directed,2760,,,1
709911025081065476,4707533116,Directed,2773,,,1
3046862916,4707533116,Directed,2776,,,1
392449722,4707533116,Directed,2794,,,1
398644017,4707533116,Directed,2836,,,1
3368326677,4707533116,Directed,2851,,,1
125397551,4707533116,Directed,2889,,,1
2736098224,4707533116,Directed,2972,,,1
184639713,4707533116,Directed,2973,,,1
2949163973,4707533116,Directed,2994,,,1
2838925913,4707533116,Directed,3004,,,1
301034179,4707533116,Directed,3016,,,1
1891655984,4707533116,Directed,3024,,,1
1705649064,4707533116,Directed,3074,,,2
370953482,4707533116,Directed,3078,,,1
610206288,4707533116,Directed,3129,,,1
2294702125,4707533116,Directed,3226,,,1
118171899,4707533116,Directed,3280,,,1
768109231,4707533116,Directed,3300,,,1
1653907866,4707533116,Directed,3386,,,1
210787302,4707533116,Directed,3417,,,1
2494310100,4707533116,Directed,3473,,,1
1666591518,4707533116,Directed,3503,,,1
167996408,4707533116,Directed,3618,,,1
1624049390,4707533116,Directed,3654,,,1
888746710670946304,4707533116,Directed,3666,,,1
740659323991396352,4707533116,Directed,3753,,,1
4429581449,4707533116,Directed,3797,,,1
371546732,4707533116,Directed,3814,,,2
2649509616,4707533116,Directed,3818,,,2
179563784,4707533116,Directed,3847,,,1
4624652921,4707533116,Directed,3915,,,1
974942155,4707533116,Directed,3963,,,1
137571616,4707533116,Directed,3998,,,1
740267968790155264,4707533116,Directed,4018,,,1
187234192,4707533116,Directed,4083,,,1
716282224,4707533116,Directed,4127,,,1
954717891231993856,4707533116,Directed,4156,,,1
2752272437,4707533116,Directed,4172,,,1
886026356806627328,4707533116,Directed,4175,,,2
1354985582,4707533116,Directed,4179,,,1
463253459,4707533116,Directed,4250,,,1
1469391320,4707533116,Directed,4329,,,1
142682650,4707533116,Directed,4356,,,1
923711387708338176,4707533116,Directed,4508,,,1
821838762430840834,4707533116,Directed,4533,,,1
4873896923,4707533116,Directed,4606,,,3
1089728444,4707533116,Directed,4611,,,1
2162459267,4707533116,Directed,4628,,,1
4871641385,4707533116,Directed,4682,,,1
164042957,4707533116,Directed,4685,,,1
1962644767,4707533116,Directed,4732,,,1
709777147808911360,4707533116,Directed,4738,,,1
853950045724520449,4707533116,Directed,4780,,,1
630276682,4707533116,Directed,4873,,,1
1281439802,4707533116,Directed,4879,,,1
745746892118700032,4707533116,Directed,4897,,,1
3002855571,4707533116,Directed,4914,,,1
226561190,4707533116,Directed,4966,,,1
942125916825817090,4707533116,Directed,4975,,,1
1571827686,4707533116,Directed,4979,,,1
942854763170992131,4707533116,Directed,4983,,,1
172873363,4707533116,Directed,4996,,,1
210935992,4707533116,Directed,5003,,,1
108219334,4707533116,Directed,5006,,,1
704853192773918720,4707533116,Directed,5089,,,1
743221237783105536,4707533116,Directed,5123,,,1
756202151500742656,4707533116,Directed,5126,,,1
2155518462,4707533116,Directed,5127,,,1
875882243364982784,4707533116,Directed,5165,,,1
619432463,4707533116,Directed,5195,,,1
781849538931879940,4707533116,Directed,5349,,,1
59787383,4707533116,Directed,5353,,,1
146431317,4707533116,Directed,5369,,,1
728024487355162624,4707533116,Directed,5410,,,1
151676737,4707533116,Directed,5423,,,1
745019695074533376,4707533116,Directed,5490,,,1
1394869950,4707533116,Directed,5533,,,1
4896706619,4707533116,Directed,5577,,,1
2448657036,4707533116,Directed,5601,,,1
197194091,4707533116,Directed,5608,,,1
1315716486,4707533116,Directed,5690,,,1
188400119,4707533116,Directed,5704,,,1
195603073,4707533116,Directed,5739,,,1
4588868777,4707533116,Directed,5752,,,1
178879261,4707533116,Directed,5831,,,1
746092887935455232,4707533116,Directed,5863,,,1
1222621982,4707533116,Directed,5912,,,1
145061737,4707533116,Directed,5913,,,1
622389534,4707533116,Directed,5989,,,1
145779595,4707533116,Directed,6005,,,1
3918688756,4707533116,Directed,6036,,,1
185905083,4707533116,Directed,6114,,,1
719529771193999361,4707533116,Directed,6118,,,1
115929151,4707533116,Directed,6194,,,1
163145475,4707533116,Directed,6205,,,1
179346830,4707533116,Directed,6375,,,1
713841058011082752,4707533116,Directed,6423,,,1
4195171642,4707533116,Directed,6437,,,1
954328143002787840,4707533116,Directed,6466,,,1
1030335350,4707533116,Directed,6527,,,1
234936389,4707533116,Directed,6542,,,1
4247442441,4707533116,Directed,6565,,,1
3337546187,4707533116,Directed,6586,,,1
3357565367,4707533116,Directed,6590,,,1
183454242,4707533116,Directed,6597,,,2
49989883,4707533116,Directed,6641,,,1
3099190497,4707533116,Directed,6642,,,1
907602732906946561,4707533116,Directed,6648,,,1
210537919,4707533116,Directed,6652,,,1
8474942,4707533116,Directed,6666,,,1
8565932,4707533116,Directed,6695,,,1
568559126,4707533116,Directed,6706,,,1
739111348953583617,4707533116,Directed,6713,,,1
150264310,4707533116,Directed,6715,,,1
290254208,4707533116,Directed,6716,,,1
208543060,4707533116,Directed,6808,,,1
109353330,4707533116,Directed,6866,,,1
3930961283,4707533116,Directed,6880,,,1
744703980719190016,4707533116,Directed,6988,,,1
905566472524754944,4707533116,Directed,7017,,,2
3230145635,4707533116,Directed,7089,,,1
914634354852327425,4707533116,Directed,7091,,,1
165782032,4707533116,Directed,7117,,,1
949263204873621506,4707533116,Directed,7180,,,1
3393316054,4707533116,Directed,7181,,,1
179553793,4707533116,Directed,7414,,,2
813154819275898884,4707533116,Directed,7559,,,2
3893850623,4707533116,Directed,7565,,,1
832007677291134981,4707533116,Directed,7648,,,1
818640401460502528,4707533116,Directed,7726,,,3
886759795981791232,4707533116,Directed,7752,,,1
858027742834696194,4707533116,Directed,7758,,,1
4696649916,4707533116,Directed,7929,,,1
127045367,4707533116,Directed,7940,,,1
909534561784205312,4707533116,Directed,7941,,,1
4334019921,4707533116,Directed,7969,,,1
161486137,4707533116,Directed,7987,,,1
625952932,4707533116,Directed,8121,,,1
173342966,4707533116,Directed,8157,,,1
4537884082,4707533116,Directed,8181,,,1
179946019,4707533116,Directed,8270,,,1
151665073,4707533116,Directed,8284,,,1
182011867,4707533116,Directed,8421,,,1
438397335,4707533116,Directed,8451,,,1
1542328532,4707533116,Directed,8454,,,1
424418331,4707533116,Directed,8458,,,1
3426053313,4707533116,Directed,8489,,,1
38488855,4707533116,Directed,8598,,,1
145063931,4707533116,Directed,8612,,,1
