('3128732737', '4707533116')
('928130773152124928', '4707533116')
('159035296', '4707533116')
('914747935', '4707533116')
('3252181216', '4707533116')
('264537541', '4707533116')
('885324052222668801', '4707533116')
('955911407320616961', '4707533116')
('378770898', '4707533116')
('4814260083', '4707533116')
('4890687269', '4707533116')
('956222433773670400', '4707533116')
('2610156799', '4707533116')
('938180643065946112', '4707533116')
('721154608576491520', '4707533116')
('886351599387496452', '4707533116')
('4519935436', '4707533116')
('4840262903', '4707533116')
('34518850', '4707533116')
('898048723342807040', '4707533116')
('849554587656867841', '4707533116')
('260709741', '4707533116')
('594105756', '4707533116')
('2314068911', '4707533116')
('1458246122', '4707533116')
('1924929906', '4707533116')
('121669823', '4707533116')
('2500762786', '4707533116')
('173310216', '4707533116')
('185191033', '4707533116')
('3046862916', '4707533116')
('392449722', '4707533116')
('398644017', '4707533116')
('3368326677', '4707533116')
('125397551', '4707533116')
('2949163973', '4707533116')
('301034179', '4707533116')
('1891655984', '4707533116')
('370953482', '4707533116')
('2294702125', '4707533116')
('118171899', '4707533116')
('1653907866', '4707533116')
('210787302', '4707533116')
('2494310100', '4707533116')
('167996408', '4707533116')
('1624049390', '4707533116')
('888746710670946304', '4707533116')
('740659323991396352', '4707533116')
('179563784', '4707533116')
('4624652921', '4707533116')
('974942155', '4707533116')
('137571616', '4707533116')
('740267968790155264', '4707533116')
('187234192', '4707533116')
('716282224', '4707533116')
('954717891231993856', '4707533116')
('886026356806627328', '4707533116')
('1354985582', '4707533116')
('463253459', '4707533116')
('142682650', '4707533116')
('923711387708338176', '4707533116')
('821838762430840834', '4707533116')
('2162459267', '4707533116')
('4871641385', '4707533116')
('164042957', '4707533116')
('1962644767', '4707533116')
('853950045724520449', '4707533116')
('630276682', '4707533116')
('1281439802', '4707533116')
('745746892118700032', '4707533116')
('3002855571', '4707533116')
('226561190', '4707533116')
('942125916825817090', '4707533116')
('1571827686', '4707533116')
('942854763170992131', '4707533116')
('172873363', '4707533116')
('108219334', '4707533116')
('704853192773918720', '4707533116')
('743221237783105536', '4707533116')
('756202151500742656', '4707533116')
('2155518462', '4707533116')
('619432463', '4707533116')
('781849538931879940', '4707533116')
('728024487355162624', '4707533116')
('151676737', '4707533116')
('745019695074533376', '4707533116')
('1394869950', '4707533116')
('188400119', '4707533116')
('195603073', '4707533116')
('178879261', '4707533116')
('746092887935455232', '4707533116')
('1222621982', '4707533116')
('145061737', '4707533116')
('622389534', '4707533116')
('3918688756', '4707533116')
('185905083', '4707533116')
('719529771193999361', '4707533116')
('115929151', '4707533116')
('163145475', '4707533116')
('713841058011082752', '4707533116')
('4195171642', '4707533116')
('1030335350', '4707533116')
('4247442441', '4707533116')
('3337546187', '4707533116')
('3357565367', '4707533116')
('49989883', '4707533116')
('3099190497', '4707533116')
('210537919', '4707533116')
('8565932', '4707533116')
('739111348953583617', '4707533116')
('150264310', '4707533116')
('290254208', '4707533116')
('208543060', '4707533116')
('165782032', '4707533116')
('3393316054', '4707533116')
('886759795981791232', '4707533116')
('127045367', '4707533116')
('909534561784205312', '4707533116')
('4334019921', '4707533116')
('161486137', '4707533116')
('173342966', '4707533116')
('179946019', '4707533116')
('151665073', '4707533116')
('424418331', '4707533116')
('145063931', '4707533116')
('263127908', '4707533116')
('164350783', '4707533116')
('3228309136', '4707533116')
('3003521747', '4707533116')
('2712820752', '4707533116')
('877884232722501632', '4707533116')
('260867002', '4707533116')
('790617182', '4707533116')
('746148945861173248', '4707533116')
('3372620381', '4707533116')
('2352210584', '4707533116')
('366837022', '4707533116')
('4486646963', '4707533116')
('838215425284587521', '4707533116')
('2413017614', '4707533116')
('796256028', '4707533116')
('276517334', '4707533116')
('4228795527', '4707533116')
('585205927', '4707533116')
('215279725', '4707533116')
('150371245', '4707533116')
('2647642207', '4707533116')
('935899801715138560', '4707533116')
('127841183', '4707533116')
('189015338', '4707533116')
('212395313', '4707533116')
('2553494264', '4707533116')
('27047088', '4707533116')
('1101614966', '4707533116')
('1358536501', '4707533116')
('105826958', '4707533116')
('1528822513', '4707533116')
('2317821745', '4707533116')
('260773916', '4707533116')
('187453746', '4707533116')
('148681357', '4707533116')
