('254316467', '4707533116')
('4293057442', '4707533116')
('224702381', '4707533116')
('208577217', '4707533116')
('410655585', '4707533116')
('1424382415', '4707533116')
('4194490175', '4707533116')
('885810670717079552', '4707533116')
('268330990', '4707533116')
('747774239399378944', '4707533116')
('3462238936', '4707533116')
('724762789743566848', '4707533116')
('2851420277', '4707533116')
('2432170855', '4707533116')
('1720924015', '4707533116')
('188865871', '4707533116')
('266415072', '4707533116')
('792203275', '4707533116')
('275204537', '4707533116')
('925592059146391552', '4707533116')
('186900540', '4707533116')
('709911025081065476', '4707533116')
('2736098224', '4707533116')
('184639713', '4707533116')
('2838925913', '4707533116')
('1705649064', '4707533116')
('610206288', '4707533116')
('768109231', '4707533116')
('1666591518', '4707533116')
('4429581449', '4707533116')
('371546732', '4707533116')
('2649509616', '4707533116')
('2752272437', '4707533116')
('1469391320', '4707533116')
('4873896923', '4707533116')
('1089728444', '4707533116')
('709777147808911360', '4707533116')
('210935992', '4707533116')
('875882243364982784', '4707533116')
('59787383', '4707533116')
('146431317', '4707533116')
('4896706619', '4707533116')
('2448657036', '4707533116')
('197194091', '4707533116')
('1315716486', '4707533116')
('4588868777', '4707533116')
('145779595', '4707533116')
('179346830', '4707533116')
('954328143002787840', '4707533116')
('234936389', '4707533116')
('183454242', '4707533116')
('907602732906946561', '4707533116')
('8474942', '4707533116')
('568559126', '4707533116')
('109353330', '4707533116')
('3930961283', '4707533116')
('744703980719190016', '4707533116')
('905566472524754944', '4707533116')
('3230145635', '4707533116')
('914634354852327425', '4707533116')
('949263204873621506', '4707533116')
('179553793', '4707533116')
('813154819275898884', '4707533116')
('3893850623', '4707533116')
('832007677291134981', '4707533116')
('818640401460502528', '4707533116')
('858027742834696194', '4707533116')
('4696649916', '4707533116')
('625952932', '4707533116')
('4537884082', '4707533116')
('182011867', '4707533116')
('438397335', '4707533116')
('1542328532', '4707533116')
('3426053313', '4707533116')
('38488855', '4707533116')
('4285527495', '4707533116')
('4823871099', '4707533116')
('182677823', '4707533116')
('716966221816709120', '4707533116')
('933477381003730944', '4707533116')
('4924373523', '4707533116')
('3014345867', '4707533116')
('923293047990968320', '4707533116')
('1880958697', '4707533116')
('924355909459042304', '4707533116')
('4561458511', '4707533116')
('953615537107537921', '4707533116')
('4145398043', '4707533116')
('2340060622', '4707533116')
('1431189150', '4707533116')
('881167176', '4707533116')
('760283410900328448', '4707533116')
('607513888', '4707533116')
('297960694', '4707533116')
('758466578400833536', '4707533116')
('2531359745', '4707533116')
('724991849912500224', '4707533116')
('180185008', '4707533116')
('145043868', '4707533116')
('216960357', '4707533116')
('603298308', '4707533116')
('1155521388', '4707533116')
('3102634617', '4707533116')
('4198045713', '4707533116')
('885945632342585346', '4707533116')
('390427246', '4707533116')
('168682450', '4707533116')
('1918342680', '4707533116')
('288212562', '4707533116')
('2205950088', '4707533116')
('1202433818', '4707533116')
('196172891', '4707533116')
