Source,Target,Type,Id
1722802370,796180188946112512,Directed,9
851568599047208960,796180188946112512,Directed,11
888039092474327042,796180188946112512,Directed,13
248359798,796180188946112512,Directed,38
352646642,796180188946112512,Directed,64
2389888002,796180188946112512,Directed,115
305264627,796180188946112512,Directed,170
800609750,796180188946112512,Directed,254
731227847872782336,796180188946112512,Directed,264
2573614248,796180188946112512,Directed,308
66762249,796180188946112512,Directed,311
3589446557,796180188946112512,Directed,316
815113243,796180188946112512,Directed,349
4531140693,796180188946112512,Directed,352
245203254,796180188946112512,Directed,356
87001839,796180188946112512,Directed,360
882759223393890304,796180188946112512,Directed,472
67190850,796180188946112512,Directed,492
59359743,796180188946112512,Directed,538
94702418,796180188946112512,Directed,564
168276807,796180188946112512,Directed,575
449770990,796180188946112512,Directed,646
953109673577795585,796180188946112512,Directed,676
3657826517,796180188946112512,Directed,696
54416418,796180188946112512,Directed,708
475022766,796180188946112512,Directed,714
48888551,796180188946112512,Directed,721
306160035,796180188946112512,Directed,745
4312783217,796180188946112512,Directed,755
3092572929,796180188946112512,Directed,759
2561527081,796180188946112512,Directed,766
2922044296,796180188946112512,Directed,827
3711494777,796180188946112512,Directed,836
767885872968728576,796180188946112512,Directed,845
3392296385,796180188946112512,Directed,847
266121799,796180188946112512,Directed,853
941544372,796180188946112512,Directed,861
3247085582,796180188946112512,Directed,874
1369562863,796180188946112512,Directed,888
1375722132,796180188946112512,Directed,909
266830050,796180188946112512,Directed,933
2484814999,796180188946112512,Directed,937
863459952781910019,796180188946112512,Directed,942
78105862,796180188946112512,Directed,956
2999414207,796180188946112512,Directed,957
2531179504,796180188946112512,Directed,971
2844228765,796180188946112512,Directed,973
715011965249138688,796180188946112512,Directed,979
831172762374909952,796180188946112512,Directed,986
356081112,796180188946112512,Directed,987
1618428204,796180188946112512,Directed,988
1100986550,796180188946112512,Directed,991
203724312,796180188946112512,Directed,997
2356269456,796180188946112512,Directed,998
719992403319517184,796180188946112512,Directed,1002
190783705,796180188946112512,Directed,1003
418185416,796180188946112512,Directed,1011
3771819681,796180188946112512,Directed,1030
35309246,796180188946112512,Directed,1051
1186917404,796180188946112512,Directed,1058
436673424,796180188946112512,Directed,1066
2750516044,796180188946112512,Directed,1070
773569207183212546,796180188946112512,Directed,1071
929704937705091072,796180188946112512,Directed,1088
868409325445943296,796180188946112512,Directed,1091
321053957,796180188946112512,Directed,1095
628904957,796180188946112512,Directed,1096
265660960,796180188946112512,Directed,1103
926524114952769536,796180188946112512,Directed,1109
578132460,796180188946112512,Directed,1119
14372459,796180188946112512,Directed,1134
1612858460,796180188946112512,Directed,1147
2891032133,796180188946112512,Directed,1166
2710271814,796180188946112512,Directed,1178
2775767607,796180188946112512,Directed,1204
866386779708043265,796180188946112512,Directed,1223
842931522047004676,796180188946112512,Directed,1224
783802258282651648,796180188946112512,Directed,1230
3091270710,796180188946112512,Directed,1237
930975208139304961,796180188946112512,Directed,1238
766440461288501249,796180188946112512,Directed,1245
2153352452,796180188946112512,Directed,1274
930856189046509569,796180188946112512,Directed,1294
592053214,796180188946112512,Directed,1295
760740890,796180188946112512,Directed,1296
261543136,796180188946112512,Directed,1298
213049978,796180188946112512,Directed,1316
756327423826923520,796180188946112512,Directed,1317
453406270,796180188946112512,Directed,1325
196600621,796180188946112512,Directed,1329
733029174873559042,796180188946112512,Directed,1335
871094258052280320,796180188946112512,Directed,1367
33581872,796180188946112512,Directed,1374
3192862599,796180188946112512,Directed,1377
124029562,796180188946112512,Directed,1382
16408655,796180188946112512,Directed,1389
721396883357364228,796180188946112512,Directed,1394
172161382,796180188946112512,Directed,1410
172425591,796180188946112512,Directed,1413
127390168,796180188946112512,Directed,1432
699742364114485248,796180188946112512,Directed,1441
3340067392,796180188946112512,Directed,1442
914650668597743617,796180188946112512,Directed,1455
212771971,796180188946112512,Directed,1460
3387635817,796180188946112512,Directed,1463
922513446184325120,796180188946112512,Directed,1484
2725765589,796180188946112512,Directed,1487
177665890,796180188946112512,Directed,1490
4096410755,796180188946112512,Directed,1497
895507848653934593,796180188946112512,Directed,1512
305319539,796180188946112512,Directed,1516
758776401805905926,796180188946112512,Directed,1517
3321579509,796180188946112512,Directed,1521
15246056,796180188946112512,Directed,1532
82724655,796180188946112512,Directed,1550
788092155147542529,796180188946112512,Directed,1562
1013832223,796180188946112512,Directed,1572
3072861869,796180188946112512,Directed,1575
2720479519,796180188946112512,Directed,1576
954351034180218882,796180188946112512,Directed,1578
330967960,796180188946112512,Directed,1599
34618703,796180188946112512,Directed,1602
43848867,796180188946112512,Directed,1610
882733805114712065,796180188946112512,Directed,1612
579337629,796180188946112512,Directed,1614
4835138613,796180188946112512,Directed,1624
3385389947,796180188946112512,Directed,1633
16005780,796180188946112512,Directed,1641
318053313,796180188946112512,Directed,1653
1210351603,796180188946112512,Directed,1655
206353780,796180188946112512,Directed,1656
2678507336,796180188946112512,Directed,1666
63330196,796180188946112512,Directed,1669
871540926807777281,796180188946112512,Directed,1671
3243036389,796180188946112512,Directed,1674
1460449765,796180188946112512,Directed,1676
254252958,796180188946112512,Directed,1681
737598804,796180188946112512,Directed,1682
227140387,796180188946112512,Directed,1699
97891524,796180188946112512,Directed,1702
776191549378035716,796180188946112512,Directed,1707
913907700794380288,796180188946112512,Directed,1708
2268344310,796180188946112512,Directed,1719
2188378436,796180188946112512,Directed,1720
861340822264061952,796180188946112512,Directed,1742
471235904,796180188946112512,Directed,1747
186569370,796180188946112512,Directed,1748
3063095638,796180188946112512,Directed,1765
436969108,796180188946112512,Directed,1775
405256159,796180188946112512,Directed,1785
129122784,796180188946112512,Directed,1787
808846312154210304,796180188946112512,Directed,1812
99764045,796180188946112512,Directed,1818
892213408111710208,796180188946112512,Directed,1826
68509503,796180188946112512,Directed,1828
56274689,796180188946112512,Directed,1840
186616065,796180188946112512,Directed,1847
2701697057,796180188946112512,Directed,1857
3309812519,796180188946112512,Directed,1862
2339521033,796180188946112512,Directed,1903
713425668911013888,796180188946112512,Directed,1906
732212619810050048,796180188946112512,Directed,1919
90635785,796180188946112512,Directed,1928
152455440,796180188946112512,Directed,1949
537124775,796180188946112512,Directed,1951
946312539289407488,796180188946112512,Directed,1980
166224061,796180188946112512,Directed,1984
52207690,796180188946112512,Directed,2014
3084928029,796180188946112512,Directed,2017
226503934,796180188946112512,Directed,2052
755794987674177538,796180188946112512,Directed,2055
178738815,796180188946112512,Directed,2062
41465844,796180188946112512,Directed,2064
4180425020,796180188946112512,Directed,2072
735918436505751552,796180188946112512,Directed,2083
710637377455333377,796180188946112512,Directed,2091
841106593798324224,796180188946112512,Directed,2092
603034613,796180188946112512,Directed,2095
144619510,796180188946112512,Directed,2134
347448770,796180188946112512,Directed,2135
2738518035,796180188946112512,Directed,2137
106403895,796180188946112512,Directed,2150
2881612125,796180188946112512,Directed,2159
1543771260,796180188946112512,Directed,2162
853756662448082948,796180188946112512,Directed,2168
885315767989874689,796180188946112512,Directed,2169
3251550112,796180188946112512,Directed,2178
437525665,796180188946112512,Directed,2187
132671643,796180188946112512,Directed,2195
42058681,796180188946112512,Directed,2196
2730341277,796180188946112512,Directed,2215
796180188946112512,796180188946112512,Directed,2218
3539728875,796180188946112512,Directed,2223
259719897,796180188946112512,Directed,2225
170498695,796180188946112512,Directed,2227
3428296762,796180188946112512,Directed,2245
800829079129849856,796180188946112512,Directed,2282
3230672518,796180188946112512,Directed,2306
2548819607,796180188946112512,Directed,2334
2996779787,796180188946112512,Directed,2352
952518892299145217,796180188946112512,Directed,2353
474363558,796180188946112512,Directed,2354
82274894,796180188946112512,Directed,2359
2513077774,796180188946112512,Directed,2380
3087862709,796180188946112512,Directed,2415
376193773,796180188946112512,Directed,2433
1714075339,796180188946112512,Directed,2443
367350153,796180188946112512,Directed,2463
3376550308,796180188946112512,Directed,2464
3817965622,796180188946112512,Directed,2480
39653136,796180188946112512,Directed,2482
401549800,796180188946112512,Directed,2494
951138253071179777,796180188946112512,Directed,2511
813942331489603584,796180188946112512,Directed,2517
565823615,796180188946112512,Directed,2526
2504592471,796180188946112512,Directed,2531
408328274,796180188946112512,Directed,2538
823194031278739456,796180188946112512,Directed,2544
736558270723293184,796180188946112512,Directed,2549
151584335,796180188946112512,Directed,2563
2559502586,796180188946112512,Directed,2567
954405626951684096,796180188946112512,Directed,2570
3234255214,796180188946112512,Directed,2595
