('1722802370', '796180188946112512')
('888039092474327042', '796180188946112512')
('248359798', '796180188946112512')
('352646642', '796180188946112512')
('2389888002', '796180188946112512')
('305264627', '796180188946112512')
('731227847872782336', '796180188946112512')
('2573614248', '796180188946112512')
('66762249', '796180188946112512')
('3589446557', '796180188946112512')
('815113243', '796180188946112512')
('4531140693', '796180188946112512')
('245203254', '796180188946112512')
('67190850', '796180188946112512')
('59359743', '796180188946112512')
('94702418', '796180188946112512')
('168276807', '796180188946112512')
('449770990', '796180188946112512')
('953109673577795585', '796180188946112512')
('3657826517', '796180188946112512')
('54416418', '796180188946112512')
('475022766', '796180188946112512')
('306160035', '796180188946112512')
('2922044296', '796180188946112512')
('767885872968728576', '796180188946112512')
('3392296385', '796180188946112512')
('941544372', '796180188946112512')
('3247085582', '796180188946112512')
('1369562863', '796180188946112512')
('1375722132', '796180188946112512')
('266830050', '796180188946112512')
('2484814999', '796180188946112512')
('863459952781910019', '796180188946112512')
('78105862', '796180188946112512')
('2531179504', '796180188946112512')
('2844228765', '796180188946112512')
('715011965249138688', '796180188946112512')
('356081112', '796180188946112512')
('1618428204', '796180188946112512')
('1100986550', '796180188946112512')
('203724312', '796180188946112512')
('2356269456', '796180188946112512')
('719992403319517184', '796180188946112512')
('190783705', '796180188946112512')
('418185416', '796180188946112512')
('3771819681', '796180188946112512')
('35309246', '796180188946112512')
('1186917404', '796180188946112512')
('436673424', '796180188946112512')
('2750516044', '796180188946112512')
('929704937705091072', '796180188946112512')
('868409325445943296', '796180188946112512')
('321053957', '796180188946112512')
('628904957', '796180188946112512')
('265660960', '796180188946112512')
('926524114952769536', '796180188946112512')
('578132460', '796180188946112512')
('14372459', '796180188946112512')
('1612858460', '796180188946112512')
('2891032133', '796180188946112512')
('2710271814', '796180188946112512')
('2775767607', '796180188946112512')
('866386779708043265', '796180188946112512')
('842931522047004676', '796180188946112512')
('783802258282651648', '796180188946112512')
('3091270710', '796180188946112512')
('930975208139304961', '796180188946112512')
('766440461288501249', '796180188946112512')
('2153352452', '796180188946112512')
('930856189046509569', '796180188946112512')
('592053214', '796180188946112512')
('760740890', '796180188946112512')
('261543136', '796180188946112512')
('213049978', '796180188946112512')
('756327423826923520', '796180188946112512')
('453406270', '796180188946112512')
('196600621', '796180188946112512')
('733029174873559042', '796180188946112512')
('871094258052280320', '796180188946112512')
('33581872', '796180188946112512')
('124029562', '796180188946112512')
('16408655', '796180188946112512')
('721396883357364228', '796180188946112512')
('127390168', '796180188946112512')
('699742364114485248', '796180188946112512')
('3340067392', '796180188946112512')
('914650668597743617', '796180188946112512')
('212771971', '796180188946112512')
('3387635817', '796180188946112512')
('922513446184325120', '796180188946112512')
('2725765589', '796180188946112512')
('177665890', '796180188946112512')
('4096410755', '796180188946112512')
('895507848653934593', '796180188946112512')
('305319539', '796180188946112512')
('758776401805905926', '796180188946112512')
('3321579509', '796180188946112512')
('15246056', '796180188946112512')
('82724655', '796180188946112512')
('1013832223', '796180188946112512')
('2720479519', '796180188946112512')
('954351034180218882', '796180188946112512')
('330967960', '796180188946112512')
('34618703', '796180188946112512')
('43848867', '796180188946112512')
('882733805114712065', '796180188946112512')
('579337629', '796180188946112512')
('3385389947', '796180188946112512')
('16005780', '796180188946112512')
('318053313', '796180188946112512')
('1210351603', '796180188946112512')
('63330196', '796180188946112512')
('871540926807777281', '796180188946112512')
('3243036389', '796180188946112512')
('1460449765', '796180188946112512')
('254252958', '796180188946112512')
('737598804', '796180188946112512')
('227140387', '796180188946112512')
('97891524', '796180188946112512')
('2268344310', '796180188946112512')
('2188378436', '796180188946112512')
('861340822264061952', '796180188946112512')
('471235904', '796180188946112512')
('186569370', '796180188946112512')
('3063095638', '796180188946112512')
('436969108', '796180188946112512')
('405256159', '796180188946112512')
('129122784', '796180188946112512')
('99764045', '796180188946112512')
('892213408111710208', '796180188946112512')
('68509503', '796180188946112512')
('186616065', '796180188946112512')
('2339521033', '796180188946112512')
('713425668911013888', '796180188946112512')
('732212619810050048', '796180188946112512')
('90635785', '796180188946112512')
('152455440', '796180188946112512')
('537124775', '796180188946112512')
('946312539289407488', '796180188946112512')
('166224061', '796180188946112512')
('3084928029', '796180188946112512')
('226503934', '796180188946112512')
('755794987674177538', '796180188946112512')
('41465844', '796180188946112512')
('4180425020', '796180188946112512')
('735918436505751552', '796180188946112512')
('710637377455333377', '796180188946112512')
('603034613', '796180188946112512')
('144619510', '796180188946112512')
('1543771260', '796180188946112512')
('885315767989874689', '796180188946112512')
('3251550112', '796180188946112512')
('437525665', '796180188946112512')
('132671643', '796180188946112512')
('42058681', '796180188946112512')
('796180188946112512', '796180188946112512')
('170498695', '796180188946112512')
('3428296762', '796180188946112512')
('800829079129849856', '796180188946112512')
('3230672518', '796180188946112512')
('2548819607', '796180188946112512')
('2996779787', '796180188946112512')
('474363558', '796180188946112512')
('3087862709', '796180188946112512')
('376193773', '796180188946112512')
('1714075339', '796180188946112512')
('367350153', '796180188946112512')
('3817965622', '796180188946112512')
('39653136', '796180188946112512')
('401549800', '796180188946112512')
('951138253071179777', '796180188946112512')
('813942331489603584', '796180188946112512')
('565823615', '796180188946112512')
('2504592471', '796180188946112512')
('408328274', '796180188946112512')
('954405626951684096', '796180188946112512')
('3234255214', '796180188946112512')
('38960783', '796180188946112512')
('1660555627', '796180188946112512')
('954393819495137280', '796180188946112512')
('637149037', '796180188946112512')
('200731701', '796180188946112512')
('952356764', '796180188946112512')
('122781291', '796180188946112512')
('320929236', '796180188946112512')
('3307544067', '796180188946112512')
('378896460', '796180188946112512')
('81448760', '796180188946112512')
('1708119518', '796180188946112512')
('927529662955311104', '796180188946112512')
('57174123', '796180188946112512')
('756530855422615552', '796180188946112512')
('991656648', '796180188946112512')
('1945437912', '796180188946112512')
('20196071', '796180188946112512')
('4307159673', '796180188946112512')
('346135127', '796180188946112512')
('170416855', '796180188946112512')
('923303766824312832', '796180188946112512')
('830052063891558400', '796180188946112512')
('228387414', '796180188946112512')
('763390972583641088', '796180188946112512')
('703818482731712513', '796180188946112512')
('2570140446', '796180188946112512')
('392792096', '796180188946112512')
('60881028', '796180188946112512')
('852282244076937216', '796180188946112512')
('76487789', '796180188946112512')
('1378217168', '796180188946112512')
('129823990', '796180188946112512')
('46491067', '796180188946112512')
('2182359842', '796180188946112512')
('4475774841', '796180188946112512')
('119110532', '796180188946112512')
('147220412', '796180188946112512')
('4758564017', '796180188946112512')
('35672201', '796180188946112512')
('448479531', '796180188946112512')
('913898128146870272', '796180188946112512')
('1609079756', '796180188946112512')
('4585134615', '796180188946112512')
('1323071690', '796180188946112512')
('445194692', '796180188946112512')
('122466378', '796180188946112512')
('3171823721', '796180188946112512')
('383995281', '796180188946112512')
('162855032', '796180188946112512')
('804431579737165824', '796180188946112512')
('620200058', '796180188946112512')
('51136335', '796180188946112512')
('811613413365469184', '796180188946112512')
('81963594', '796180188946112512')
('3051666545', '796180188946112512')
('168765255', '796180188946112512')
('894705957292343296', '796180188946112512')
('3830804962', '796180188946112512')
('951972803724677120', '796180188946112512')
('3003476044', '796180188946112512')
('953123571047522304', '796180188946112512')
('453331799', '796180188946112512')
('160715140', '796180188946112512')
('25079165', '796180188946112512')
('807888243454840832', '796180188946112512')
('2993074306', '796180188946112512')
('903005463209545731', '796180188946112512')
('4483779586', '796180188946112512')
('2670569101', '796180188946112512')
('3343628122', '796180188946112512')
('2648360758', '796180188946112512')
('3493407857', '796180188946112512')
('1918576363', '796180188946112512')
('2469415756', '796180188946112512')
('169334492', '796180188946112512')
('2329727725', '796180188946112512')
('706680291537117185', '796180188946112512')
('3739898001', '796180188946112512')
('974960466', '796180188946112512')
('790648999539777536', '796180188946112512')
('2293624002', '796180188946112512')
('2815294772', '796180188946112512')
('951798372993830913', '796180188946112512')
('1257479564', '796180188946112512')
('381658306', '796180188946112512')
('2887338737', '796180188946112512')
('3083244298', '796180188946112512')
('228213632', '796180188946112512')
('53573598', '796180188946112512')
('2901528658', '796180188946112512')
('39160660', '796180188946112512')
('2772926531', '796180188946112512')
('786385812808163329', '796180188946112512')
('4796924434', '796180188946112512')
('829890722249719808', '796180188946112512')
('253134452', '796180188946112512')
('82929398', '796180188946112512')
('780560957026086912', '796180188946112512')
('76679251', '796180188946112512')
('900432270242271232', '796180188946112512')
('3789661037', '796180188946112512')
('859887615537008643', '796180188946112512')
('716656653148536832', '796180188946112512')
('317976001', '796180188946112512')
('3657104296', '796180188946112512')
('845624096801083392', '796180188946112512')
('336697514', '796180188946112512')
('83703004', '796180188946112512')
('79550584', '796180188946112512')
('3379275742', '796180188946112512')
('3401721700', '796180188946112512')
('52513350', '796180188946112512')
('2840640233', '796180188946112512')
('34942571', '796180188946112512')
('157994707', '796180188946112512')
('2726077027', '796180188946112512')
('417069378', '796180188946112512')
('2732838936', '796180188946112512')
('933145533505564672', '796180188946112512')
('2312167478', '796180188946112512')
('938176621068062720', '796180188946112512')
('341276908', '796180188946112512')
('4900033095', '796180188946112512')
('907721925438386177', '796180188946112512')
('147632898', '796180188946112512')
('2455753574', '796180188946112512')
('24681913', '796180188946112512')
('70688885', '796180188946112512')
('58816010', '796180188946112512')
('794854674499325952', '796180188946112512')
('2305640779', '796180188946112512')
('2165294527', '796180188946112512')
('222159641', '796180188946112512')
('2347722996', '796180188946112512')
