('851568599047208960', '796180188946112512')
('800609750', '796180188946112512')
('87001839', '796180188946112512')
('882759223393890304', '796180188946112512')
('48888551', '796180188946112512')
('4312783217', '796180188946112512')
('3092572929', '796180188946112512')
('2561527081', '796180188946112512')
('3711494777', '796180188946112512')
('266121799', '796180188946112512')
('2999414207', '796180188946112512')
('831172762374909952', '796180188946112512')
('773569207183212546', '796180188946112512')
('3192862599', '796180188946112512')
('172161382', '796180188946112512')
('172425591', '796180188946112512')
('3072861869', '796180188946112512')
('4835138613', '796180188946112512')
('206353780', '796180188946112512')
('2678507336', '796180188946112512')
('776191549378035716', '796180188946112512')
('913907700794380288', '796180188946112512')
('808846312154210304', '796180188946112512')
('56274689', '796180188946112512')
('2701697057', '796180188946112512')
('3309812519', '796180188946112512')
('52207690', '796180188946112512')
('178738815', '796180188946112512')
('841106593798324224', '796180188946112512')
('347448770', '796180188946112512')
('2738518035', '796180188946112512')
('106403895', '796180188946112512')
('2881612125', '796180188946112512')
('2730341277', '796180188946112512')
('3539728875', '796180188946112512')
('259719897', '796180188946112512')
('82274894', '796180188946112512')
('2513077774', '796180188946112512')
('3376550308', '796180188946112512')
('823194031278739456', '796180188946112512')
('736558270723293184', '796180188946112512')
('151584335', '796180188946112512')
('2559502586', '796180188946112512')
('2852557295', '796180188946112512')
('780371988', '796180188946112512')
('714582936188805120', '796180188946112512')
('858121624943513601', '796180188946112512')
('712749456085671938', '796180188946112512')
('847844733410041856', '796180188946112512')
('930055245497028609', '796180188946112512')
('1075202977', '796180188946112512')
('350729407', '796180188946112512')
('1337390754', '796180188946112512')
('962482298', '796180188946112512')
('2591850176', '796180188946112512')
('881147061734920194', '796180188946112512')
('1526365735', '796180188946112512')
('4195597942', '796180188946112512')
('719250640153755649', '796180188946112512')
('85362144', '796180188946112512')
('918560614561341441', '796180188946112512')
('29114470', '796180188946112512')
('436691393', '796180188946112512')
('11368622', '796180188946112512')
('3331527435', '796180188946112512')
('905792257416146946', '796180188946112512')
('1687073760', '796180188946112512')
('705827223408910336', '796180188946112512')
('52737586', '796180188946112512')
('46976944', '796180188946112512')
('294109109', '796180188946112512')
('1437163980', '796180188946112512')
('186285366', '796180188946112512')
('953024140876926976', '796180188946112512')
('199324380', '796180188946112512')
('411689239', '796180188946112512')
('51798859', '796180188946112512')
('3154004358', '796180188946112512')
('173902747', '796180188946112512')
('1723791013', '796180188946112512')
('810123426660806658', '796180188946112512')
('3299820893', '796180188946112512')
('922464912269561856', '796180188946112512')
('929847565', '796180188946112512')
('127244683', '796180188946112512')
('780759202218115072', '796180188946112512')
('3174478624', '796180188946112512')
('173516636', '796180188946112512')
('181166615', '796180188946112512')
('586033644', '796180188946112512')
('892313245', '796180188946112512')
('893491285', '796180188946112512')
('46116982', '796180188946112512')
('2561755261', '796180188946112512')
('33897947', '796180188946112512')
('755918352338608132', '796180188946112512')
('2944864060', '796180188946112512')
('635886258', '796180188946112512')
('949643811059355648', '796180188946112512')
('419129325', '796180188946112512')
('96890257', '796180188946112512')
('501326455', '796180188946112512')
('88946240', '796180188946112512')
('2174653475', '796180188946112512')
('139742707', '796180188946112512')
('137116660', '796180188946112512')
('51514819', '796180188946112512')
('96639729', '796180188946112512')
('222593619', '796180188946112512')
('4583503708', '796180188946112512')
('872564054916780032', '796180188946112512')
('1367781954', '796180188946112512')
('41378065', '796180188946112512')
('2615620226', '796180188946112512')
('53665974', '796180188946112512')
('2308646406', '796180188946112512')
('54503346', '796180188946112512')
('298057917', '796180188946112512')
('58634781', '796180188946112512')
('52493236', '796180188946112512')
('152601193', '796180188946112512')
('3130421673', '796180188946112512')
('4655791948', '796180188946112512')
('2550541515', '796180188946112512')
('867056783751344129', '796180188946112512')
('629841491', '796180188946112512')
('2685208053', '796180188946112512')
('847906861', '796180188946112512')
('88448104', '796180188946112512')
('189689217', '796180188946112512')
('96653594', '796180188946112512')
('69428038', '796180188946112512')
('3415862903', '796180188946112512')
('2518034952', '796180188946112512')
('3670175775', '796180188946112512')
('2717131142', '796180188946112512')
('122938195', '796180188946112512')
('1053843626', '796180188946112512')
('63324684', '796180188946112512')
('789770605721772032', '796180188946112512')
('49730840', '796180188946112512')
('211166317', '796180188946112512')
('27733043', '796180188946112512')
('276597344', '796180188946112512')
('360344062', '796180188946112512')
('787343426765414400', '796180188946112512')
('420099690', '796180188946112512')
('929770668320874496', '796180188946112512')
('583971297', '796180188946112512')
('130309184', '796180188946112512')
('789705925', '796180188946112512')
('4322206281', '796180188946112512')
('352444593', '796180188946112512')
('75772981', '796180188946112512')
('50289960', '796180188946112512')
('895227350744543233', '796180188946112512')
('2609357698', '796180188946112512')
