Source,Target,Type,Id,Label,timeset,Weight
2999414207,31139434,Directed,1,,,1
65724198,31139434,Directed,10,,,1
65558341,31139434,Directed,19,,,1
748637856621596673,31139434,Directed,27,,,1
885994113614721025,31139434,Directed,33,,,2
858887159163564032,31139434,Directed,41,,,1
197543860,31139434,Directed,43,,,1
897224643886690309,31139434,Directed,47,,,1
1405508958,31139434,Directed,50,,,2
149129850,31139434,Directed,68,,,1
872102932640133124,31139434,Directed,83,,,1
2172348015,31139434,Directed,92,,,2
88946240,31139434,Directed,97,,,1
798641611915886592,31139434,Directed,99,,,3
167075969,31139434,Directed,100,,,1
826215661047250945,31139434,Directed,377,,,1
2615433050,31139434,Directed,682,,,1
884921137934860288,2172348015,Directed,733,,,1
1613419584,31139434,Directed,752,,,1
952837954459881473,31139434,Directed,1075,,,1
3438774041,31139434,Directed,1093,,,1
884921137934860288,83846070,Directed,1424,,,1
938477736955400195,31139434,Directed,1494,,,1
2172348015,83846070,Directed,1854,,,1
778955941651841025,31139434,Directed,1917,,,1
1210951297,31139434,Directed,2086,,,1
709071088047824898,31139434,Directed,2096,,,1
20465976,31139434,Directed,2360,,,1
257096349,31139434,Directed,2633,,,1
3307544067,31139434,Directed,2700,,,1
951796637533458433,31139434,Directed,3050,,,1
200523096,31139434,Directed,3737,,,1
1687073760,4187909913,Directed,3761,,,1
21363569,31139434,Directed,3778,,,1
1687073760,31139434,Directed,3822,,,1
298207476,31139434,Directed,4016,,,1
2632787063,31139434,Directed,4070,,,2
940914776498110464,31139434,Directed,4077,,,1
92865851,31139434,Directed,4291,,,1
1356765876,31139434,Directed,4343,,,1
123567016,31139434,Directed,4367,,,1
3090587442,31139434,Directed,4409,,,1
409547161,31139434,Directed,4573,,,1
874607817306640384,31139434,Directed,4763,,,1
1616468359,31139434,Directed,4786,,,1
3130421673,31139434,Directed,4923,,,1
1587234918,31139434,Directed,5185,,,1
27702071,31139434,Directed,5322,,,1
59830170,31139434,Directed,5462,,,1
176618654,4187909913,Directed,5605,,,1
926947448471326722,31139434,Directed,5683,,,1
740348089425350656,31139434,Directed,5712,,,1
867882084286816256,31139434,Directed,5732,,,1
3546321201,31139434,Directed,5868,,,1
74198459,4187909913,Directed,6065,,,1
1639289198,31139434,Directed,6125,,,1
2455753574,31139434,Directed,6137,,,1
2790547251,31139434,Directed,6230,,,1
737054059421683712,4187909913,Directed,6251,,,1
2735183691,31139434,Directed,6296,,,1
757999769746808832,31139434,Directed,6369,,,1
2176325032,31139434,Directed,6494,,,1
2176325032,56456210,Directed,6520,,,4
4655791948,31139434,Directed,6577,,,1
59333213,31139434,Directed,6596,,,1
2735183691,83846070,Directed,6856,,,1
2956594157,4187909913,Directed,7051,,,1
876475416,31139434,Directed,7161,,,1
808253188159770625,31139434,Directed,7162,,,1
942540518222901249,31139434,Directed,7196,,,1
1356765876,4187909913,Directed,7218,,,1
708012233222176768,31139434,Directed,7323,,,1
3323590083,31139434,Directed,7338,,,1
395011753,2172348015,Directed,7562,,,1
885994113614721025,2172348015,Directed,7577,,,1
625952932,31139434,Directed,7733,,,1
2956594157,31139434,Directed,7765,,,1
326356695,31139434,Directed,7890,,,1
944244218947612672,31139434,Directed,7968,,,1
3043087224,31139434,Directed,7985,,,1
908106793,31139434,Directed,7996,,,1
944244218947612672,1347874969,Directed,8033,,,1
862070322429911044,31139434,Directed,8105,,,1
807331582382108672,31139434,Directed,8215,,,1
928378748080214016,31139434,Directed,8231,,,1
42361572,31139434,Directed,8267,,,1
352444593,31139434,Directed,8336,,,1
2210270314,31139434,Directed,8346,,,1
586179455,31139434,Directed,8389,,,1
888164604874031109,31139434,Directed,8525,,,1
4492805597,31139434,Directed,8648,,,1
2310558745,31139434,Directed,8711,,,1
314016045,31139434,Directed,8729,,,1
113751840,31139434,Directed,8751,,,1
2735183691,4187909913,Directed,9094,,,1
14482415,31139434,Directed,9403,,,1
176618654,31139434,Directed,9456,,,1
