Source,Target,Type,Id,Label,timeset,Weight
946212437031833600,76049312,Directed,300,,,1
884921137934860288,76049312,Directed,739,,,5
2900983568,76049312,Directed,943,,,1
4788548206,76049312,Directed,994,,,1
3319189457,76049312,Directed,1619,,,1
170498695,76049312,Directed,2204,,,2
100642054,76049312,Directed,2498,,,2
991656648,76049312,Directed,2791,,,1
228213632,76049312,Directed,3222,,,1
162165589,76049312,Directed,3285,,,1
146260310,76049312,Directed,3380,,,1
2863865074,76049312,Directed,3518,,,1
310301043,76049312,Directed,3592,,,1
1687073760,76049312,Directed,3659,,,1
880806972173553665,76049312,Directed,3682,,,1
35022515,76049312,Directed,3732,,,1
722112676797804544,76049312,Directed,3894,,,1
1537393338,76049312,Directed,4180,,,1
904509194228948992,76049312,Directed,4352,,,1
93977859,76049312,Directed,4527,,,1
3634177276,76049312,Directed,4904,,,1
344246425,76049312,Directed,4980,,,1
803057674770382849,76049312,Directed,5098,,,5
768501582069690368,76049312,Directed,5247,,,1
130233687,76049312,Directed,5300,,,1
845658317632495616,76049312,Directed,5463,,,1
1517155512,76049312,Directed,5556,,,1
2605112405,76049312,Directed,5656,,,1
215449852,76049312,Directed,5664,,,1
740348089425350656,76049312,Directed,5723,,,1
87589209,76049312,Directed,5759,,,1
1106531994,76049312,Directed,6060,,,1
52076129,76049312,Directed,6064,,,2
913448262023176192,76049312,Directed,6089,,,1
36419048,76049312,Directed,6109,,,1
106226670,76049312,Directed,6126,,,1
589154056,76049312,Directed,6162,,,3
30201853,76049312,Directed,6166,,,1
3386124935,76049312,Directed,6183,,,1
59229498,76049312,Directed,6198,,,1
43272674,76049312,Directed,6297,,,1
414306390,76049312,Directed,6349,,,1
53719842,76049312,Directed,6354,,,1
48381235,76049312,Directed,6363,,,1
2735183691,76049312,Directed,6412,,,4
1151388890,76049312,Directed,6431,,,1
873139116401209346,76049312,Directed,6452,,,1
181166615,76049312,Directed,6483,,,1
4615581436,76049312,Directed,6490,,,1
79758292,76049312,Directed,6503,,,1
945699245662855168,76049312,Directed,6518,,,1
155681633,76049312,Directed,6575,,,1
4655791948,76049312,Directed,6581,,,1
2609357698,76049312,Directed,6594,,,1
152601193,76049312,Directed,6631,,,1
719584228317523968,76049312,Directed,6659,,,1
220308320,76049312,Directed,6728,,,1
2374511598,76049312,Directed,6852,,,1
3395103905,76049312,Directed,6884,,,1
46180835,76049312,Directed,7060,,,1
130230700,76049312,Directed,7087,,,1
69712655,76049312,Directed,7098,,,2
36206294,76049312,Directed,7188,,,1
2290091930,76049312,Directed,7190,,,1
1082312654,76049312,Directed,7221,,,1
2172348015,76049312,Directed,7239,,,2
50288953,76049312,Directed,7481,,,1
226999267,76049312,Directed,7524,,,1
385462118,76049312,Directed,7566,,,1
904914834910830593,76049312,Directed,7731,,,1
955957093735026688,76049312,Directed,7902,,,1
70778075,76049312,Directed,7916,,,2
78105862,76049312,Directed,7932,,,1
871148841415921664,76049312,Directed,7945,,,1
428298353,76049312,Directed,7952,,,1
96225988,76049312,Directed,8008,,,1
3126474640,76049312,Directed,8045,,,1
145695327,76049312,Directed,8067,,,1
87983524,76049312,Directed,8162,,,1
194302770,76049312,Directed,8198,,,1
1447787984,76049312,Directed,8206,,,2
4439973315,76049312,Directed,8213,,,1
4062609137,76049312,Directed,8310,,,1
872102932640133124,76049312,Directed,8351,,,4
