('2900983568', '76049312')
('3319189457', '76049312')
('991656648', '76049312')
('228213632', '76049312')
('162165589', '76049312')
('146260310', '76049312')
('2863865074', '76049312')
('310301043', '76049312')
('1537393338', '76049312')
('904509194228948992', '76049312')
('93977859', '76049312')
('3634177276', '76049312')
('768501582069690368', '76049312')
('845658317632495616', '76049312')
('1517155512', '76049312')
('2605112405', '76049312')
('215449852', '76049312')
('1106531994', '76049312')
('913448262023176192', '76049312')
('36419048', '76049312')
('1151388890', '76049312')
('4615581436', '76049312')
('155681633', '76049312')
('4655791948', '76049312')
('220308320', '76049312')
('2374511598', '76049312')
('3395103905', '76049312')
('36206294', '76049312')
('2290091930', '76049312')
('1082312654', '76049312')
('385462118', '76049312')
('955957093735026688', '76049312')
('428298353', '76049312')
('3126474640', '76049312')
('194302770', '76049312')
('4439973315', '76049312')
('977025006', '76049312')
('2743860585', '76049312')
('164680008', '76049312')
('3130421673', '76049312')
('1621260836', '76049312')
('3236408297', '76049312')
('2192482566', '76049312')
('3008504830', '76049312')
('162813820', '76049312')
('2227465351', '76049312')
('1258230283', '76049312')
('296432997', '76049312')
('3199651667', '76049312')
('920446114372911104', '76049312')
('25994503', '76049312')
('434154290', '76049312')
('63850014', '76049312')
('592737644', '76049312')
('721459397642297345', '76049312')
('822463376', '76049312')
('549408467', '76049312')
('2322729079', '76049312')
('1591524228', '76049312')
('354391391', '76049312')
('575309063', '76049312')
('461318013', '76049312')
('160190728', '76049312')
('206538611', '76049312')
('715201489623457793', '76049312')
('1375722132', '76049312')
('2203351843', '76049312')
('463968164', '76049312')
('52770783', '76049312')
('299766828', '76049312')
('749014172948627456', '76049312')
('831898788335869952', '76049312')
('1475982288', '76049312')
('1332832716', '76049312')
('1357537712', '76049312')
('66881372', '76049312')
('2537182193', '76049312')
('2745225418', '76049312')
('256713865', '76049312')
('359569903', '76049312')
('855167058585296896', '76049312')
('69681616', '76049312')
('719935268233605120', '76049312')
('192046318', '76049312')
('1498609974', '76049312')
('488811765', '76049312')
('109631661', '76049312')
('720086144315179008', '76049312')
('160643746', '76049312')
('1609079756', '76049312')
('110926359', '76049312')
('61279404', '76049312')
('4700940389', '76049312')
('710186852272234496', '76049312')
('83265237', '76049312')
('227876497', '76049312')
('949346041459077120', '76049312')
('377088447', '76049312')
('2913537295', '76049312')
('138919671', '76049312')
('955850826823675904', '76049312')
('23579657', '76049312')
('360310395', '76049312')
('626725650', '76049312')
('69285607', '76049312')
('53749924', '76049312')
('9101862', '76049312')
('2323015655', '76049312')
('1532507946', '76049312')
('193973118', '76049312')
('501607053', '76049312')
