('946212437031833600', '76049312')
('884921137934860288', '76049312')
('4788548206', '76049312')
('170498695', '76049312')
('100642054', '76049312')
('1687073760', '76049312')
('880806972173553665', '76049312')
('35022515', '76049312')
('722112676797804544', '76049312')
('344246425', '76049312')
('803057674770382849', '76049312')
('130233687', '76049312')
('740348089425350656', '76049312')
('87589209', '76049312')
('52076129', '76049312')
('106226670', '76049312')
('589154056', '76049312')
('30201853', '76049312')
('3386124935', '76049312')
('59229498', '76049312')
('43272674', '76049312')
('414306390', '76049312')
('53719842', '76049312')
('48381235', '76049312')
('2735183691', '76049312')
('873139116401209346', '76049312')
('181166615', '76049312')
('79758292', '76049312')
('945699245662855168', '76049312')
('2609357698', '76049312')
('152601193', '76049312')
('46180835', '76049312')
('130230700', '76049312')
('69712655', '76049312')
('2172348015', '76049312')
('50288953', '76049312')
('226999267', '76049312')
('904914834910830593', '76049312')
('70778075', '76049312')
('78105862', '76049312')
('871148841415921664', '76049312')
('96225988', '76049312')
('145695327', '76049312')
('87983524', '76049312')
('1447787984', '76049312')
('4062609137', '76049312')
('872102932640133124', '76049312')
('612422373', '76049312')
('4492805597', '76049312')
('55259370', '76049312')
('2824407953', '76049312')
('1163848063', '76049312')
('942045529231511552', '76049312')
('197996417', '76049312')
('287195940', '76049312')
('164279649', '76049312')
('61046593', '76049312')
('2975027157', '76049312')
('112170564', '76049312')
('69734618', '76049312')
('790303004868145156', '76049312')
('167875827', '76049312')
('4127008102', '76049312')
('1777718006', '76049312')
('257289810', '76049312')
('3229535153', '76049312')
('176618654', '76049312')
('101537126', '76049312')
('75731649', '76049312')
('2632787063', '76049312')
('885357788469354497', '76049312')
('502297404', '76049312')
('319687076', '76049312')
('805401626571898880', '76049312')
('194428896', '76049312')
('156356486', '76049312')
('125754512', '76049312')
('920085709310087168', '76049312')
('24543243', '76049312')
('799512161177452544', '76049312')
('269058006', '76049312')
('2980176958', '76049312')
('84661124', '76049312')
('211880012', '76049312')
('708244731', '76049312')
('2607322017', '76049312')
('66120627', '76049312')
('919824830538633216', '76049312')
('556575612', '76049312')
('3301883536', '76049312')
('3732419595', '76049312')
('54990832', '76049312')
('942540518222901249', '76049312')
('759060135763410944', '76049312')
('3174478624', '76049312')
('3239867393', '76049312')
('253134452', '76049312')
('810647326297624580', '76049312')
('1527912313', '76049312')
('321059805', '76049312')
('67883361', '76049312')
('60787644', '76049312')
('48131923', '76049312')
('79338041', '76049312')
('261807405', '76049312')
('1241805481', '76049312')
('882389386406625285', '76049312')
('2382584562', '76049312')
('1961296898', '76049312')
('91076138', '76049312')
('294927274', '76049312')
('935876102563811330', '76049312')
('158777564', '76049312')
('917013826981244929', '76049312')
('474620376', '76049312')
('268432262', '76049312')
('143873568', '76049312')
('1347874969', '76049312')
('70134660', '76049312')
('117501505', '76049312')
('2750618680', '76049312')
('949643811059355648', '76049312')
('53969187', '76049312')
('870119914622922752', '76049312')
('232736252', '76049312')
('825169284120862721', '76049312')
('908325427739062274', '76049312')
('370944086', '76049312')
('193721512', '76049312')
('630498292', '76049312')
('3383679412', '76049312')
('4538287527', '76049312')
('305774527', '76049312')
('89676762', '76049312')
('918230010', '76049312')
('1222552051', '76049312')
('271986804', '76049312')
('951082898546921472', '76049312')
('151584335', '76049312')
('2877468398', '76049312')
('153183306', '76049312')
('877934291648380928', '76049312')
('856096196514938880', '76049312')
('148457046', '76049312')
('266158328', '76049312')
('150094490', '76049312')
('885287143957987328', '76049312')
('67081774', '76049312')
('64768118', '76049312')
('52445615', '76049312')
('2573126744', '76049312')
('1332030889', '76049312')
('2815015394', '76049312')
('173856215', '76049312')
('63118359', '76049312')
('54965298', '76049312')
('27702071', '76049312')
('859153944853008384', '76049312')
('471090694', '76049312')
('2999414207', '76049312')
