Source,Target,Type,Id,Label,timeset,Weight
309175281,62501888,Directed,288,,,1
152065659,62501888,Directed,422,,,1
344369760,62501888,Directed,1008,,,1
949122398145531904,62501888,Directed,1240,,,1
772109110309453824,62501888,Directed,1283,,,1
69995945,62501888,Directed,1404,,,1
40764336,62501888,Directed,1408,,,1
1630911204,62501888,Directed,1551,,,1
73177662,62501888,Directed,1647,,,1
290493454,62501888,Directed,1706,,,1
3378068637,62501888,Directed,1715,,,1
425447486,62501888,Directed,1738,,,1
1036713216,62501888,Directed,1741,,,1
176618654,62501888,Directed,1838,,,1
604562497,62501888,Directed,1841,,,1
3070397903,62501888,Directed,1927,,,1
39781535,62501888,Directed,2023,,,1
119378104,62501888,Directed,2024,,,1
139932849,62501888,Directed,2171,,,1
3431958881,62501888,Directed,2263,,,1
59026317,62501888,Directed,2291,,,1
46553495,62501888,Directed,2301,,,1
846455246427770881,62501888,Directed,2312,,,1
230558044,62501888,Directed,2348,,,1
2504623969,62501888,Directed,2351,,,1
131197124,62501888,Directed,2368,,,1
848317269134290947,62501888,Directed,2371,,,1
2632787063,62501888,Directed,2376,,,1
395011753,62501888,Directed,2377,,,1
358483322,62501888,Directed,2390,,,1
1185877482,62501888,Directed,2428,,,1
834247778,62501888,Directed,2532,,,1
2760398831,62501888,Directed,2558,,,1
474118167,62501888,Directed,2619,,,1
56733955,62501888,Directed,2662,,,1
2815603840,62501888,Directed,3406,,,1
239358577,62501888,Directed,3487,,,1
2582347692,62501888,Directed,4393,,,1
137162100,62501888,Directed,4569,,,1
80143989,62501888,Directed,4658,,,1
42082029,62501888,Directed,4666,,,1
2770698271,62501888,Directed,5080,,,1
228841892,62501888,Directed,5189,,,1
436691393,62501888,Directed,5204,,,1
74588631,62501888,Directed,5499,,,1
206353780,62501888,Directed,5504,,,1
191691141,62501888,Directed,5921,,,1
4442656636,62501888,Directed,6386,,,1
1532355481,62501888,Directed,6391,,,1
586033644,62501888,Directed,6836,,,1
414737809,62501888,Directed,6965,,,1
1385719640,62501888,Directed,7321,,,1
2926192120,62501888,Directed,7359,,,1
3732419595,62501888,Directed,7429,,,1
53588316,62501888,Directed,7461,,,1
2801814928,62501888,Directed,7477,,,1
3435896139,62501888,Directed,7513,,,1
266198978,62501888,Directed,7550,,,1
976999759,62501888,Directed,7580,,,1
2605560932,62501888,Directed,7591,,,1
51532284,62501888,Directed,7676,,,1
101537126,62501888,Directed,7693,,,1
758061320,62501888,Directed,7713,,,1
360344062,62501888,Directed,7715,,,1
