('772109110309453824', '62501888')
('40764336', '62501888')
('290493454', '62501888')
('425447486', '62501888')
('1036713216', '62501888')
('3070397903', '62501888')
('119378104', '62501888')
('3431958881', '62501888')
('358483322', '62501888')
('1185877482', '62501888')
('834247778', '62501888')
('2760398831', '62501888')
('474118167', '62501888')
('56733955', '62501888')
('2815603840', '62501888')
('239358577', '62501888')
('2582347692', '62501888')
('137162100', '62501888')
('42082029', '62501888')
('2770698271', '62501888')
('228841892', '62501888')
('436691393', '62501888')
('74588631', '62501888')
('191691141', '62501888')
('4442656636', '62501888')
('1532355481', '62501888')
('414737809', '62501888')
('2926192120', '62501888')
('53588316', '62501888')
('2801814928', '62501888')
('3435896139', '62501888')
('51532284', '62501888')
('101537126', '62501888')
('758061320', '62501888')
('178134489', '62501888')
('136283147', '62501888')
('1640896794', '62501888')
('772350342780612608', '62501888')
('2194339223', '62501888')
('905402113395740673', '62501888')
('2228572326', '62501888')
('69996848', '62501888')
('86562604', '62501888')
('791081954485624833', '62501888')
('4390536141', '62501888')
('872860933', '62501888')
('285413314', '62501888')
('770651953235894273', '62501888')
('755767561275465728', '62501888')
('3227139263', '62501888')
('1340874499', '62501888')
('70769457', '62501888')
('110989173', '62501888')
('4680282296', '62501888')
('13301912', '62501888')
('48730666', '62501888')
('746562650386083840', '62501888')
('360633463', '62501888')
('189568357', '62501888')
('51204411', '62501888')
('155691066', '62501888')
('805566597943492609', '62501888')
('154010030', '62501888')
('134849192', '62501888')
('314016045', '62501888')
('238727586', '62501888')
('2950506760', '62501888')
('2244850302', '62501888')
('156776848', '62501888')
('845970181444812800', '62501888')
('924835710980493312', '62501888')
('373690505', '62501888')
('2408060714', '62501888')
('126967491', '62501888')
('267358452', '62501888')
('110566226', '62501888')
('146447634', '62501888')
('398992251', '62501888')
('450997032', '62501888')
('80898905', '62501888')
('206538611', '62501888')
('779538326378414080', '62501888')
('854537276860354560', '62501888')
('902506567416860672', '62501888')
('438359792', '62501888')
('751790090704285696', '62501888')
('3710735968', '62501888')
('891685116199804928', '62501888')
('4828270217', '62501888')
('3289491082', '62501888')
('2752648705', '62501888')
('141195854', '62501888')
('858554378', '62501888')
('66897633', '62501888')
('720086144315179008', '62501888')
('499921253', '62501888')
('946205272707616768', '62501888')
('4235282783', '62501888')
('888110035712172038', '62501888')
('1043902080', '62501888')
('3266320782', '62501888')
('299766828', '62501888')
('4157233097', '62501888')
('329327082', '62501888')
('2227450143', '62501888')
('3119584803', '62501888')
('843228940437196800', '62501888')
('159871056', '62501888')
('2407715149', '62501888')
('216370632', '62501888')
('3293990733', '62501888')
('823572441213575168', '62501888')
('587469635', '62501888')
('712382647868235776', '62501888')
('4505111913', '62501888')
('1483071254', '62501888')
('1037974070', '62501888')
('3109093719', '62501888')
('30876416', '62501888')
('1006248133', '62501888')
('1226200597', '62501888')
('33648947', '62501888')
('131672572', '62501888')
('1976720053', '62501888')
('810647326297624580', '62501888')
('2325231946', '62501888')
('899420210259734529', '62501888')
('946456171933822978', '62501888')
('83877984', '62501888')
('710608464503029761', '62501888')
('4904715503', '62501888')
('1507813940', '62501888')
('52043337', '62501888')
('4785080715', '62501888')
('165415484', '62501888')
('4441313069', '62501888')
('225151930', '62501888')
('126510464', '62501888')
('3081050015', '62501888')
('454287240', '62501888')
('892553756612718592', '62501888')
('49053776', '62501888')
('1909239847', '62501888')
('719246545154109445', '62501888')
('1132169892', '62501888')
('857355568272601089', '62501888')
('579497168', '62501888')
('1068075205', '62501888')
('488811765', '62501888')
('943397610', '62501888')
('200523096', '62501888')
('1924424342', '62501888')
('826564812884815872', '62501888')
('723962616', '62501888')
('374604853', '62501888')
('832586633568464898', '62501888')
('1858856959', '62501888')
('1546952630', '62501888')
('155141882', '62501888')
('181711747', '62501888')
('324068363', '62501888')
('991655263', '62501888')
('883127799107768320', '62501888')
('915031942436917249', '62501888')
('507916196', '62501888')
('99644390', '62501888')
('829113852298133505', '62501888')
('2296933700', '62501888')
('723637836147253251', '62501888')
('846544863562792962', '62501888')
('235254127', '62501888')
('2900493743', '62501888')
('946086759355514880', '62501888')
('376177628', '62501888')
('712876406900973568', '62501888')
('327581707', '62501888')
('2913537295', '62501888')
('140136626', '62501888')
