('309175281', '62501888')
('152065659', '62501888')
('344369760', '62501888')
('949122398145531904', '62501888')
('69995945', '62501888')
('1630911204', '62501888')
('73177662', '62501888')
('3378068637', '62501888')
('176618654', '62501888')
('604562497', '62501888')
('39781535', '62501888')
('139932849', '62501888')
('59026317', '62501888')
('46553495', '62501888')
('846455246427770881', '62501888')
('230558044', '62501888')
('2504623969', '62501888')
('131197124', '62501888')
('848317269134290947', '62501888')
('2632787063', '62501888')
('395011753', '62501888')
('80143989', '62501888')
('206353780', '62501888')
('586033644', '62501888')
('1385719640', '62501888')
('3732419595', '62501888')
('266198978', '62501888')
('976999759', '62501888')
('2605560932', '62501888')
('360344062', '62501888')
('3005433635', '62501888')
('486740532', '62501888')
('1909861', '62501888')
('2735183691', '62501888')
('80346080', '62501888')
('76457733', '62501888')
('59221686', '62501888')
('1358220187', '62501888')
('162426748', '62501888')
('1356765876', '62501888')
('755926817266106368', '62501888')
('836453622', '62501888')
('2189967503', '62501888')
('79453663', '62501888')
('951884625525264384', '62501888')
('49088843', '62501888')
('167875827', '62501888')
('56456210', '62501888')
('2211963197', '62501888')
('39522911', '62501888')
('1920895292', '62501888')
('2652813551', '62501888')
('56700335', '62501888')
('1347969008', '62501888')
('131526172', '62501888')
('849223002738892800', '62501888')
('4493400615', '62501888')
('58653694', '62501888')
('349189254', '62501888')
('2684792114', '62501888')
('353771792', '62501888')
('805401626571898880', '62501888')
('4720471881', '62501888')
('257289810', '62501888')
('62380024', '62501888')
('761805494', '62501888')
('101003921', '62501888')
('365513024', '62501888')
('201033868', '62501888')
('207069021', '62501888')
('1172137124', '62501888')
('65724198', '62501888')
('625954692', '62501888')
('199357345', '62501888')
('482475946', '62501888')
('112795172', '62501888')
('359569903', '62501888')
('2935262518', '62501888')
('45418484', '62501888')
('27690712', '62501888')
('42316731', '62501888')
('2600362639', '62501888')
('134140812', '62501888')
('4187909913', '62501888')
('32545698', '62501888')
('2823093927', '62501888')
('85045418', '62501888')
('1130716142', '62501888')
('2174653475', '62501888')
('52240330', '62501888')
('187966367', '62501888')
